team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
National Taiwan Sport University,National Kaohsiung Normal University,https://www.pinnacle.com/en/basketball/chinese-taipei-uba/national-taiwan-sport-university-vs-national-kaohsiung-normal-university/1620583849/,2.08,1.632,2.0,1.9,-2.0,1.769,137.5,1.833,137.5,1.833,2025-12-02 00:14:46
National Taiwan Sport University,National Kaohsiung Normal University,https://www.pinnacle.com/en/basketball/chinese-taipei-uba/national-taiwan-sport-university-vs-national-kaohsiung-normal-university/1620583849/,2.12,1.666,2.0,1.934,-2.0,1.806,137.5,1.869,137.5,1.869,2025-12-02 02:21:59
National Taiwan Sport University,National Kaohsiung Normal University,https://www.pinnacle.com/en/basketball/chinese-taipei-uba/national-taiwan-sport-university-vs-national-kaohsiung-normal-university/1620583849/,2.12,1.666,2.0,1.934,-2.0,1.806,137.5,1.869,137.5,1.869,2025-12-02 03:40:56
National Taiwan Sport University,National Kaohsiung Normal University,https://www.pinnacle.com/en/basketball/chinese-taipei-uba/national-taiwan-sport-university-vs-national-kaohsiung-normal-university/1620583849/,2.12,1.666,2.0,1.934,-2.0,1.806,137.5,1.869,137.5,1.869,2025-12-02 04:27:51
National Taiwan Sport University,National Kaohsiung Normal University,https://www.pinnacle.com/en/basketball/chinese-taipei-uba/national-taiwan-sport-university-vs-national-kaohsiung-normal-university/1620583849/,2.08,1.699,2.0,1.909,-2.0,1.833,137.5,1.869,137.5,1.869,2025-12-02 04:55:38
CTBC Business School,Chung Hsing University,https://www.pinnacle.com/en/basketball/chinese-taipei-uba/ctbc-business-school-vs-chung-hsing-university/1620965717/,1.018,7.75,-19.0,1.806,19.0,1.862,152.5,1.826,152.5,1.84,2025-12-07 23:28:28
CTBC Business School,Chung Hsing University,https://www.pinnacle.com/en/basketball/chinese-taipei-uba/ctbc-business-school-vs-chung-hsing-university/1620965717/,1.018,7.75,-19.0,1.806,19.0,1.862,152.5,1.826,152.5,1.84,2025-12-07 23:45:49
Overseas Chinese University,National Kaohsiung Normal University,https://www.pinnacle.com/en/basketball/chinese-taipei-uba/overseas-chinese-university-vs-national-kaohsiung-normal-university/1620967164/,1.497,2.33,-3.5,1.787,3.5,1.877,139.5,1.826,139.5,1.84,2025-12-07 23:45:49
I-Shou University,National Formosa University,https://www.pinnacle.com/en/basketball/chinese-taipei-uba/i-shou-university-vs-national-formosa-university/1620965716/,,,33.5,1.751,-33.5,1.917,152.5,1.854,152.5,1.806,2025-12-07 23:45:49
CTBC Business School,Chung Hsing University,https://www.pinnacle.com/en/basketball/chinese-taipei-uba/ctbc-business-school-vs-chung-hsing-university/1620965717/,1.018,7.75,-19.0,1.806,19.0,1.862,152.5,1.826,152.5,1.84,2025-12-07 23:57:57
Overseas Chinese University,National Kaohsiung Normal University,https://www.pinnacle.com/en/basketball/chinese-taipei-uba/overseas-chinese-university-vs-national-kaohsiung-normal-university/1620967164/,1.497,2.33,-3.5,1.787,3.5,1.877,139.5,1.826,139.5,1.84,2025-12-07 23:57:57
I-Shou University,National Formosa University,https://www.pinnacle.com/en/basketball/chinese-taipei-uba/i-shou-university-vs-national-formosa-university/1620965716/,,,33.5,1.751,-33.5,1.917,152.5,1.854,152.5,1.806,2025-12-07 23:57:57
Leeming Institute Of Technology,National Kaohsiung Normal University,https://www.pinnacle.com/en/basketball/chinese-taipei-uba/leeming-institute-of-technology-vs-national-kaohsiung-normal-university/1623440438/,,,-29.5,1.819,29.5,1.847,162.5,1.862,162.5,1.8,2026-02-01 23:51:14
Chung Yuan Christian University,CTBC Business School,https://www.pinnacle.com/en/basketball/chinese-taipei-uba/chung-yuan-christian-university-vs-ctbc-business-school/1623440437/,11.370,1.013,+23.5,1.884,-23.5,1.854,162.5,1.813,162.5,1.925,2026-02-02 07:42:21
Chien Hsin University of Science and Technology,National Taiwan Sport University,https://www.pinnacle.com/en/basketball/chinese-taipei-uba/chien-hsin-university-of-science-and-technology-vs-national-taiwan-sport-university/1623441814/,1.704,1.980,-2.0,1.840,+2.0,1.826,160.5,1.793,160.5,1.877,2026-02-02 07:42:21
National Chengchi University,National Formosa University,https://www.pinnacle.com/en/basketball/chinese-taipei-uba/national-chengchi-university-vs-national-formosa-university/1623441816/,N/A,N/A,-27.5,1.869,+27.5,1.869,168.5,1.787,168.5,1.961,2026-02-02 07:42:21
