team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Paisas,Caimanes del Llano,https://www.pinnacle.com/en/basketball/colombia-baloncesto-profesional-colombiano/paisas-vs-caimanes-del-llano/1617157212/,1.581,2.17,-3.0,1.833,3.0,1.833,156.0,1.787,156.0,1.884,2025-10-11 18:31:21
Paisas,Caimanes del Llano,https://www.pinnacle.com/en/basketball/colombia-baloncesto-profesional-colombiano/paisas-vs-caimanes-del-llano/1617157212/,1.581,2.17,-3.0,1.833,3.0,1.833,156.0,1.787,156.0,1.884,2025-10-11 18:47:42
Paisas,Caimanes del Llano,https://www.pinnacle.com/en/basketball/colombia-baloncesto-profesional-colombiano/paisas-vs-caimanes-del-llano/1617157212/,1.581,2.17,-3.0,1.833,3.0,1.833,156.0,1.787,156.0,1.884,2025-10-11 19:00:51
Paisas,Caimanes del Llano,https://www.pinnacle.com/en/basketball/colombia-baloncesto-profesional-colombiano/paisas-vs-caimanes-del-llano/1617157212/,1.581,2.17,-3.0,1.833,3.0,1.833,156.0,1.787,156.0,1.884,2025-10-11 19:20:41
Paisas,Caimanes del Llano,https://www.pinnacle.com/en/basketball/colombia-baloncesto-profesional-colombiano/paisas-vs-caimanes-del-llano/1617157212/,1.581,2.17,-3.0,1.833,3.0,1.833,156.0,1.787,156.0,1.884,2025-10-11 19:29:21
Paisas,Caimanes del Llano,https://www.pinnacle.com/en/basketball/colombia-baloncesto-profesional-colombiano/paisas-vs-caimanes-del-llano/1617157212/,1.581,2.17,-3.0,1.833,3.0,1.833,156.0,1.787,156.0,1.884,2025-10-11 19:41:05
Paisas,Caimanes del Llano,https://www.pinnacle.com/en/basketball/colombia-baloncesto-profesional-colombiano/paisas-vs-caimanes-del-llano/1617157212/,1.581,2.17,-3.0,1.833,3.0,1.833,156.0,1.787,156.0,1.884,2025-10-11 19:47:35
Paisas,Caimanes del Llano,https://www.pinnacle.com/en/basketball/colombia-baloncesto-profesional-colombiano/paisas-vs-caimanes-del-llano/1617157212/,1.581,2.17,-3.0,1.833,3.0,1.833,156.0,1.787,156.0,1.884,2025-10-11 19:56:02
Paisas,Caimanes del Llano,https://www.pinnacle.com/en/basketball/colombia-baloncesto-profesional-colombiano/paisas-vs-caimanes-del-llano/1617157212/,1.581,2.17,-3.0,1.833,3.0,1.833,156.0,1.787,156.0,1.884,2025-10-11 20:05:07
Paisas,Caimanes del Llano,https://www.pinnacle.com/en/basketball/colombia-baloncesto-profesional-colombiano/paisas-vs-caimanes-del-llano/1617157212/,1.581,2.17,-3.0,1.833,3.0,1.833,156.0,1.787,156.0,1.884,2025-10-11 20:27:44
