Market,Selection,Odds,matchup,timestamp
Money Line – Game,MTS Arba,1.198,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Money Line – Game,SC Grecia,3.9,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Handicap – Game,MTS Arba -6.0,1.54,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Handicap – Game,SC Grecia +6.0,2.21,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Handicap – Game,MTS Arba -6.5,1.584,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Handicap – Game,SC Grecia +6.5,2.13,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Handicap – Game,MTS Arba -7.0,1.632,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Handicap – Game,SC Grecia +7.0,2.05,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Handicap – Game,MTS Arba -7.5,1.694,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Handicap – Game,SC Grecia +7.5,1.98,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Handicap – Game,MTS Arba -8.0,1.763,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Handicap – Game,SC Grecia +8.0,1.9,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Handicap – Game,MTS Arba -8.5,1.877,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Handicap – Game,SC Grecia +8.5,1.862,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Handicap – Game,MTS Arba -9.0,1.925,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Handicap – Game,SC Grecia +9.0,1.746,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Handicap – Game,MTS Arba -9.5,2.0,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Handicap – Game,SC Grecia +9.5,1.675,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Handicap – Game,MTS Arba -10.0,2.08,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Handicap – Game,SC Grecia +10.0,1.617,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Handicap – Game,MTS Arba -10.5,2.16,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Handicap – Game,SC Grecia +10.5,1.571,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Handicap – Game,MTS Arba -11.0,2.24,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Handicap – Game,SC Grecia +11.0,1.529,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Total – Game,Over 154,1.621,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Total – Game,Under 154,2.1,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Total – Game,Over 154.5,1.657,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Total – Game,Under 154.5,2.05,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Total – Game,Over 155,1.694,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Total – Game,Under 155,1.99,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Total – Game,Over 155.5,1.74,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Total – Game,Under 155.5,1.934,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Total – Game,Over 156,1.787,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Total – Game,Under 156,1.884,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Total – Game,Over 156.5,1.877,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Total – Game,Under 156.5,1.862,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Total – Game,Over 157,1.892,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Total – Game,Under 157,1.775,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Total – Game,Over 157.5,1.943,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Total – Game,Under 157.5,1.729,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Total – Game,Over 158,2.0,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Total – Game,Under 158,1.689,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Total – Game,Over 158.5,2.06,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Total – Game,Under 158.5,1.649,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Total – Game,Over 159,2.11,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Total – Game,Under 159,1.613,MTS Arba vs SC Grecia,2026-04-20 22:32:44
Money Line – Game,MTS Arba,1.198,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Money Line – Game,SC Grecia,3.9,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Handicap – Game,MTS Arba -6.0,1.54,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Handicap – Game,SC Grecia +6.0,2.21,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Handicap – Game,MTS Arba -6.5,1.584,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Handicap – Game,SC Grecia +6.5,2.13,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Handicap – Game,MTS Arba -7.0,1.632,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Handicap – Game,SC Grecia +7.0,2.05,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Handicap – Game,MTS Arba -7.5,1.694,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Handicap – Game,SC Grecia +7.5,1.98,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Handicap – Game,MTS Arba -8.0,1.763,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Handicap – Game,SC Grecia +8.0,1.9,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Handicap – Game,MTS Arba -8.5,1.877,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Handicap – Game,SC Grecia +8.5,1.862,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Handicap – Game,MTS Arba -9.0,1.925,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Handicap – Game,SC Grecia +9.0,1.746,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Handicap – Game,MTS Arba -9.5,2.0,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Handicap – Game,SC Grecia +9.5,1.675,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Handicap – Game,MTS Arba -10.0,2.08,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Handicap – Game,SC Grecia +10.0,1.617,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Handicap – Game,MTS Arba -10.5,2.16,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Handicap – Game,SC Grecia +10.5,1.571,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Handicap – Game,MTS Arba -11.0,2.24,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Handicap – Game,SC Grecia +11.0,1.529,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Total – Game,Over 154,1.621,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Total – Game,Under 154,2.1,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Total – Game,Over 154.5,1.657,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Total – Game,Under 154.5,2.05,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Total – Game,Over 155,1.694,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Total – Game,Under 155,1.99,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Total – Game,Over 155.5,1.74,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Total – Game,Under 155.5,1.934,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Total – Game,Over 156,1.787,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Total – Game,Under 156,1.884,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Total – Game,Over 156.5,1.877,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Total – Game,Under 156.5,1.862,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Total – Game,Over 157,1.892,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Total – Game,Under 157,1.775,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Total – Game,Over 157.5,1.943,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Total – Game,Under 157.5,1.729,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Total – Game,Over 158,2.0,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Total – Game,Under 158,1.689,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Total – Game,Over 158.5,2.06,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Total – Game,Under 158.5,1.649,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Total – Game,Over 159,2.11,MTS Arba vs SC Grecia,2026-04-20 22:38:52
Total – Game,Under 159,1.613,MTS Arba vs SC Grecia,2026-04-20 22:38:52
