Market,Selection,Odds,matchup,timestamp
Handicap – Game,KK Zadar -21.0,1.813,KK Zadar vs KK Kvarner 2010,2025-10-02 14:59:50
Handicap – Game,KK Kvarner 2010 +21.0,1.925,KK Zadar vs KK Kvarner 2010,2025-10-02 14:59:50
Total – Game,Over 152.5,1.819,KK Zadar vs KK Kvarner 2010,2025-10-02 14:59:50
Total – Game,Under 152.5,1.925,KK Zadar vs KK Kvarner 2010,2025-10-02 14:59:50
Handicap – Game,KK Zadar -21.0,1.813,KK Zadar vs KK Kvarner 2010,2025-10-02 15:11:27
Handicap – Game,KK Kvarner 2010 +21.0,1.925,KK Zadar vs KK Kvarner 2010,2025-10-02 15:11:27
Total – Game,Over 152.5,1.819,KK Zadar vs KK Kvarner 2010,2025-10-02 15:11:27
Total – Game,Under 152.5,1.925,KK Zadar vs KK Kvarner 2010,2025-10-02 15:11:27
Total – Game,Over 152.5,1.819,KK Zadar vs KK Kvarner 2010,2025-10-02 15:29:27
Total – Game,Under 152.5,1.925,KK Zadar vs KK Kvarner 2010,2025-10-02 15:29:27
Handicap – Game,KK Zadar -21.0,1.813,KK Zadar vs KK Kvarner 2010,2025-10-02 15:29:27
Handicap – Game,KK Kvarner 2010 +21.0,1.925,KK Zadar vs KK Kvarner 2010,2025-10-02 15:29:27
Handicap – Game,KK Zadar -21.0,1.813,KK Zadar vs KK Kvarner 2010,2025-10-02 15:41:47
Handicap – Game,KK Kvarner 2010 +21.0,1.925,KK Zadar vs KK Kvarner 2010,2025-10-02 15:41:47
Total – Game,Over 152.5,1.819,KK Zadar vs KK Kvarner 2010,2025-10-02 15:41:47
Total – Game,Under 152.5,1.925,KK Zadar vs KK Kvarner 2010,2025-10-02 15:41:47
Money Line – Game,KK Zadar,1.032,KK Zadar vs KK Kvarner 2010,2025-10-02 15:59:14
Money Line – Game,KK Kvarner 2010,8.54,KK Zadar vs KK Kvarner 2010,2025-10-02 15:59:14
Handicap – Game,KK Zadar -22.0,1.892,KK Zadar vs KK Kvarner 2010,2025-10-02 15:59:14
Handicap – Game,KK Kvarner 2010 +22.0,1.847,KK Zadar vs KK Kvarner 2010,2025-10-02 15:59:14
Total – Game,Over 153.5,1.952,KK Zadar vs KK Kvarner 2010,2025-10-02 15:59:14
Total – Game,Under 153.5,1.793,KK Zadar vs KK Kvarner 2010,2025-10-02 15:59:14
Total – Game,Under 166.5,1.806,KK Furnir Dubrava vs KK Cibona,2025-10-05 16:40:44
Handicap – Game,KK Cibona -5.5,1.884,KK Furnir Dubrava vs KK Cibona,2025-10-05 16:40:44
Total – Game,Over 166.5,1.934,KK Furnir Dubrava vs KK Cibona,2025-10-05 16:40:44
Money Line – Game,KK Cibona,1.35,KK Furnir Dubrava vs KK Cibona,2025-10-05 16:40:44
Handicap – Game,KK Furnir Dubrava +5.5,1.854,KK Furnir Dubrava vs KK Cibona,2025-10-05 16:40:44
Money Line – Game,KK Furnir Dubrava,2.93,KK Furnir Dubrava vs KK Cibona,2025-10-05 16:40:44
Money Line – Game,KK Zadar,1.015,KK Zadar vs KK Furnir Dubrava,2025-10-27 03:55:07
Money Line – Game,KK Furnir Dubrava,10.83,KK Zadar vs KK Furnir Dubrava,2025-10-27 03:55:07
Handicap – Game,KK Zadar -23.0,1.854,KK Zadar vs KK Furnir Dubrava,2025-10-27 03:55:07
Handicap – Game,KK Furnir Dubrava +23.0,1.884,KK Zadar vs KK Furnir Dubrava,2025-10-27 03:55:07
Total – Game,Over 163,1.854,KK Zadar vs KK Furnir Dubrava,2025-10-27 03:55:07
Total – Game,Under 163,1.884,KK Zadar vs KK Furnir Dubrava,2025-10-27 03:55:07
Total – Game,Over 163,1.854,KK Zadar vs KK Furnir Dubrava,2025-10-27 04:22:56
Handicap – Game,KK Furnir Dubrava +23.0,1.884,KK Zadar vs KK Furnir Dubrava,2025-10-27 04:22:56
Total – Game,Under 163,1.884,KK Zadar vs KK Furnir Dubrava,2025-10-27 04:22:56
Money Line – Game,KK Furnir Dubrava,10.83,KK Zadar vs KK Furnir Dubrava,2025-10-27 04:22:56
Money Line – Game,KK Zadar,1.015,KK Zadar vs KK Furnir Dubrava,2025-10-27 04:22:56
Handicap – Game,KK Zadar -23.0,1.854,KK Zadar vs KK Furnir Dubrava,2025-10-27 04:22:56
Total – Game,Over 163,1.854,KK Zadar vs KK Furnir Dubrava,2025-10-27 04:30:05
Handicap – Game,KK Furnir Dubrava +23.0,1.884,KK Zadar vs KK Furnir Dubrava,2025-10-27 04:30:05
Total – Game,Under 163,1.884,KK Zadar vs KK Furnir Dubrava,2025-10-27 04:30:05
Money Line – Game,KK Furnir Dubrava,10.83,KK Zadar vs KK Furnir Dubrava,2025-10-27 04:30:05
Money Line – Game,KK Zadar,1.015,KK Zadar vs KK Furnir Dubrava,2025-10-27 04:30:05
Handicap – Game,KK Zadar -23.0,1.854,KK Zadar vs KK Furnir Dubrava,2025-10-27 04:30:05
Money Line – Game,KK Zadar,1.015,KK Zadar vs KK Furnir Dubrava,2025-10-27 05:07:11
Money Line – Game,KK Furnir Dubrava,10.83,KK Zadar vs KK Furnir Dubrava,2025-10-27 05:07:11
Handicap – Game,KK Zadar -23.0,1.854,KK Zadar vs KK Furnir Dubrava,2025-10-27 05:07:11
Handicap – Game,KK Furnir Dubrava +23.0,1.884,KK Zadar vs KK Furnir Dubrava,2025-10-27 05:07:11
Total – Game,Over 163,1.854,KK Zadar vs KK Furnir Dubrava,2025-10-27 05:07:11
Total – Game,Under 163,1.884,KK Zadar vs KK Furnir Dubrava,2025-10-27 05:07:11
Total – Game,Over 163,1.854,KK Zadar vs KK Furnir Dubrava,2025-10-27 05:30:08
Handicap – Game,KK Furnir Dubrava +23.0,1.884,KK Zadar vs KK Furnir Dubrava,2025-10-27 05:30:08
Total – Game,Under 163,1.884,KK Zadar vs KK Furnir Dubrava,2025-10-27 05:30:08
Money Line – Game,KK Furnir Dubrava,10.83,KK Zadar vs KK Furnir Dubrava,2025-10-27 05:30:08
Handicap – Game,KK Zadar -23.0,1.854,KK Zadar vs KK Furnir Dubrava,2025-10-27 05:30:08
Money Line – Game,KK Zadar,1.015,KK Zadar vs KK Furnir Dubrava,2025-10-27 05:30:08
Money Line – Game,KK Zadar,1.015,KK Zadar vs KK Furnir Dubrava,2025-10-27 06:01:17
Money Line – Game,KK Furnir Dubrava,10.83,KK Zadar vs KK Furnir Dubrava,2025-10-27 06:01:17
Handicap – Game,KK Zadar -23.0,1.854,KK Zadar vs KK Furnir Dubrava,2025-10-27 06:01:17
Handicap – Game,KK Furnir Dubrava +23.0,1.884,KK Zadar vs KK Furnir Dubrava,2025-10-27 06:01:17
Total – Game,Over 163,1.854,KK Zadar vs KK Furnir Dubrava,2025-10-27 06:01:17
Total – Game,Under 163,1.884,KK Zadar vs KK Furnir Dubrava,2025-10-27 06:01:17
Total – Game,Under 163,1.884,KK Zadar vs KK Furnir Dubrava,2025-10-27 06:09:03
Money Line – Game,KK Zadar,1.015,KK Zadar vs KK Furnir Dubrava,2025-10-27 06:09:03
Money Line – Game,KK Furnir Dubrava,10.83,KK Zadar vs KK Furnir Dubrava,2025-10-27 06:09:03
Handicap – Game,KK Zadar -23.0,1.854,KK Zadar vs KK Furnir Dubrava,2025-10-27 06:09:03
Handicap – Game,KK Furnir Dubrava +23.0,1.884,KK Zadar vs KK Furnir Dubrava,2025-10-27 06:09:03
Total – Game,Over 163,1.854,KK Zadar vs KK Furnir Dubrava,2025-10-27 06:09:03
Total – Game,Under 165,1.847,KK Zadar vs KK Furnir Dubrava,2025-10-27 07:12:09
Total – Game,Over 165,1.884,KK Zadar vs KK Furnir Dubrava,2025-10-27 07:12:09
Handicap – Game,KK Furnir Dubrava +23.0,1.925,KK Zadar vs KK Furnir Dubrava,2025-10-27 07:12:09
Money Line – Game,KK Zadar,1.015,KK Zadar vs KK Furnir Dubrava,2025-10-27 07:12:09
Money Line – Game,KK Furnir Dubrava,11.0,KK Zadar vs KK Furnir Dubrava,2025-10-27 07:12:09
Handicap – Game,KK Zadar -23.0,1.819,KK Zadar vs KK Furnir Dubrava,2025-10-27 07:12:09
Money Line – Game,KK Zadar,1.015,KK Zadar vs KK Furnir Dubrava,2025-10-27 07:35:07
Money Line – Game,KK Furnir Dubrava,11.0,KK Zadar vs KK Furnir Dubrava,2025-10-27 07:35:07
Handicap – Game,KK Zadar -23.0,1.819,KK Zadar vs KK Furnir Dubrava,2025-10-27 07:35:07
Handicap – Game,KK Furnir Dubrava +23.0,1.925,KK Zadar vs KK Furnir Dubrava,2025-10-27 07:35:07
Total – Game,Over 165,1.884,KK Zadar vs KK Furnir Dubrava,2025-10-27 07:35:07
Total – Game,Under 165,1.847,KK Zadar vs KK Furnir Dubrava,2025-10-27 07:35:07
Handicap – Game,KK Furnir Dubrava +23.0,1.925,KK Zadar vs KK Furnir Dubrava,2025-10-27 07:41:19
Total – Game,Over 165,1.884,KK Zadar vs KK Furnir Dubrava,2025-10-27 07:41:19
Total – Game,Under 165,1.847,KK Zadar vs KK Furnir Dubrava,2025-10-27 07:41:19
Handicap – Game,KK Zadar -23.0,1.819,KK Zadar vs KK Furnir Dubrava,2025-10-27 07:41:19
Money Line – Game,KK Zadar,1.015,KK Zadar vs KK Furnir Dubrava,2025-10-27 07:41:19
Money Line – Game,KK Furnir Dubrava,11.0,KK Zadar vs KK Furnir Dubrava,2025-10-27 07:41:19
Money Line – Game,KK Zadar,1.015,KK Zadar vs KK Furnir Dubrava,2025-10-27 08:05:38
Money Line – Game,KK Furnir Dubrava,11.0,KK Zadar vs KK Furnir Dubrava,2025-10-27 08:05:38
Handicap – Game,KK Zadar -23.0,1.819,KK Zadar vs KK Furnir Dubrava,2025-10-27 08:05:38
Handicap – Game,KK Furnir Dubrava +23.0,1.925,KK Zadar vs KK Furnir Dubrava,2025-10-27 08:05:38
Total – Game,Over 165,1.884,KK Zadar vs KK Furnir Dubrava,2025-10-27 08:05:38
Total – Game,Under 165,1.847,KK Zadar vs KK Furnir Dubrava,2025-10-27 08:05:38
Total – Game,Under 165,1.847,KK Zadar vs KK Furnir Dubrava,2025-10-27 08:38:27
Total – Game,Over 165,1.884,KK Zadar vs KK Furnir Dubrava,2025-10-27 08:38:27
Handicap – Game,KK Furnir Dubrava +23.0,1.925,KK Zadar vs KK Furnir Dubrava,2025-10-27 08:38:27
Money Line – Game,KK Zadar,1.015,KK Zadar vs KK Furnir Dubrava,2025-10-27 08:38:27
Money Line – Game,KK Furnir Dubrava,11.0,KK Zadar vs KK Furnir Dubrava,2025-10-27 08:38:27
Handicap – Game,KK Zadar -23.0,1.819,KK Zadar vs KK Furnir Dubrava,2025-10-27 08:38:27
Total – Game,Over 165,1.884,KK Zadar vs KK Furnir Dubrava,2025-10-27 08:47:00
Total – Game,Under 165,1.847,KK Zadar vs KK Furnir Dubrava,2025-10-27 08:47:00
Handicap – Game,KK Furnir Dubrava +23.0,1.925,KK Zadar vs KK Furnir Dubrava,2025-10-27 08:47:00
Money Line – Game,KK Zadar,1.015,KK Zadar vs KK Furnir Dubrava,2025-10-27 08:47:00
Money Line – Game,KK Furnir Dubrava,11.0,KK Zadar vs KK Furnir Dubrava,2025-10-27 08:47:00
Handicap – Game,KK Zadar -23.0,1.819,KK Zadar vs KK Furnir Dubrava,2025-10-27 08:47:00
Money Line – Game,KK Zadar,1.015,KK Zadar vs KK Furnir Dubrava,2025-10-27 09:01:53
Money Line – Game,KK Furnir Dubrava,11.0,KK Zadar vs KK Furnir Dubrava,2025-10-27 09:01:53
Handicap – Game,KK Zadar -23.0,1.819,KK Zadar vs KK Furnir Dubrava,2025-10-27 09:01:53
Handicap – Game,KK Furnir Dubrava +23.0,1.925,KK Zadar vs KK Furnir Dubrava,2025-10-27 09:01:53
Total – Game,Over 165,1.884,KK Zadar vs KK Furnir Dubrava,2025-10-27 09:01:53
Total – Game,Under 165,1.847,KK Zadar vs KK Furnir Dubrava,2025-10-27 09:01:53
Total – Game,Over 165,1.884,KK Zadar vs KK Furnir Dubrava,2025-10-27 09:37:59
Total – Game,Under 165,1.847,KK Zadar vs KK Furnir Dubrava,2025-10-27 09:37:59
Handicap – Game,KK Furnir Dubrava +23.0,1.925,KK Zadar vs KK Furnir Dubrava,2025-10-27 09:37:59
Money Line – Game,KK Zadar,1.015,KK Zadar vs KK Furnir Dubrava,2025-10-27 09:37:59
Money Line – Game,KK Furnir Dubrava,11.0,KK Zadar vs KK Furnir Dubrava,2025-10-27 09:37:59
Handicap – Game,KK Zadar -23.0,1.819,KK Zadar vs KK Furnir Dubrava,2025-10-27 09:37:59
Money Line – Game,KK Zadar,1.015,KK Zadar vs KK Furnir Dubrava,2025-10-27 09:51:43
Money Line – Game,KK Furnir Dubrava,11.0,KK Zadar vs KK Furnir Dubrava,2025-10-27 09:51:43
Handicap – Game,KK Zadar -23.0,1.819,KK Zadar vs KK Furnir Dubrava,2025-10-27 09:51:43
Handicap – Game,KK Furnir Dubrava +23.0,1.925,KK Zadar vs KK Furnir Dubrava,2025-10-27 09:51:43
Total – Game,Over 165,1.884,KK Zadar vs KK Furnir Dubrava,2025-10-27 09:51:43
Total – Game,Under 165,1.847,KK Zadar vs KK Furnir Dubrava,2025-10-27 09:51:43
Total – Game,Under 165,1.847,KK Zadar vs KK Furnir Dubrava,2025-10-27 10:33:24
Total – Game,Over 165,1.884,KK Zadar vs KK Furnir Dubrava,2025-10-27 10:33:24
Handicap – Game,KK Furnir Dubrava +23.0,1.925,KK Zadar vs KK Furnir Dubrava,2025-10-27 10:33:24
Handicap – Game,KK Zadar -23.0,1.819,KK Zadar vs KK Furnir Dubrava,2025-10-27 10:33:24
Money Line – Game,KK Furnir Dubrava,11.0,KK Zadar vs KK Furnir Dubrava,2025-10-27 10:33:24
Money Line – Game,KK Zadar,1.015,KK Zadar vs KK Furnir Dubrava,2025-10-27 10:33:24
Money Line – Game,KK Zadar,1.017,KK Zadar vs KK Furnir Dubrava,2025-10-27 11:45:13
Money Line – Game,KK Furnir Dubrava,10.45,KK Zadar vs KK Furnir Dubrava,2025-10-27 11:45:13
Handicap – Game,KK Zadar -22.0,1.84,KK Zadar vs KK Furnir Dubrava,2025-10-27 11:45:13
Handicap – Game,KK Furnir Dubrava +22.0,1.9,KK Zadar vs KK Furnir Dubrava,2025-10-27 11:45:13
Total – Game,Over 165,1.925,KK Zadar vs KK Furnir Dubrava,2025-10-27 11:45:13
Total – Game,Under 165,1.813,KK Zadar vs KK Furnir Dubrava,2025-10-27 11:45:13
Total – Game,Over 165,1.925,KK Zadar vs KK Furnir Dubrava,2025-10-27 11:57:04
Handicap – Game,KK Furnir Dubrava +22.0,1.9,KK Zadar vs KK Furnir Dubrava,2025-10-27 11:57:04
Total – Game,Under 165,1.813,KK Zadar vs KK Furnir Dubrava,2025-10-27 11:57:04
Money Line – Game,KK Furnir Dubrava,10.45,KK Zadar vs KK Furnir Dubrava,2025-10-27 11:57:04
Money Line – Game,KK Zadar,1.017,KK Zadar vs KK Furnir Dubrava,2025-10-27 11:57:04
Handicap – Game,KK Zadar -22.0,1.84,KK Zadar vs KK Furnir Dubrava,2025-10-27 11:57:04
Money Line – Game,KK Zadar,1.017,KK Zadar vs KK Furnir Dubrava,2025-10-27 12:09:05
Money Line – Game,KK Furnir Dubrava,10.45,KK Zadar vs KK Furnir Dubrava,2025-10-27 12:09:05
Handicap – Game,KK Zadar -22.0,1.84,KK Zadar vs KK Furnir Dubrava,2025-10-27 12:09:05
Handicap – Game,KK Furnir Dubrava +22.0,1.9,KK Zadar vs KK Furnir Dubrava,2025-10-27 12:09:05
Total – Game,Over 165,1.925,KK Zadar vs KK Furnir Dubrava,2025-10-27 12:09:05
Total – Game,Under 165,1.813,KK Zadar vs KK Furnir Dubrava,2025-10-27 12:09:05
Total – Game,Over 165,1.925,KK Zadar vs KK Furnir Dubrava,2025-10-27 12:58:13
Handicap – Game,KK Furnir Dubrava +22.0,1.9,KK Zadar vs KK Furnir Dubrava,2025-10-27 12:58:13
Total – Game,Under 165,1.813,KK Zadar vs KK Furnir Dubrava,2025-10-27 12:58:13
Money Line – Game,KK Furnir Dubrava,10.45,KK Zadar vs KK Furnir Dubrava,2025-10-27 12:58:13
Money Line – Game,KK Zadar,1.017,KK Zadar vs KK Furnir Dubrava,2025-10-27 12:58:13
Handicap – Game,KK Zadar -22.0,1.84,KK Zadar vs KK Furnir Dubrava,2025-10-27 12:58:13
Total – Game,Over 165,1.925,KK Zadar vs KK Furnir Dubrava,2025-10-27 13:06:41
Handicap – Game,KK Furnir Dubrava +22.0,1.9,KK Zadar vs KK Furnir Dubrava,2025-10-27 13:06:41
Total – Game,Under 165,1.813,KK Zadar vs KK Furnir Dubrava,2025-10-27 13:06:41
Money Line – Game,KK Furnir Dubrava,10.45,KK Zadar vs KK Furnir Dubrava,2025-10-27 13:06:41
Money Line – Game,KK Zadar,1.017,KK Zadar vs KK Furnir Dubrava,2025-10-27 13:06:41
Handicap – Game,KK Zadar -22.0,1.84,KK Zadar vs KK Furnir Dubrava,2025-10-27 13:06:41
Money Line – Game,KK Zadar,1.017,KK Zadar vs KK Furnir Dubrava,2025-10-27 13:41:33
Money Line – Game,KK Furnir Dubrava,10.45,KK Zadar vs KK Furnir Dubrava,2025-10-27 13:41:33
Handicap – Game,KK Zadar -22.0,1.84,KK Zadar vs KK Furnir Dubrava,2025-10-27 13:41:33
Handicap – Game,KK Furnir Dubrava +22.0,1.9,KK Zadar vs KK Furnir Dubrava,2025-10-27 13:41:33
Total – Game,Over 165,1.925,KK Zadar vs KK Furnir Dubrava,2025-10-27 13:41:33
Total – Game,Under 165,1.813,KK Zadar vs KK Furnir Dubrava,2025-10-27 13:41:33
Total – Game,Under 165,1.813,KK Zadar vs KK Furnir Dubrava,2025-10-27 14:09:42
Handicap – Game,KK Furnir Dubrava +22.0,1.9,KK Zadar vs KK Furnir Dubrava,2025-10-27 14:09:42
Total – Game,Over 165,1.925,KK Zadar vs KK Furnir Dubrava,2025-10-27 14:09:42
Money Line – Game,KK Furnir Dubrava,10.45,KK Zadar vs KK Furnir Dubrava,2025-10-27 14:09:42
Money Line – Game,KK Zadar,1.017,KK Zadar vs KK Furnir Dubrava,2025-10-27 14:09:42
Handicap – Game,KK Zadar -22.0,1.84,KK Zadar vs KK Furnir Dubrava,2025-10-27 14:09:42
Money Line – Game,KK Zadar,1.017,KK Zadar vs KK Furnir Dubrava,2025-10-27 14:31:35
Money Line – Game,KK Furnir Dubrava,10.45,KK Zadar vs KK Furnir Dubrava,2025-10-27 14:31:35
Handicap – Game,KK Zadar -22.0,1.84,KK Zadar vs KK Furnir Dubrava,2025-10-27 14:31:35
Handicap – Game,KK Furnir Dubrava +22.0,1.9,KK Zadar vs KK Furnir Dubrava,2025-10-27 14:31:35
Total – Game,Over 165,1.925,KK Zadar vs KK Furnir Dubrava,2025-10-27 14:31:35
Total – Game,Under 165,1.813,KK Zadar vs KK Furnir Dubrava,2025-10-27 14:31:35
Total – Game,Over 165,1.925,KK Zadar vs KK Furnir Dubrava,2025-10-27 14:47:50
Handicap – Game,KK Furnir Dubrava +22.0,1.9,KK Zadar vs KK Furnir Dubrava,2025-10-27 14:47:50
Total – Game,Under 165,1.813,KK Zadar vs KK Furnir Dubrava,2025-10-27 14:47:50
Money Line – Game,KK Furnir Dubrava,10.45,KK Zadar vs KK Furnir Dubrava,2025-10-27 14:47:50
Money Line – Game,KK Zadar,1.017,KK Zadar vs KK Furnir Dubrava,2025-10-27 14:47:50
Handicap – Game,KK Zadar -22.0,1.84,KK Zadar vs KK Furnir Dubrava,2025-10-27 14:47:50
Total – Game,Over 165,1.925,KK Zadar vs KK Furnir Dubrava,2025-10-27 14:55:01
Handicap – Game,KK Furnir Dubrava +22.0,1.9,KK Zadar vs KK Furnir Dubrava,2025-10-27 14:55:01
Total – Game,Under 165,1.813,KK Zadar vs KK Furnir Dubrava,2025-10-27 14:55:01
Money Line – Game,KK Furnir Dubrava,10.45,KK Zadar vs KK Furnir Dubrava,2025-10-27 14:55:01
Money Line – Game,KK Zadar,1.017,KK Zadar vs KK Furnir Dubrava,2025-10-27 14:55:01
Handicap – Game,KK Zadar -22.0,1.84,KK Zadar vs KK Furnir Dubrava,2025-10-27 14:55:01
Money Line – Game,KK Zadar,1.017,KK Zadar vs KK Furnir Dubrava,2025-10-27 15:04:03
Money Line – Game,KK Furnir Dubrava,10.45,KK Zadar vs KK Furnir Dubrava,2025-10-27 15:04:03
Handicap – Game,KK Zadar -22.0,1.84,KK Zadar vs KK Furnir Dubrava,2025-10-27 15:04:03
Handicap – Game,KK Furnir Dubrava +22.0,1.9,KK Zadar vs KK Furnir Dubrava,2025-10-27 15:04:03
Total – Game,Over 165,1.925,KK Zadar vs KK Furnir Dubrava,2025-10-27 15:04:03
Total – Game,Under 165,1.813,KK Zadar vs KK Furnir Dubrava,2025-10-27 15:04:03
Total – Game,Under 165,1.813,KK Zadar vs KK Furnir Dubrava,2025-10-27 15:48:53
Total – Game,Over 165,1.925,KK Zadar vs KK Furnir Dubrava,2025-10-27 15:48:53
Handicap – Game,KK Furnir Dubrava +22.0,1.9,KK Zadar vs KK Furnir Dubrava,2025-10-27 15:48:53
Money Line – Game,KK Furnir Dubrava,10.45,KK Zadar vs KK Furnir Dubrava,2025-10-27 15:48:53
