team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
KK Zadar,KK Kvarner 2010,https://www.pinnacle.com/en/basketball/croatia-a1-liga/kk-zadar-vs-kk-kvarner-2010/1616675145/,,,-21.0,1.813,21.0,1.925,152.5,1.819,152.5,1.925,2025-10-02 14:59:50
KK Zadar,KK Kvarner 2010,https://www.pinnacle.com/en/basketball/croatia-a1-liga/kk-zadar-vs-kk-kvarner-2010/1616675145/,,,-21.0,1.813,21.0,1.925,152.5,1.819,152.5,1.925,2025-10-02 15:11:27
KK Zadar,KK Kvarner 2010,https://www.pinnacle.com/en/basketball/croatia-a1-liga/kk-zadar-vs-kk-kvarner-2010/1616675145/,,,-21.0,1.813,21.0,1.925,152.5,1.819,152.5,1.925,2025-10-02 15:29:27
KK Zadar,KK Kvarner 2010,https://www.pinnacle.com/en/basketball/croatia-a1-liga/kk-zadar-vs-kk-kvarner-2010/1616675145/,,,-21.0,1.813,21.0,1.925,152.5,1.819,152.5,1.925,2025-10-02 15:41:47
KK Zadar,KK Kvarner 2010,https://www.pinnacle.com/en/basketball/croatia-a1-liga/kk-zadar-vs-kk-kvarner-2010/1616675145/,1.023,9.59,-25.0,1.854,25.0,1.884,153.5,1.819,153.5,1.925,2025-10-02 15:59:14
KK Furnir Dubrava,KK Cibona,https://www.pinnacle.com/en/basketball/croatia-a1-liga/kk-furnir-dubrava-vs-kk-cibona/1616660765/,2.93,1.35,5.5,1.854,-5.5,1.884,166.5,1.934,166.5,1.806,2025-10-05 16:30:51
KK Furnir Dubrava,KK Cibona,https://www.pinnacle.com/en/basketball/croatia-a1-liga/kk-furnir-dubrava-vs-kk-cibona/1616660765/,2.93,1.35,5.5,1.854,-5.5,1.884,166.5,1.934,166.5,1.806,2025-10-05 16:40:44
KK Furnir Dubrava,KK Cibona,https://www.pinnacle.com/en/basketball/croatia-a1-liga/kk-furnir-dubrava-vs-kk-cibona/1616660765/,2.93,1.35,5.5,1.854,-5.5,1.884,166.5,1.934,166.5,1.806,2025-10-05 16:47:43
KK Furnir Dubrava,KK Cibona,https://www.pinnacle.com/en/basketball/croatia-a1-liga/kk-furnir-dubrava-vs-kk-cibona/1616660765/,2.93,1.35,5.5,1.854,-5.5,1.884,166.5,1.934,166.5,1.806,2025-10-05 17:00:50
KK Zadar,KK Furnir Dubrava,https://www.pinnacle.com/en/basketball/croatia-a1-liga/kk-zadar-vs-kk-furnir-dubrava/1618151050/,1.015,10.83,-23.0,1.854,23.0,1.884,163.0,1.854,163.0,1.884,2025-10-27 00:03:59
