Market,Selection,Odds,matchup,timestamp
Money Line – Game,BA Lynx Liberec,1.9,BA Lynx Liberec vs Sokol Prazsky,2025-09-19 17:24:40
Total – Game,Under 158,1.813,BK Opava B vs SKB Zlin,2025-09-19 17:24:40
Total – Game,Over 158,1.854,BK Opava B vs SKB Zlin,2025-09-19 17:24:40
Handicap – Game,BK Opava B +6.0,1.826,BK Opava B vs SKB Zlin,2025-09-19 17:24:40
Money Line – Game,SKB Zlin,1.34,BK Opava B vs SKB Zlin,2025-09-19 17:24:40
Money Line – Game,BK Opava B,2.79,BK Opava B vs SKB Zlin,2025-09-19 17:24:40
Handicap – Game,SKB Zlin -6.0,1.84,BK Opava B vs SKB Zlin,2025-09-19 17:24:40
Total – Game,Over 154.5,1.869,BA Lynx Liberec vs Sokol Prazsky,2025-09-19 17:24:40
Handicap – Game,Sokol Prazsky -1.5,1.84,BA Lynx Liberec vs Sokol Prazsky,2025-09-19 17:24:40
Handicap – Game,BA Lynx Liberec +1.5,1.826,BA Lynx Liberec vs Sokol Prazsky,2025-09-19 17:24:40
Money Line – Game,Sokol Prazsky,1.763,BA Lynx Liberec vs Sokol Prazsky,2025-09-19 17:24:40
Total – Game,Under 154.5,1.8,BA Lynx Liberec vs Sokol Prazsky,2025-09-19 17:24:40
Money Line – Game,CZ Academy,1.223,CZ Academy vs Slavoj BK Litomerice,2025-10-30 17:48:25
Money Line – Game,Slavoj BK Litomerice,3.37,CZ Academy vs Slavoj BK Litomerice,2025-10-30 17:48:25
Handicap – Game,CZ Academy -7.5,1.806,CZ Academy vs Slavoj BK Litomerice,2025-10-30 17:48:25
Handicap – Game,Slavoj BK Litomerice +7.5,1.862,CZ Academy vs Slavoj BK Litomerice,2025-10-30 17:48:25
Total – Game,Over 162.5,1.751,CZ Academy vs Slavoj BK Litomerice,2025-10-30 17:48:25
Total – Game,Under 162.5,1.925,CZ Academy vs Slavoj BK Litomerice,2025-10-30 17:48:25
Total – Game,Over 153.5,1.84,BA Lynx Liberec vs Valecnici Decin,2025-11-13 17:32:22
Handicap – Game,Valecnici Decin -8.5,1.877,BA Lynx Liberec vs Valecnici Decin,2025-11-13 17:32:22
Total – Game,Under 153.5,1.826,BA Lynx Liberec vs Valecnici Decin,2025-11-13 17:32:22
Money Line – Game,Valecnici Decin,1.196,BA Lynx Liberec vs Valecnici Decin,2025-11-13 17:32:22
