team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
BC Novy Jicin II,TJ Slovan Cerna Pole Brno,https://www.pinnacle.com/en/basketball/czech-republic-cup/bc-novy-jicin-ii-vs-tj-slovan-cerna-pole-brno/1616054003/,1.657,1.961,-2.0,1.8,2.0,1.8,167.5,1.806,167.5,1.793,2025-09-24 01:53:48
Basket Podebrady,BK Vlci Zdar nad Sazavou,https://www.pinnacle.com/en/basketball/czech-republic-cup/basket-podebrady-vs-bk-vlci-zdar-nad-sazavou/1616037595/,1.833,1.769,1.5,1.757,-1.5,1.847,147.5,1.806,147.5,1.793,2025-09-24 01:53:48
BC Novy Jicin II,TJ Slovan Cerna Pole Brno,https://www.pinnacle.com/en/basketball/czech-republic-cup/bc-novy-jicin-ii-vs-tj-slovan-cerna-pole-brno/1616054003/,1.657,1.961,-2.0,1.8,2.0,1.8,167.5,1.806,167.5,1.793,2025-09-24 03:45:35
Basket Podebrady,BK Vlci Zdar nad Sazavou,https://www.pinnacle.com/en/basketball/czech-republic-cup/basket-podebrady-vs-bk-vlci-zdar-nad-sazavou/1616037595/,1.833,1.769,1.5,1.757,-1.5,1.847,147.5,1.806,147.5,1.793,2025-09-24 03:45:35
BC Novy Jicin II,TJ Slovan Cerna Pole Brno,https://www.pinnacle.com/en/basketball/czech-republic-cup/bc-novy-jicin-ii-vs-tj-slovan-cerna-pole-brno/1616054003/,1.657,1.961,-2.0,1.8,2.0,1.8,167.5,1.806,167.5,1.793,2025-09-24 03:57:40
Basket Podebrady,BK Vlci Zdar nad Sazavou,https://www.pinnacle.com/en/basketball/czech-republic-cup/basket-podebrady-vs-bk-vlci-zdar-nad-sazavou/1616037595/,1.833,1.769,1.5,1.757,-1.5,1.847,147.5,1.806,147.5,1.793,2025-09-24 03:57:40
BC Novy Jicin II,TJ Slovan Cerna Pole Brno,https://www.pinnacle.com/en/basketball/czech-republic-cup/bc-novy-jicin-ii-vs-tj-slovan-cerna-pole-brno/1616054003/,1.657,1.961,-2.0,1.8,2.0,1.8,167.5,1.806,167.5,1.793,2025-09-24 04:05:23
Basket Podebrady,BK Vlci Zdar nad Sazavou,https://www.pinnacle.com/en/basketball/czech-republic-cup/basket-podebrady-vs-bk-vlci-zdar-nad-sazavou/1616037595/,1.833,1.769,1.5,1.757,-1.5,1.847,147.5,1.806,147.5,1.793,2025-09-24 04:05:23
BC Novy Jicin II,TJ Slovan Cerna Pole Brno,https://www.pinnacle.com/en/basketball/czech-republic-cup/bc-novy-jicin-ii-vs-tj-slovan-cerna-pole-brno/1616054003/,1.657,1.961,-2.0,1.8,2.0,1.8,167.5,1.806,167.5,1.793,2025-09-24 04:47:29
Basket Podebrady,BK Vlci Zdar nad Sazavou,https://www.pinnacle.com/en/basketball/czech-republic-cup/basket-podebrady-vs-bk-vlci-zdar-nad-sazavou/1616037595/,1.833,1.769,1.5,1.757,-1.5,1.847,147.5,1.806,147.5,1.793,2025-09-24 04:47:29
