Market,Selection,Odds,matchup,timestamp
Money Line – Game,SK Slavia Prague,2.77,SK Slavia Prague vs BK Decin,2025-10-01 17:23:55
Money Line – Game,BK Decin,1.39,SK Slavia Prague vs BK Decin,2025-10-01 17:23:55
Handicap – Game,SK Slavia Prague +6.0,1.862,SK Slavia Prague vs BK Decin,2025-10-01 17:23:55
Handicap – Game,BK Decin -6.0,1.877,SK Slavia Prague vs BK Decin,2025-10-01 17:23:55
Total – Game,Over 163,1.869,SK Slavia Prague vs BK Decin,2025-10-01 17:23:55
Total – Game,Under 163,1.869,SK Slavia Prague vs BK Decin,2025-10-01 17:23:55
Money Line – Game,SK Slavia Prague,2.77,SK Slavia Prague vs BK Decin,2025-10-01 17:32:21
Money Line – Game,BK Decin,1.39,SK Slavia Prague vs BK Decin,2025-10-01 17:32:21
Handicap – Game,SK Slavia Prague +6.0,1.862,SK Slavia Prague vs BK Decin,2025-10-01 17:32:21
Handicap – Game,BK Decin -6.0,1.877,SK Slavia Prague vs BK Decin,2025-10-01 17:32:21
Total – Game,Over 163,1.869,SK Slavia Prague vs BK Decin,2025-10-01 17:32:21
Total – Game,Under 163,1.869,SK Slavia Prague vs BK Decin,2025-10-01 17:32:21
Total – Game,Under 163,1.869,SK Slavia Prague vs BK Decin,2025-10-01 17:44:33
Total – Game,Over 163,1.869,SK Slavia Prague vs BK Decin,2025-10-01 17:44:33
Handicap – Game,BK Decin -8.5,1.943,SK Slavia Prague vs BK Decin,2025-10-01 17:44:33
Money Line – Game,BK Decin,1.225,SK Slavia Prague vs BK Decin,2025-10-01 17:44:33
Money Line – Game,SK Slavia Prague,3.66,SK Slavia Prague vs BK Decin,2025-10-01 17:44:33
Handicap – Game,SK Slavia Prague +8.5,1.8,SK Slavia Prague vs BK Decin,2025-10-01 17:44:33
Money Line – Game,SK Slavia Prague,3.66,SK Slavia Prague vs BK Decin,2025-10-01 17:56:51
Money Line – Game,BK Decin,1.225,SK Slavia Prague vs BK Decin,2025-10-01 17:56:51
Handicap – Game,SK Slavia Prague +8.5,1.8,SK Slavia Prague vs BK Decin,2025-10-01 17:56:51
Handicap – Game,BK Decin -8.5,1.943,SK Slavia Prague vs BK Decin,2025-10-01 17:56:51
Total – Game,Over 163,1.869,SK Slavia Prague vs BK Decin,2025-10-01 17:56:51
Total – Game,Under 163,1.869,SK Slavia Prague vs BK Decin,2025-10-01 17:56:51
Total – Game,Over 180,1.854,Basketball Nymburk vs Srsni Pisek,2025-10-23 23:50:19
Handicap – Game,Basketball Nymburk -23.5,1.813,Basketball Nymburk vs Srsni Pisek,2025-10-23 23:50:19
Handicap – Game,Srsni Pisek +23.5,1.934,Basketball Nymburk vs Srsni Pisek,2025-10-23 23:50:19
Total – Game,Under 180,1.884,Basketball Nymburk vs Srsni Pisek,2025-10-23 23:50:19
Money Line – Game,Basket Brno,1.068,Basket Brno vs Sokol Hradec Kralove,2025-12-30 17:05:39
Money Line – Game,Sokol Hradec Kralove,6.34,Basket Brno vs Sokol Hradec Kralove,2025-12-30 17:05:39
Handicap – Game,Basket Brno -13.5,1.84,Basket Brno vs Sokol Hradec Kralove,2025-12-30 17:05:39
Handicap – Game,Sokol Hradec Kralove +13.5,1.9,Basket Brno vs Sokol Hradec Kralove,2025-12-30 17:05:39
Total – Game,Over 164.5,1.787,Basket Brno vs Sokol Hradec Kralove,2025-12-30 17:05:39
Total – Game,Under 164.5,1.961,Basket Brno vs Sokol Hradec Kralove,2025-12-30 17:05:39
Money Line – Game,Basket Brno,1.058,Basket Brno vs Sokol Hradec Kralove,2025-12-30 17:47:08
Money Line – Game,Sokol Hradec Kralove,6.76,Basket Brno vs Sokol Hradec Kralove,2025-12-30 17:47:08
Handicap – Game,Basket Brno -13.5,1.847,Basket Brno vs Sokol Hradec Kralove,2025-12-30 17:47:08
Handicap – Game,Sokol Hradec Kralove +13.5,1.892,Basket Brno vs Sokol Hradec Kralove,2025-12-30 17:47:08
Total – Game,Over 165.5,1.9,Basket Brno vs Sokol Hradec Kralove,2025-12-30 17:47:08
Total – Game,Under 165.5,1.84,Basket Brno vs Sokol Hradec Kralove,2025-12-30 17:47:08
Money Line – Game,Basket Brno,1.103,Basket Brno vs Sokol Hradec Kralove,2025-12-30 17:58:22
Money Line – Game,Sokol Hradec Kralove,5.3,Basket Brno vs Sokol Hradec Kralove,2025-12-30 17:58:22
Handicap – Game,Basket Brno -11.0,1.833,Basket Brno vs Sokol Hradec Kralove,2025-12-30 17:58:22
Handicap – Game,Sokol Hradec Kralove +11.0,1.909,Basket Brno vs Sokol Hradec Kralove,2025-12-30 17:58:22
Total – Game,Over 165.5,1.943,Basket Brno vs Sokol Hradec Kralove,2025-12-30 17:58:22
Total – Game,Under 165.5,1.8,Basket Brno vs Sokol Hradec Kralove,2025-12-30 17:58:22
Money Line – Game,SK Slavia Prague,1.775,SK Slavia Prague vs Basketbal Olomouc,2026-04-09 17:29:08
Money Line – Game,Basketbal Olomouc,1.97,SK Slavia Prague vs Basketbal Olomouc,2026-04-09 17:29:08
Handicap – Game,SK Slavia Prague -1.0,1.813,SK Slavia Prague vs Basketbal Olomouc,2026-04-09 17:29:08
Handicap – Game,Basketbal Olomouc +1.0,1.934,SK Slavia Prague vs Basketbal Olomouc,2026-04-09 17:29:08
Total – Game,Over 163,1.826,SK Slavia Prague vs Basketbal Olomouc,2026-04-09 17:29:08
Total – Game,Under 163,1.917,SK Slavia Prague vs Basketbal Olomouc,2026-04-09 17:29:08
Money Line – Game,Basket Brno,1.121,Basket Brno vs BK Decin,2026-04-27 01:17:25
Money Line – Game,BK Decin,4.91,Basket Brno vs BK Decin,2026-04-27 01:17:25
Handicap – Game,Basket Brno -10.5,1.884,Basket Brno vs BK Decin,2026-04-27 01:17:25
Handicap – Game,BK Decin +10.5,1.854,Basket Brno vs BK Decin,2026-04-27 01:17:25
Total – Game,Over 165,1.892,Basket Brno vs BK Decin,2026-04-27 01:17:25
Total – Game,Under 165,1.84,Basket Brno vs BK Decin,2026-04-27 01:17:25
Money Line – Game,Basket Brno,1.079,Basket Brno vs BK Decin,2026-04-27 15:13:29
Money Line – Game,BK Decin,5.96,Basket Brno vs BK Decin,2026-04-27 15:13:29
Handicap – Game,Basket Brno -13.0,1.806,Basket Brno vs BK Decin,2026-04-27 15:13:29
Handicap – Game,BK Decin +13.0,1.934,Basket Brno vs BK Decin,2026-04-27 15:13:29
Total – Game,Over 166.5,1.884,Basket Brno vs BK Decin,2026-04-27 15:13:29
Total – Game,Under 166.5,1.854,Basket Brno vs BK Decin,2026-04-27 15:13:29
Money Line – Game,NH Ostrava,10.19,NH Ostrava vs Basketball Nymburk,2026-05-04 00:16:13
Money Line – Game,Basketball Nymburk,1.019,NH Ostrava vs Basketball Nymburk,2026-05-04 00:16:13
Handicap – Game,NH Ostrava +22.0,1.813,NH Ostrava vs Basketball Nymburk,2026-05-04 00:16:13
Handicap – Game,Basketball Nymburk -22.0,1.925,NH Ostrava vs Basketball Nymburk,2026-05-04 00:16:13
Total – Game,Over 180.5,1.877,NH Ostrava vs Basketball Nymburk,2026-05-04 00:16:13
Total – Game,Under 180.5,1.862,NH Ostrava vs Basketball Nymburk,2026-05-04 00:16:13
Money Line – Game,Srsni Pisek,2.92,Srsni Pisek vs BK Pardubice,2026-05-04 00:16:13
Money Line – Game,BK Pardubice,1.353,Srsni Pisek vs BK Pardubice,2026-05-04 00:16:13
Handicap – Game,Srsni Pisek +6.5,1.884,Srsni Pisek vs BK Pardubice,2026-05-04 00:16:13
Handicap – Game,BK Pardubice -6.5,1.854,Srsni Pisek vs BK Pardubice,2026-05-04 00:16:13
Total – Game,Over 175,1.925,Srsni Pisek vs BK Pardubice,2026-05-04 00:16:13
Total – Game,Under 175,1.813,Srsni Pisek vs BK Pardubice,2026-05-04 00:16:13
Money Line – Game,NH Ostrava,10.58,NH Ostrava vs Basketball Nymburk,2026-05-04 04:12:02
Money Line – Game,Basketball Nymburk,1.017,NH Ostrava vs Basketball Nymburk,2026-05-04 04:12:02
Handicap – Game,NH Ostrava +22.0,1.952,NH Ostrava vs Basketball Nymburk,2026-05-04 04:12:02
Handicap – Game,Basketball Nymburk -22.0,1.793,NH Ostrava vs Basketball Nymburk,2026-05-04 04:12:02
Total – Game,Over 180.5,1.84,NH Ostrava vs Basketball Nymburk,2026-05-04 04:12:02
Total – Game,Under 180.5,1.9,NH Ostrava vs Basketball Nymburk,2026-05-04 04:12:02
Money Line – Game,Srsni Pisek,2.92,Srsni Pisek vs BK Pardubice,2026-05-04 04:12:02
Money Line – Game,BK Pardubice,1.353,Srsni Pisek vs BK Pardubice,2026-05-04 04:12:02
Handicap – Game,Srsni Pisek +6.5,1.884,Srsni Pisek vs BK Pardubice,2026-05-04 04:12:02
Handicap – Game,BK Pardubice -6.5,1.854,Srsni Pisek vs BK Pardubice,2026-05-04 04:12:02
Total – Game,Over 175,1.925,Srsni Pisek vs BK Pardubice,2026-05-04 04:12:02
Total – Game,Under 175,1.813,Srsni Pisek vs BK Pardubice,2026-05-04 04:12:02
Money Line – Game,Srsni Pisek,2.92,Srsni Pisek vs BK Pardubice,2026-05-04 07:25:22
Money Line – Game,BK Pardubice,1.353,Srsni Pisek vs BK Pardubice,2026-05-04 07:25:22
Handicap – Game,Srsni Pisek +6.5,1.884,Srsni Pisek vs BK Pardubice,2026-05-04 07:25:22
Handicap – Game,BK Pardubice -6.5,1.854,Srsni Pisek vs BK Pardubice,2026-05-04 07:25:22
Total – Game,Over 175,1.877,Srsni Pisek vs BK Pardubice,2026-05-04 07:25:22
Total – Game,Under 175,1.862,Srsni Pisek vs BK Pardubice,2026-05-04 07:25:22
Money Line – Game,NH Ostrava,11.34,NH Ostrava vs Basketball Nymburk,2026-05-04 07:25:22
Money Line – Game,Basketball Nymburk,1.013,NH Ostrava vs Basketball Nymburk,2026-05-04 07:25:22
Handicap – Game,NH Ostrava +25.0,1.877,NH Ostrava vs Basketball Nymburk,2026-05-04 07:25:22
Handicap – Game,Basketball Nymburk -25.0,1.862,NH Ostrava vs Basketball Nymburk,2026-05-04 07:25:22
Total – Game,Over 183,1.943,NH Ostrava vs Basketball Nymburk,2026-05-04 07:25:22
Total – Game,Under 183,1.8,NH Ostrava vs Basketball Nymburk,2026-05-04 07:25:22
Money Line – Game,NH Ostrava,11.55,NH Ostrava vs Basketball Nymburk,2026-05-04 11:30:18
Money Line – Game,Basketball Nymburk,1.012,NH Ostrava vs Basketball Nymburk,2026-05-04 11:30:18
Handicap – Game,NH Ostrava +25.0,1.943,NH Ostrava vs Basketball Nymburk,2026-05-04 11:30:18
Handicap – Game,Basketball Nymburk -25.0,1.8,NH Ostrava vs Basketball Nymburk,2026-05-04 11:30:18
Total – Game,Over 183,1.934,NH Ostrava vs Basketball Nymburk,2026-05-04 11:30:18
Total – Game,Under 183,1.806,NH Ostrava vs Basketball Nymburk,2026-05-04 11:30:18
Money Line – Game,Srsni Pisek,2.92,Srsni Pisek vs BK Pardubice,2026-05-04 11:30:18
Money Line – Game,BK Pardubice,1.353,Srsni Pisek vs BK Pardubice,2026-05-04 11:30:18
Handicap – Game,Srsni Pisek +6.5,1.884,Srsni Pisek vs BK Pardubice,2026-05-04 11:30:18
Handicap – Game,BK Pardubice -6.5,1.854,Srsni Pisek vs BK Pardubice,2026-05-04 11:30:18
Total – Game,Over 175,1.877,Srsni Pisek vs BK Pardubice,2026-05-04 11:30:18
Total – Game,Under 175,1.862,Srsni Pisek vs BK Pardubice,2026-05-04 11:30:18
Money Line – Game,NH Ostrava,11.510,NH Ostrava vs Basketball Nymburk,2026-05-04 15:28:43
Money Line – Game,Basketball Nymburk,1.012,NH Ostrava vs Basketball Nymburk,2026-05-04 15:28:43
Handicap – Game,NH Ostrava +25.0,1.943,NH Ostrava vs Basketball Nymburk,2026-05-04 15:28:43
Handicap – Game,Basketball Nymburk -25.0,1.800,NH Ostrava vs Basketball Nymburk,2026-05-04 15:28:43
Total – Game,Over 181.5,1.862,NH Ostrava vs Basketball Nymburk,2026-05-04 15:28:43
Total – Game,Under 181.5,1.877,NH Ostrava vs Basketball Nymburk,2026-05-04 15:28:43
Money Line – Game,Srsni Pisek,2.880,Srsni Pisek vs BK Pardubice,2026-05-04 15:28:43
Money Line – Game,BK Pardubice,1.363,Srsni Pisek vs BK Pardubice,2026-05-04 15:28:43
Handicap – Game,Srsni Pisek +6.5,1.854,Srsni Pisek vs BK Pardubice,2026-05-04 15:28:43
Handicap – Game,BK Pardubice -6.5,1.884,Srsni Pisek vs BK Pardubice,2026-05-04 15:28:43
Total – Game,Over 175,1.877,Srsni Pisek vs BK Pardubice,2026-05-04 15:28:43
Total – Game,Under 175,1.862,Srsni Pisek vs BK Pardubice,2026-05-04 15:28:43
