team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
SK Slavia Prague,BK Decin,https://www.pinnacle.com/en/basketball/czech-republic-nbl/sk-slavia-prague-vs-bk-decin/1616529603/,2.77,1.39,6.0,1.862,-6.0,1.877,163.0,1.869,163.0,1.869,2025-10-01 17:23:55
SK Slavia Prague,BK Decin,https://www.pinnacle.com/en/basketball/czech-republic-nbl/sk-slavia-prague-vs-bk-decin/1616529603/,2.77,1.39,6.0,1.862,-6.0,1.877,163.0,1.869,163.0,1.869,2025-10-01 17:32:21
SK Slavia Prague,BK Decin,https://www.pinnacle.com/en/basketball/czech-republic-nbl/sk-slavia-prague-vs-bk-decin/1616529603/,2.77,1.39,6.0,1.862,-6.0,1.877,163.0,1.877,163.0,1.862,2025-10-01 17:44:33
SK Slavia Prague,BK Decin,https://www.pinnacle.com/en/basketball/czech-republic-nbl/sk-slavia-prague-vs-bk-decin/1616529603/,3.66,1.225,8.5,1.8,-8.5,1.943,163.0,1.869,163.0,1.869,2025-10-01 17:56:51
Basketball Nymburk,Srsni Pisek,https://www.pinnacle.com/en/basketball/czech-republic-nbl/basketball-nymburk-vs-srsni-pisek/1617917820/,,,-23.5,1.813,23.5,1.934,180.0,1.854,180.0,1.884,2025-10-23 23:25:08
Basketball Nymburk,Srsni Pisek,https://www.pinnacle.com/en/basketball/czech-republic-nbl/basketball-nymburk-vs-srsni-pisek/1617917820/,,,-23.5,1.813,23.5,1.934,180.0,1.854,180.0,1.884,2025-10-23 23:44:15
Basketball Nymburk,Srsni Pisek,https://www.pinnacle.com/en/basketball/czech-republic-nbl/basketball-nymburk-vs-srsni-pisek/1617917820/,,,-23.5,1.813,23.5,1.934,180.0,1.854,180.0,1.884,2025-10-23 23:50:19
Basket Brno,Sokol Hradec Kralove,https://www.pinnacle.com/en/basketball/czech-republic-nbl/basket-brno-vs-sokol-hradec-kralove/1621758859/,1.08,5.92,-12.5,1.869,12.5,1.869,164.5,1.8,164.5,1.943,2025-12-30 17:05:39
Basket Brno,Sokol Hradec Kralove,https://www.pinnacle.com/en/basketball/czech-republic-nbl/basket-brno-vs-sokol-hradec-kralove/1621758859/,1.069,6.31,-13.5,1.847,13.5,1.884,164.5,1.787,164.5,1.961,2025-12-30 17:47:08
Basket Brno,Sokol Hradec Kralove,https://www.pinnacle.com/en/basketball/czech-republic-nbl/basket-brno-vs-sokol-hradec-kralove/1621758859/,1.074,6.11,-12.0,1.9,12.0,1.84,165.5,1.934,165.5,1.806,2025-12-30 17:58:22
SK Slavia Prague,Basketbal Olomouc,https://www.pinnacle.com/en/basketball/czech-republic-nbl/sk-slavia-prague-vs-basketbal-olomouc/1627789329/,1.909,1.833,-1.0,1.943,1.0,1.8,163.0,1.819,163.0,1.925,2026-04-09 17:29:08
Basket Brno,BK Decin,https://www.pinnacle.com/en/basketball/czech-republic-nbl/basket-brno-vs-bk-decin/1629271856/,1.121,4.91,-10.5,1.884,10.5,1.854,165.0,1.892,165.0,1.84,2026-04-27 01:17:25
Basket Brno,BK Decin,https://www.pinnacle.com/en/basketball/czech-republic-nbl/basket-brno-vs-bk-decin/1629271856/,1.092,5.57,-12.0,1.84,12.0,1.9,166.5,1.9,166.5,1.84,2026-04-27 15:13:29
NH Ostrava,Basketball Nymburk,https://www.pinnacle.com/en/basketball/czech-republic-nbl/nh-ostrava-vs-basketball-nymburk/1629809088/,10.19,1.019,22.0,1.813,-22.0,1.925,180.5,1.877,180.5,1.862,2026-05-04 00:16:13
Srsni Pisek,BK Pardubice,https://www.pinnacle.com/en/basketball/czech-republic-nbl/srsni-pisek-vs-bk-pardubice/1629619359/,2.92,1.353,6.5,1.884,-6.5,1.854,175.0,1.925,175.0,1.813,2026-05-04 00:16:13
NH Ostrava,Basketball Nymburk,https://www.pinnacle.com/en/basketball/czech-republic-nbl/nh-ostrava-vs-basketball-nymburk/1629809088/,10.58,1.017,22.0,1.952,-22.0,1.793,180.5,1.84,180.5,1.9,2026-05-04 04:12:02
Srsni Pisek,BK Pardubice,https://www.pinnacle.com/en/basketball/czech-republic-nbl/srsni-pisek-vs-bk-pardubice/1629619359/,2.92,1.353,6.5,1.884,-6.5,1.854,175.0,1.925,175.0,1.813,2026-05-04 04:12:02
Srsni Pisek,BK Pardubice,https://www.pinnacle.com/en/basketball/czech-republic-nbl/srsni-pisek-vs-bk-pardubice/1629619359/,2.92,1.353,6.5,1.884,-6.5,1.854,175.0,1.877,175.0,1.862,2026-05-04 07:25:22
NH Ostrava,Basketball Nymburk,https://www.pinnacle.com/en/basketball/czech-republic-nbl/nh-ostrava-vs-basketball-nymburk/1629809088/,11.34,1.013,25.0,1.877,-25.0,1.862,183.0,1.943,183.0,1.8,2026-05-04 07:25:22
NH Ostrava,Basketball Nymburk,https://www.pinnacle.com/en/basketball/czech-republic-nbl/nh-ostrava-vs-basketball-nymburk/1629809088/,11.55,1.012,25.0,1.943,-25.0,1.8,183.0,1.934,183.0,1.806,2026-05-04 11:30:18
Srsni Pisek,BK Pardubice,https://www.pinnacle.com/en/basketball/czech-republic-nbl/srsni-pisek-vs-bk-pardubice/1629619359/,2.92,1.353,6.5,1.884,-6.5,1.854,175.0,1.877,175.0,1.862,2026-05-04 11:30:18
NH Ostrava,Basketball Nymburk,https://www.pinnacle.com/en/basketball/czech-republic-nbl/nh-ostrava-vs-basketball-nymburk/1629809088/,11.550,1.012,+25.0,1.961,-25.0,1.787,181.5,1.854,181.5,1.884,2026-05-04 15:28:43
Srsni Pisek,BK Pardubice,https://www.pinnacle.com/en/basketball/czech-republic-nbl/srsni-pisek-vs-bk-pardubice/1629619359/,2.880,1.363,+6.5,1.854,-6.5,1.884,175,1.877,175,1.862,2026-05-04 15:28:43
