Market,Selection,Odds,matchup,timestamp
Money Line – Game,Brandys nad Labem,2.35,Brandys nad Labem vs SBS Ostrava,2025-10-01 17:24:00
Total – Game,Under 150,1.763,Basket Ostrava vs BK Loko Trutnov,2025-10-01 17:24:00
Total – Game,Over 150,1.909,Basket Ostrava vs BK Loko Trutnov,2025-10-01 17:24:00
Handicap – Game,BK Loko Trutnov -18.0,1.819,Basket Ostrava vs BK Loko Trutnov,2025-10-01 17:24:00
Money Line – Game,BK Loko Trutnov,1.02,Basket Ostrava vs BK Loko Trutnov,2025-10-01 17:24:00
Money Line – Game,Basket Ostrava,7.61,Basket Ostrava vs BK Loko Trutnov,2025-10-01 17:24:00
Handicap – Game,Basket Ostrava +18.0,1.847,Basket Ostrava vs BK Loko Trutnov,2025-10-01 17:24:00
Total – Game,Over 144.5,1.826,Brandys nad Labem vs SBS Ostrava,2025-10-01 17:24:00
Handicap – Game,SBS Ostrava -3.5,1.847,Brandys nad Labem vs SBS Ostrava,2025-10-01 17:24:00
Handicap – Game,Brandys nad Labem +3.5,1.819,Brandys nad Labem vs SBS Ostrava,2025-10-01 17:24:00
Money Line – Game,SBS Ostrava,1.492,Brandys nad Labem vs SBS Ostrava,2025-10-01 17:24:00
Total – Game,Under 144.5,1.84,Brandys nad Labem vs SBS Ostrava,2025-10-01 17:24:00
Money Line – Game,BK Loko Trutnov,1.02,Basket Ostrava vs BK Loko Trutnov,2025-10-01 17:32:26
Total – Game,Under 150,1.763,Basket Ostrava vs BK Loko Trutnov,2025-10-01 17:32:26
Total – Game,Over 150,1.909,Basket Ostrava vs BK Loko Trutnov,2025-10-01 17:32:26
Handicap – Game,BK Loko Trutnov -18.0,1.819,Basket Ostrava vs BK Loko Trutnov,2025-10-01 17:32:26
Handicap – Game,Basket Ostrava +18.0,1.847,Basket Ostrava vs BK Loko Trutnov,2025-10-01 17:32:26
Money Line – Game,Basket Ostrava,7.61,Basket Ostrava vs BK Loko Trutnov,2025-10-01 17:32:26
Handicap – Game,Brandys nad Labem +3.5,1.819,Brandys nad Labem vs SBS Ostrava,2025-10-01 17:32:26
Total – Game,Over 144.5,1.826,Brandys nad Labem vs SBS Ostrava,2025-10-01 17:32:26
Handicap – Game,SBS Ostrava -3.5,1.847,Brandys nad Labem vs SBS Ostrava,2025-10-01 17:32:26
Money Line – Game,SBS Ostrava,1.492,Brandys nad Labem vs SBS Ostrava,2025-10-01 17:32:26
Money Line – Game,Brandys nad Labem,2.35,Brandys nad Labem vs SBS Ostrava,2025-10-01 17:32:26
Total – Game,Under 144.5,1.84,Brandys nad Labem vs SBS Ostrava,2025-10-01 17:32:26
Total – Game,Over 150,1.909,Basket Ostrava vs BK Loko Trutnov,2025-10-01 17:44:38
Money Line – Game,Basket Ostrava,7.64,Basket Ostrava vs BK Loko Trutnov,2025-10-01 17:44:38
Money Line – Game,BK Loko Trutnov,1.019,Basket Ostrava vs BK Loko Trutnov,2025-10-01 17:44:38
Handicap – Game,Basket Ostrava +18.0,1.862,Basket Ostrava vs BK Loko Trutnov,2025-10-01 17:44:38
Handicap – Game,BK Loko Trutnov -18.0,1.806,Basket Ostrava vs BK Loko Trutnov,2025-10-01 17:44:38
Total – Game,Under 150,1.763,Basket Ostrava vs BK Loko Trutnov,2025-10-01 17:44:38
Money Line – Game,Levharti Chomutov,1.473,Levharti Chomutov vs Sokol Hradec Kralove,2026-02-25 17:46:31
Money Line – Game,Sokol Hradec Kralove,2.38,Levharti Chomutov vs Sokol Hradec Kralove,2026-02-25 17:46:31
Handicap – Game,Levharti Chomutov -4.0,1.793,Levharti Chomutov vs Sokol Hradec Kralove,2026-02-25 17:46:31
Handicap – Game,Sokol Hradec Kralove +4.0,1.869,Levharti Chomutov vs Sokol Hradec Kralove,2026-02-25 17:46:31
Total – Game,Over 143,1.787,Levharti Chomutov vs Sokol Hradec Kralove,2026-02-25 17:46:31
Total – Game,Under 143,1.884,Levharti Chomutov vs Sokol Hradec Kralove,2026-02-25 17:46:31
Handicap – Game,Valosun KP Brno -21.0,1.751,Valosun KP Brno vs Brandys nad Labem,2026-02-26 11:58:27
Handicap – Game,Brandys nad Labem +21.0,1.917,Valosun KP Brno vs Brandys nad Labem,2026-02-26 11:58:27
Total – Game,Over 157.5,1.826,Valosun KP Brno vs Brandys nad Labem,2026-02-26 11:58:27
Total – Game,Under 157.5,1.84,Valosun KP Brno vs Brandys nad Labem,2026-02-26 11:58:27
Money Line – Game,Valosun KP Brno,1.011,Valosun KP Brno vs Brandys nad Labem,2026-02-26 12:52:02
Money Line – Game,Brandys nad Labem,8.64,Valosun KP Brno vs Brandys nad Labem,2026-02-26 12:52:02
Handicap – Game,Valosun KP Brno -21.5,1.806,Valosun KP Brno vs Brandys nad Labem,2026-02-26 12:52:02
Handicap – Game,Brandys nad Labem +21.5,1.862,Valosun KP Brno vs Brandys nad Labem,2026-02-26 12:52:02
Total – Game,Over 159,1.819,Valosun KP Brno vs Brandys nad Labem,2026-02-26 12:52:02
Total – Game,Under 159,1.847,Valosun KP Brno vs Brandys nad Labem,2026-02-26 12:52:02
Money Line – Game,Valosun KP Brno,1.013,Valosun KP Brno vs Brandys nad Labem,2026-02-26 16:09:44
Money Line – Game,Brandys nad Labem,8.36,Valosun KP Brno vs Brandys nad Labem,2026-02-26 16:09:44
