team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Brandys nad Labem,SBS Ostrava,https://www.pinnacle.com/en/basketball/czech-republic-zbl-women/brandys-nad-labem-vs-sbs-ostrava/1616129153/,2.35,1.492,3.5,1.819,-3.5,1.847,144.5,1.826,144.5,1.84,2025-10-01 17:24:00
Basket Ostrava,BK Loko Trutnov,https://www.pinnacle.com/en/basketball/czech-republic-zbl-women/basket-ostrava-vs-bk-loko-trutnov/1616592903/,7.61,1.02,18.0,1.847,-18.0,1.819,150.0,1.909,150.0,1.763,2025-10-01 17:24:00
Brandys nad Labem,SBS Ostrava,https://www.pinnacle.com/en/basketball/czech-republic-zbl-women/brandys-nad-labem-vs-sbs-ostrava/1616129153/,2.35,1.492,3.5,1.819,-3.5,1.847,144.5,1.826,144.5,1.84,2025-10-01 17:32:26
Basket Ostrava,BK Loko Trutnov,https://www.pinnacle.com/en/basketball/czech-republic-zbl-women/basket-ostrava-vs-bk-loko-trutnov/1616592903/,7.61,1.02,18.0,1.847,-18.0,1.819,150.0,1.909,150.0,1.763,2025-10-01 17:32:26
Brandys nad Labem,SBS Ostrava,https://www.pinnacle.com/en/basketball/czech-republic-zbl-women/brandys-nad-labem-vs-sbs-ostrava/1616129153/,2.61,1.39,4.5,1.892,-4.5,1.775,144.5,1.813,144.5,1.854,2025-10-01 17:44:38
Basket Ostrava,BK Loko Trutnov,https://www.pinnacle.com/en/basketball/czech-republic-zbl-women/basket-ostrava-vs-bk-loko-trutnov/1616592903/,7.64,1.019,18.0,1.862,-18.0,1.806,150.0,1.909,150.0,1.763,2025-10-01 17:44:38
Brandys nad Labem,SBS Ostrava,https://www.pinnacle.com/en/basketball/czech-republic-zbl-women/brandys-nad-labem-vs-sbs-ostrava/1616129153/,2.61,1.39,4.5,1.892,-4.5,1.775,144.5,1.813,144.5,1.854,2025-10-01 17:56:56
Basket Ostrava,BK Loko Trutnov,https://www.pinnacle.com/en/basketball/czech-republic-zbl-women/basket-ostrava-vs-bk-loko-trutnov/1616592903/,6.47,1.037,14.5,1.917,-14.5,1.751,149.0,1.877,149.0,1.793,2025-10-01 17:56:56
BK Loko Trutnov,Levharti Chomutov,https://www.pinnacle.com/en/basketball/czech-republic-zbl-women/bk-loko-trutnov-vs-levharti-chomutov/1623226607/,1.68,2.01,-2.0,1.793,2.0,1.869,143.5,1.862,143.5,1.806,2026-02-05 17:11:24
Levharti Chomutov,Sokol Hradec Kralove,https://www.pinnacle.com/en/basketball/czech-republic-zbl-women/levharti-chomutov-vs-sokol-hradec-kralove/1624445377/,1.473,2.38,-4.0,1.793,4.0,1.869,143.0,1.787,143.0,1.884,2026-02-25 17:46:31
Valosun KP Brno,Brandys nad Labem,https://www.pinnacle.com/en/basketball/czech-republic-zbl-women/valosun-kp-brno-vs-brandys-nad-labem/1624747357/,1.011,8.63,-21.5,1.813,21.5,1.854,159.0,1.854,159.0,1.813,2026-02-26 11:58:27
Valosun KP Brno,Brandys nad Labem,https://www.pinnacle.com/en/basketball/czech-republic-zbl-women/valosun-kp-brno-vs-brandys-nad-labem/1624747357/,1.011,8.64,-21.5,1.806,21.5,1.862,159.0,1.819,159.0,1.847,2026-02-26 12:52:02
Valosun KP Brno,Brandys nad Labem,https://www.pinnacle.com/en/basketball/czech-republic-zbl-women/valosun-kp-brno-vs-brandys-nad-labem/1624747357/,1.013,8.36,-21.0,1.8,21.0,1.869,152.0,1.847,152.0,1.819,2026-02-26 16:09:44
ZVVZ USK Prague,BK Zabiny Brno,https://www.pinnacle.com/en/basketball/czech-republic-zbl-women/zvvz-usk-prague-vs-bk-zabiny-brno/1628448554/,,,-25.5,1.769,25.5,1.833,158.0,1.869,158.0,1.735,2026-04-20 07:42:53
ZVVZ USK Prague,BK Zabiny Brno,https://www.pinnacle.com/en/basketball/czech-republic-zbl-women/zvvz-usk-prague-vs-bk-zabiny-brno/1628448554/,,,-25.5,1.8,25.5,1.869,161.0,1.909,161.0,1.763,2026-04-20 12:31:08
ZVVZ USK Prague,BK Zabiny Brno,https://www.pinnacle.com/en/basketball/czech-republic-zbl-women/zvvz-usk-prague-vs-bk-zabiny-brno/1628448554/,N/A,N/A,-27.0,1.787,+27.0,1.884,158.5,1.763,158.5,1.909,2026-04-20 15:47:43
