Market,Selection,Odds,matchup,timestamp
Money Line – Game,Copenhagen,1.243,Copenhagen vs BMS Herlev,2025-09-21 23:09:29
Total – Game,Over 168.5,1.833,Holbaek vs Vaerlose BBK,2025-09-21 23:09:29
Handicap – Game,Vaerlose BBK +5.5,1.98,Holbaek vs Vaerlose BBK,2025-09-21 23:09:29
Handicap – Game,Holbaek -5.5,1.847,Holbaek vs Vaerlose BBK,2025-09-21 23:09:29
Money Line – Game,Vaerlose BBK,3.01,Holbaek vs Vaerlose BBK,2025-09-21 23:09:29
Money Line – Game,Holbaek,1.383,Holbaek vs Vaerlose BBK,2025-09-21 23:09:29
Total – Game,Under 168.5,1.99,Holbaek vs Vaerlose BBK,2025-09-21 23:09:29
Total – Game,Over 165,1.909,Copenhagen vs BMS Herlev,2025-09-21 23:09:29
Handicap – Game,BMS Herlev +8.0,1.884,Copenhagen vs BMS Herlev,2025-09-21 23:09:29
Handicap – Game,Copenhagen -8.0,1.934,Copenhagen vs BMS Herlev,2025-09-21 23:09:29
Money Line – Game,BMS Herlev,3.89,Copenhagen vs BMS Herlev,2025-09-21 23:09:29
Total – Game,Under 165,1.909,Copenhagen vs BMS Herlev,2025-09-21 23:09:29
Total – Game,Under 165,1.909,Copenhagen vs BMS Herlev,2025-09-21 23:24:49
Total – Game,Over 165,1.909,Copenhagen vs BMS Herlev,2025-09-21 23:24:49
Handicap – Game,BMS Herlev +8.0,1.884,Copenhagen vs BMS Herlev,2025-09-21 23:24:49
Money Line – Game,BMS Herlev,3.89,Copenhagen vs BMS Herlev,2025-09-21 23:24:49
Money Line – Game,Copenhagen,1.243,Copenhagen vs BMS Herlev,2025-09-21 23:24:49
Handicap – Game,Copenhagen -8.0,1.934,Copenhagen vs BMS Herlev,2025-09-21 23:24:49
Money Line – Game,Vaerlose BBK,3.01,Holbaek vs Vaerlose BBK,2025-09-21 23:29:57
Total – Game,Under 168.5,1.99,Holbaek vs Vaerlose BBK,2025-09-21 23:29:57
Total – Game,Over 168.5,1.833,Holbaek vs Vaerlose BBK,2025-09-21 23:29:57
Handicap – Game,Vaerlose BBK +5.5,1.98,Holbaek vs Vaerlose BBK,2025-09-21 23:29:57
Handicap – Game,Holbaek -5.5,1.847,Holbaek vs Vaerlose BBK,2025-09-21 23:29:57
Money Line – Game,Holbaek,1.383,Holbaek vs Vaerlose BBK,2025-09-21 23:29:57
Total – Game,Under 165,1.909,Copenhagen vs BMS Herlev,2025-09-21 23:29:57
Total – Game,Over 165,1.909,Copenhagen vs BMS Herlev,2025-09-21 23:29:57
Handicap – Game,BMS Herlev +8.0,1.884,Copenhagen vs BMS Herlev,2025-09-21 23:29:57
Handicap – Game,Copenhagen -8.0,1.934,Copenhagen vs BMS Herlev,2025-09-21 23:29:57
Money Line – Game,BMS Herlev,3.89,Copenhagen vs BMS Herlev,2025-09-21 23:29:57
Money Line – Game,Copenhagen,1.243,Copenhagen vs BMS Herlev,2025-09-21 23:29:57
Total – Game,Under 165,1.909,Copenhagen vs BMS Herlev,2025-09-21 23:48:41
Total – Game,Over 165,1.909,Copenhagen vs BMS Herlev,2025-09-21 23:48:41
Handicap – Game,BMS Herlev +8.0,1.884,Copenhagen vs BMS Herlev,2025-09-21 23:48:41
Handicap – Game,Copenhagen -8.0,1.934,Copenhagen vs BMS Herlev,2025-09-21 23:48:41
Money Line – Game,BMS Herlev,3.89,Copenhagen vs BMS Herlev,2025-09-21 23:48:41
Money Line – Game,Copenhagen,1.243,Copenhagen vs BMS Herlev,2025-09-21 23:48:41
Total – Game,Over 168.5,1.833,Holbaek vs Vaerlose BBK,2025-09-21 23:48:41
Handicap – Game,Vaerlose BBK +5.5,1.98,Holbaek vs Vaerlose BBK,2025-09-21 23:48:41
Handicap – Game,Holbaek -5.5,1.847,Holbaek vs Vaerlose BBK,2025-09-21 23:48:41
Money Line – Game,Vaerlose BBK,3.01,Holbaek vs Vaerlose BBK,2025-09-21 23:48:41
Money Line – Game,Holbaek,1.383,Holbaek vs Vaerlose BBK,2025-09-21 23:48:41
Total – Game,Under 168.5,1.99,Holbaek vs Vaerlose BBK,2025-09-21 23:48:41
Money Line – Game,BMS Herlev,3.89,Copenhagen vs BMS Herlev,2025-09-22 02:03:30
Total – Game,Under 165,1.909,Copenhagen vs BMS Herlev,2025-09-22 02:03:30
Total – Game,Over 165,1.909,Copenhagen vs BMS Herlev,2025-09-22 02:03:30
Handicap – Game,BMS Herlev +8.0,1.884,Copenhagen vs BMS Herlev,2025-09-22 02:03:30
Handicap – Game,Copenhagen -8.0,1.934,Copenhagen vs BMS Herlev,2025-09-22 02:03:30
Money Line – Game,Copenhagen,1.243,Copenhagen vs BMS Herlev,2025-09-22 02:03:30
Handicap – Game,Holbaek -5.5,1.847,Holbaek vs Vaerlose BBK,2025-09-22 02:03:30
Total – Game,Over 168.5,1.833,Holbaek vs Vaerlose BBK,2025-09-22 02:03:30
Handicap – Game,Vaerlose BBK +5.5,1.98,Holbaek vs Vaerlose BBK,2025-09-22 02:03:30
Total – Game,Under 168.5,1.99,Holbaek vs Vaerlose BBK,2025-09-22 02:03:30
Money Line – Game,Vaerlose BBK,3.01,Holbaek vs Vaerlose BBK,2025-09-22 02:03:30
Money Line – Game,Holbaek,1.383,Holbaek vs Vaerlose BBK,2025-09-22 02:03:30
Total – Game,Under 165,1.909,Copenhagen vs BMS Herlev,2025-09-22 02:07:29
Total – Game,Over 165,1.909,Copenhagen vs BMS Herlev,2025-09-22 02:07:29
Handicap – Game,BMS Herlev +8.0,1.884,Copenhagen vs BMS Herlev,2025-09-22 02:07:29
Handicap – Game,Copenhagen -8.0,1.934,Copenhagen vs BMS Herlev,2025-09-22 02:07:29
Money Line – Game,BMS Herlev,3.89,Copenhagen vs BMS Herlev,2025-09-22 02:07:29
Money Line – Game,Copenhagen,1.243,Copenhagen vs BMS Herlev,2025-09-22 02:07:29
Total – Game,Over 168.5,1.833,Holbaek vs Vaerlose BBK,2025-09-22 02:07:29
Handicap – Game,Vaerlose BBK +5.5,1.98,Holbaek vs Vaerlose BBK,2025-09-22 02:07:29
Handicap – Game,Holbaek -5.5,1.847,Holbaek vs Vaerlose BBK,2025-09-22 02:07:29
Money Line – Game,Vaerlose BBK,3.01,Holbaek vs Vaerlose BBK,2025-09-22 02:07:29
Money Line – Game,Holbaek,1.383,Holbaek vs Vaerlose BBK,2025-09-22 02:07:29
Total – Game,Under 168.5,1.99,Holbaek vs Vaerlose BBK,2025-09-22 02:07:29
Money Line – Game,BMS Herlev,3.89,Copenhagen vs BMS Herlev,2025-09-22 03:21:38
Total – Game,Over 165,1.909,Copenhagen vs BMS Herlev,2025-09-22 03:21:38
Handicap – Game,BMS Herlev +8.0,1.884,Copenhagen vs BMS Herlev,2025-09-22 03:21:38
Handicap – Game,Copenhagen -8.0,1.934,Copenhagen vs BMS Herlev,2025-09-22 03:21:38
Total – Game,Under 165,1.909,Copenhagen vs BMS Herlev,2025-09-22 03:21:38
Money Line – Game,Copenhagen,1.243,Copenhagen vs BMS Herlev,2025-09-22 03:21:38
Handicap – Game,Vaerlose BBK +5.5,1.98,Holbaek vs Vaerlose BBK,2025-09-22 03:21:38
Total – Game,Over 168.5,1.833,Holbaek vs Vaerlose BBK,2025-09-22 03:21:38
Handicap – Game,Holbaek -5.5,1.847,Holbaek vs Vaerlose BBK,2025-09-22 03:21:38
Money Line – Game,Vaerlose BBK,3.01,Holbaek vs Vaerlose BBK,2025-09-22 03:21:38
Money Line – Game,Holbaek,1.383,Holbaek vs Vaerlose BBK,2025-09-22 03:21:38
Total – Game,Under 168.5,1.99,Holbaek vs Vaerlose BBK,2025-09-22 03:21:38
Total – Game,Under 168.5,1.99,Holbaek vs Vaerlose BBK,2025-09-22 03:51:08
Total – Game,Over 168.5,1.833,Holbaek vs Vaerlose BBK,2025-09-22 03:51:08
Handicap – Game,Vaerlose BBK +5.5,1.98,Holbaek vs Vaerlose BBK,2025-09-22 03:51:08
Money Line – Game,Vaerlose BBK,3.01,Holbaek vs Vaerlose BBK,2025-09-22 03:51:08
Money Line – Game,Holbaek,1.383,Holbaek vs Vaerlose BBK,2025-09-22 03:51:08
Handicap – Game,Holbaek -5.5,1.847,Holbaek vs Vaerlose BBK,2025-09-22 03:51:08
Money Line – Game,BMS Herlev,3.89,Copenhagen vs BMS Herlev,2025-09-22 03:55:54
Total – Game,Under 165,1.909,Copenhagen vs BMS Herlev,2025-09-22 03:55:54
Total – Game,Over 165,1.909,Copenhagen vs BMS Herlev,2025-09-22 03:55:54
Handicap – Game,BMS Herlev +8.0,1.884,Copenhagen vs BMS Herlev,2025-09-22 03:55:54
Handicap – Game,Copenhagen -8.0,1.934,Copenhagen vs BMS Herlev,2025-09-22 03:55:54
Money Line – Game,Copenhagen,1.243,Copenhagen vs BMS Herlev,2025-09-22 03:55:54
Money Line – Game,Holbaek,1.383,Holbaek vs Vaerlose BBK,2025-09-22 03:55:54
Total – Game,Over 168.5,1.833,Holbaek vs Vaerlose BBK,2025-09-22 03:55:54
Handicap – Game,Vaerlose BBK +5.5,1.98,Holbaek vs Vaerlose BBK,2025-09-22 03:55:54
Handicap – Game,Holbaek -5.5,1.847,Holbaek vs Vaerlose BBK,2025-09-22 03:55:54
Money Line – Game,Vaerlose BBK,3.01,Holbaek vs Vaerlose BBK,2025-09-22 03:55:54
Total – Game,Under 168.5,1.99,Holbaek vs Vaerlose BBK,2025-09-22 03:55:54
Total – Game,Over 168.5,1.833,Holbaek vs Vaerlose BBK,2025-09-22 04:32:07
Handicap – Game,Vaerlose BBK +5.5,1.98,Holbaek vs Vaerlose BBK,2025-09-22 04:32:07
Handicap – Game,Holbaek -5.5,1.847,Holbaek vs Vaerlose BBK,2025-09-22 04:32:07
Money Line – Game,Vaerlose BBK,3.01,Holbaek vs Vaerlose BBK,2025-09-22 04:32:07
