Market,Selection,Odds,matchup,timestamp
Money Line – Game,Copenhagen,3.92,Copenhagen vs Horsens IC,2025-11-10 05:49:22
Money Line – Game,Horsens IC,1.195,Copenhagen vs Horsens IC,2025-11-10 05:49:22
Handicap – Game,Copenhagen +8.0,1.892,Copenhagen vs Horsens IC,2025-11-10 05:49:22
Handicap – Game,Horsens IC -8.0,1.847,Copenhagen vs Horsens IC,2025-11-10 05:49:22
Total – Game,Over 164,1.892,Copenhagen vs Horsens IC,2025-11-10 05:49:22
Total – Game,Under 164,1.847,Copenhagen vs Horsens IC,2025-11-10 05:49:22
Total – Game,Under 171.5,1.9,Randers Cimbria vs BMS Herlev,2025-11-10 07:47:02
Total – Game,Over 171.5,1.84,Randers Cimbria vs BMS Herlev,2025-11-10 07:47:02
Handicap – Game,BMS Herlev +23.0,1.84,Randers Cimbria vs BMS Herlev,2025-11-10 07:47:02
Handicap – Game,Randers Cimbria -23.0,1.9,Randers Cimbria vs BMS Herlev,2025-11-10 07:47:02
Money Line – Game,BMS Herlev,10.98,Randers Cimbria vs BMS Herlev,2025-11-10 07:47:02
Money Line – Game,Randers Cimbria,1.015,Randers Cimbria vs BMS Herlev,2025-11-10 07:47:02
Total – Game,Over 164,1.892,Copenhagen vs Horsens IC,2025-11-10 07:47:02
Handicap – Game,Horsens IC -8.0,1.847,Copenhagen vs Horsens IC,2025-11-10 07:47:02
Handicap – Game,Copenhagen +8.0,1.892,Copenhagen vs Horsens IC,2025-11-10 07:47:02
Money Line – Game,Horsens IC,1.195,Copenhagen vs Horsens IC,2025-11-10 07:47:02
Money Line – Game,Copenhagen,3.92,Copenhagen vs Horsens IC,2025-11-10 07:47:02
Total – Game,Under 164,1.847,Copenhagen vs Horsens IC,2025-11-10 07:47:02
Money Line – Game,Randers Cimbria,1.015,Randers Cimbria vs BMS Herlev,2025-11-10 07:59:46
Money Line – Game,BMS Herlev,10.98,Randers Cimbria vs BMS Herlev,2025-11-10 07:59:46
Handicap – Game,Randers Cimbria -23.0,1.9,Randers Cimbria vs BMS Herlev,2025-11-10 07:59:46
Handicap – Game,BMS Herlev +23.0,1.84,Randers Cimbria vs BMS Herlev,2025-11-10 07:59:46
Total – Game,Over 171.5,1.84,Randers Cimbria vs BMS Herlev,2025-11-10 07:59:46
Total – Game,Under 171.5,1.9,Randers Cimbria vs BMS Herlev,2025-11-10 07:59:46
Total – Game,Under 171.5,1.9,Randers Cimbria vs BMS Herlev,2025-11-10 08:09:58
Handicap – Game,BMS Herlev +23.0,1.84,Randers Cimbria vs BMS Herlev,2025-11-10 08:09:58
Total – Game,Over 171.5,1.84,Randers Cimbria vs BMS Herlev,2025-11-10 08:09:58
Money Line – Game,BMS Herlev,10.98,Randers Cimbria vs BMS Herlev,2025-11-10 08:09:58
Handicap – Game,Randers Cimbria -23.0,1.9,Randers Cimbria vs BMS Herlev,2025-11-10 08:09:58
Money Line – Game,Randers Cimbria,1.015,Randers Cimbria vs BMS Herlev,2025-11-10 08:09:58
Money Line – Game,Copenhagen,3.93,Copenhagen vs Horsens IC,2025-11-10 09:38:26
Money Line – Game,Horsens IC,1.194,Copenhagen vs Horsens IC,2025-11-10 09:38:26
Handicap – Game,Copenhagen +8.0,1.9,Copenhagen vs Horsens IC,2025-11-10 09:38:26
Handicap – Game,Horsens IC -8.0,1.84,Copenhagen vs Horsens IC,2025-11-10 09:38:26
Total – Game,Over 164,1.787,Copenhagen vs Horsens IC,2025-11-10 09:38:26
Total – Game,Under 164,1.961,Copenhagen vs Horsens IC,2025-11-10 09:38:26
Total – Game,Over 164,1.787,Copenhagen vs Horsens IC,2025-11-10 10:54:42
Handicap – Game,Horsens IC -8.0,1.84,Copenhagen vs Horsens IC,2025-11-10 10:54:42
Total – Game,Under 164,1.961,Copenhagen vs Horsens IC,2025-11-10 10:54:42
Money Line – Game,Horsens IC,1.194,Copenhagen vs Horsens IC,2025-11-10 10:54:42
Money Line – Game,Copenhagen,3.93,Copenhagen vs Horsens IC,2025-11-10 10:54:42
Handicap – Game,Copenhagen +8.0,1.9,Copenhagen vs Horsens IC,2025-11-10 10:54:42
Total – Game,Under 173,1.869,Randers Cimbria vs BMS Herlev,2025-11-10 11:02:28
Total – Game,Over 173,1.869,Randers Cimbria vs BMS Herlev,2025-11-10 11:02:28
Handicap – Game,BMS Herlev +23.0,1.862,Randers Cimbria vs BMS Herlev,2025-11-10 11:02:28
Handicap – Game,Randers Cimbria -23.0,1.877,Randers Cimbria vs BMS Herlev,2025-11-10 11:02:28
Money Line – Game,BMS Herlev,11.09,Randers Cimbria vs BMS Herlev,2025-11-10 11:02:28
Money Line – Game,Randers Cimbria,1.014,Randers Cimbria vs BMS Herlev,2025-11-10 11:02:28
Total – Game,Under 164,1.961,Copenhagen vs Horsens IC,2025-11-10 11:02:28
Handicap – Game,Horsens IC -8.0,1.84,Copenhagen vs Horsens IC,2025-11-10 11:02:28
Handicap – Game,Copenhagen +8.0,1.9,Copenhagen vs Horsens IC,2025-11-10 11:02:28
Money Line – Game,Horsens IC,1.194,Copenhagen vs Horsens IC,2025-11-10 11:02:28
Money Line – Game,Copenhagen,3.93,Copenhagen vs Horsens IC,2025-11-10 11:02:28
Total – Game,Over 164,1.787,Copenhagen vs Horsens IC,2025-11-10 11:02:28
Total – Game,Over 164,1.787,Copenhagen vs Horsens IC,2025-11-10 11:55:10
Total – Game,Under 164,1.961,Copenhagen vs Horsens IC,2025-11-10 11:55:10
Handicap – Game,Horsens IC -8.0,1.84,Copenhagen vs Horsens IC,2025-11-10 11:55:10
Handicap – Game,Copenhagen +8.0,1.9,Copenhagen vs Horsens IC,2025-11-10 11:55:10
Money Line – Game,Horsens IC,1.194,Copenhagen vs Horsens IC,2025-11-10 11:55:10
Money Line – Game,Copenhagen,3.93,Copenhagen vs Horsens IC,2025-11-10 11:55:10
Total – Game,Under 173,1.869,Randers Cimbria vs BMS Herlev,2025-11-10 13:21:08
Total – Game,Over 173,1.869,Randers Cimbria vs BMS Herlev,2025-11-10 13:21:08
Handicap – Game,BMS Herlev +23.0,1.862,Randers Cimbria vs BMS Herlev,2025-11-10 13:21:08
Handicap – Game,Randers Cimbria -23.0,1.877,Randers Cimbria vs BMS Herlev,2025-11-10 13:21:08
Money Line – Game,Randers Cimbria,1.014,Randers Cimbria vs BMS Herlev,2025-11-10 13:21:08
Money Line – Game,BMS Herlev,11.09,Randers Cimbria vs BMS Herlev,2025-11-10 13:21:08
Total – Game,Over 165.5,1.884,Copenhagen vs Horsens IC,2025-11-10 13:21:08
Handicap – Game,Horsens IC -8.0,1.84,Copenhagen vs Horsens IC,2025-11-10 13:21:08
Handicap – Game,Copenhagen +8.0,1.9,Copenhagen vs Horsens IC,2025-11-10 13:21:08
Money Line – Game,Horsens IC,1.195,Copenhagen vs Horsens IC,2025-11-10 13:21:08
Money Line – Game,Copenhagen,3.92,Copenhagen vs Horsens IC,2025-11-10 13:21:08
Total – Game,Under 165.5,1.854,Copenhagen vs Horsens IC,2025-11-10 13:21:08
Money Line – Game,BMS Herlev,11.09,Randers Cimbria vs BMS Herlev,2025-11-10 14:10:16
Total – Game,Under 173,1.869,Randers Cimbria vs BMS Herlev,2025-11-10 14:10:16
Total – Game,Over 173,1.869,Randers Cimbria vs BMS Herlev,2025-11-10 14:10:16
Handicap – Game,BMS Herlev +23.0,1.862,Randers Cimbria vs BMS Herlev,2025-11-10 14:10:16
Handicap – Game,Randers Cimbria -23.0,1.877,Randers Cimbria vs BMS Herlev,2025-11-10 14:10:16
Money Line – Game,Randers Cimbria,1.014,Randers Cimbria vs BMS Herlev,2025-11-10 14:10:16
Money Line – Game,Copenhagen,3.92,Copenhagen vs Horsens IC,2025-11-10 14:10:16
Total – Game,Over 165.5,1.884,Copenhagen vs Horsens IC,2025-11-10 14:10:16
Handicap – Game,Horsens IC -8.0,1.84,Copenhagen vs Horsens IC,2025-11-10 14:10:16
Handicap – Game,Copenhagen +8.0,1.9,Copenhagen vs Horsens IC,2025-11-10 14:10:16
Money Line – Game,Horsens IC,1.195,Copenhagen vs Horsens IC,2025-11-10 14:10:16
Total – Game,Under 165.5,1.854,Copenhagen vs Horsens IC,2025-11-10 14:10:16
Total – Game,Over 165.5,1.884,Copenhagen vs Horsens IC,2025-11-10 14:32:29
Total – Game,Under 165.5,1.854,Copenhagen vs Horsens IC,2025-11-10 14:32:29
Handicap – Game,Horsens IC -8.0,1.84,Copenhagen vs Horsens IC,2025-11-10 14:32:29
Money Line – Game,Horsens IC,1.195,Copenhagen vs Horsens IC,2025-11-10 14:32:29
Money Line – Game,Copenhagen,3.92,Copenhagen vs Horsens IC,2025-11-10 14:32:29
Handicap – Game,Copenhagen +8.0,1.9,Copenhagen vs Horsens IC,2025-11-10 14:32:29
Total – Game,Over 172,1.862,Randers Cimbria vs BMS Herlev,2025-11-10 14:50:55
Total – Game,Under 172,1.877,Randers Cimbria vs BMS Herlev,2025-11-10 14:50:55
Handicap – Game,BMS Herlev +23.0,1.847,Randers Cimbria vs BMS Herlev,2025-11-10 14:50:55
Handicap – Game,Randers Cimbria -23.0,1.892,Randers Cimbria vs BMS Herlev,2025-11-10 14:50:55
Money Line – Game,Randers Cimbria,1.014,Randers Cimbria vs BMS Herlev,2025-11-10 14:50:55
Money Line – Game,BMS Herlev,11.01,Randers Cimbria vs BMS Herlev,2025-11-10 14:50:55
Total – Game,Over 165.5,1.884,Copenhagen vs Horsens IC,2025-11-10 14:50:55
Handicap – Game,Horsens IC -8.0,1.84,Copenhagen vs Horsens IC,2025-11-10 14:50:55
Handicap – Game,Copenhagen +8.0,1.9,Copenhagen vs Horsens IC,2025-11-10 14:50:55
Money Line – Game,Horsens IC,1.195,Copenhagen vs Horsens IC,2025-11-10 14:50:55
Money Line – Game,Copenhagen,3.92,Copenhagen vs Horsens IC,2025-11-10 14:50:55
Total – Game,Under 165.5,1.854,Copenhagen vs Horsens IC,2025-11-10 14:50:55
Money Line – Game,Randers Cimbria,1.014,Randers Cimbria vs BMS Herlev,2025-11-10 16:39:15
Handicap – Game,BMS Herlev +23.0,1.847,Randers Cimbria vs BMS Herlev,2025-11-10 16:39:15
Handicap – Game,Randers Cimbria -23.0,1.892,Randers Cimbria vs BMS Herlev,2025-11-10 16:39:15
Money Line – Game,BMS Herlev,11.01,Randers Cimbria vs BMS Herlev,2025-11-10 16:39:15
Total – Game,Under 165.5,1.854,Copenhagen vs Horsens IC,2025-11-10 16:39:15
Total – Game,Over 172,1.862,Randers Cimbria vs BMS Herlev,2025-11-10 16:39:15
Handicap – Game,Horsens IC -8.0,1.84,Copenhagen vs Horsens IC,2025-11-10 16:39:15
Handicap – Game,Copenhagen +8.0,1.9,Copenhagen vs Horsens IC,2025-11-10 16:39:15
Money Line – Game,Horsens IC,1.195,Copenhagen vs Horsens IC,2025-11-10 16:39:15
Money Line – Game,Copenhagen,3.92,Copenhagen vs Horsens IC,2025-11-10 16:39:15
Total – Game,Over 165.5,1.884,Copenhagen vs Horsens IC,2025-11-10 16:39:15
Total – Game,Under 172,1.877,Randers Cimbria vs BMS Herlev,2025-11-10 16:39:15
