team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Titanes del Licey,Metros de Santiago,https://www.pinnacle.com/en/basketball/dominican-republic-lnb/titanes-del-licey-vs-metros-de-santiago/1628342885/,1.526,2.39,-3.5,1.961,3.5,1.781,173.0,1.961,173.0,1.787,2026-04-14 23:07:24
Reales de la Vega,Caneros del Este,https://www.pinnacle.com/en/basketball/dominican-republic-lnb/reales-de-la-vega-vs-caneros-del-este/1628353678/,1.628,2.18,-3.5,1.943,3.5,1.8,175.5,1.934,175.5,1.813,2026-04-15 23:05:02
Metros de Santiago,Soles De Santo Domingo Este,https://www.pinnacle.com/en/basketball/dominican-republic-lnb/metros-de-santiago-vs-soles-de-santo-domingo-este/1628361284/,1.129,4.78,-10.5,1.833,10.5,1.9,173.5,1.8,173.5,1.943,2026-04-16 23:36:26
Leones De Santo Domingo,Soles De Santo Domingo Este,https://www.pinnacle.com/en/basketball/dominican-republic-lnb/leones-de-santo-domingo-vs-soles-de-santo-domingo-este/1628365181/,1.943,1.8,1.5,1.892,-1.5,1.847,177.5,1.819,177.5,1.917,2026-04-18 19:14:31
Metros de Santiago,Heroes de Moca,https://www.pinnacle.com/en/basketball/dominican-republic-lnb/metros-de-santiago-vs-heroes-de-moca/1628786061/,1.25,3.47,-7.5,1.862,7.5,1.877,177.5,1.869,177.5,1.869,2026-04-18 19:14:31
Leones De Santo Domingo,Soles De Santo Domingo Este,https://www.pinnacle.com/en/basketball/dominican-republic-lnb/leones-de-santo-domingo-vs-soles-de-santo-domingo-este/1628365181/,1.943,1.8,1.5,1.892,-1.5,1.847,177.5,1.819,177.5,1.917,2026-04-18 19:41:34
Metros de Santiago,Heroes de Moca,https://www.pinnacle.com/en/basketball/dominican-republic-lnb/metros-de-santiago-vs-heroes-de-moca/1628786061/,1.25,3.47,-7.5,1.862,7.5,1.877,177.5,1.869,177.5,1.869,2026-04-18 19:41:34
Leones De Santo Domingo,Soles De Santo Domingo Este,https://www.pinnacle.com/en/basketball/dominican-republic-lnb/leones-de-santo-domingo-vs-soles-de-santo-domingo-este/1628365181/,1.943,1.8,1.5,1.892,-1.5,1.847,177.5,1.819,177.5,1.917,2026-04-18 21:07:36
Metros de Santiago,Heroes de Moca,https://www.pinnacle.com/en/basketball/dominican-republic-lnb/metros-de-santiago-vs-heroes-de-moca/1628786061/,1.25,3.47,-7.5,1.862,7.5,1.877,177.5,1.869,177.5,1.869,2026-04-18 21:07:36
Leones De Santo Domingo,Soles De Santo Domingo Este,https://www.pinnacle.com/en/basketball/dominican-republic-lnb/leones-de-santo-domingo-vs-soles-de-santo-domingo-este/1628365181/,1.943,1.8,1.5,1.892,-1.5,1.847,177.5,1.819,177.5,1.917,2026-04-18 21:31:46
