team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Los Prados,Rafael Barias,https://www.pinnacle.com/en/basketball/dominican-republic-torneo-baloncesto-superior/los-prados-vs-rafael-barias/1617132545/,2.75,1.398,4.5,1.934,-4.5,1.806,175.5,1.862,175.5,1.877,2025-10-08 22:34:17
Los Prados,Rafael Barias,https://www.pinnacle.com/en/basketball/dominican-republic-torneo-baloncesto-superior/los-prados-vs-rafael-barias/1617132545/,2.75,1.398,4.5,1.934,-4.5,1.806,175.5,1.862,175.5,1.877,2025-10-08 22:44:32
Los Prados,Rafael Barias,https://www.pinnacle.com/en/basketball/dominican-republic-torneo-baloncesto-superior/los-prados-vs-rafael-barias/1617132545/,2.64,1.431,4.5,1.934,-4.5,1.806,175.5,1.869,175.5,1.869,2025-10-08 22:56:46
San Lazaro,Mauricio Baez,https://www.pinnacle.com/en/basketball/dominican-republic-torneo-baloncesto-superior/san-lazaro-vs-mauricio-baez/1617132544/,1.847,1.892,-1.0,1.892,1.0,1.847,174.5,1.925,174.5,1.813,2025-10-08 23:42:49
San Lazaro,Mauricio Baez,https://www.pinnacle.com/en/basketball/dominican-republic-torneo-baloncesto-superior/san-lazaro-vs-mauricio-baez/1617132544/,1.847,1.892,-1.0,1.892,1.0,1.847,174.5,1.925,174.5,1.813,2025-10-08 23:48:40
San Lazaro,Mauricio Baez,https://www.pinnacle.com/en/basketball/dominican-republic-torneo-baloncesto-superior/san-lazaro-vs-mauricio-baez/1617132544/,1.847,1.892,-1.0,1.892,1.0,1.847,174.5,1.925,174.5,1.813,2025-10-08 23:56:41
Mauricio Baez,El Millon,https://www.pinnacle.com/en/basketball/dominican-republic-torneo-baloncesto-superior/mauricio-baez-vs-el-millon/1617192593/,1.317,3.08,-7.5,1.917,7.5,1.826,177.5,1.862,177.5,1.877,2025-10-10 18:38:46
Mauricio Baez,El Millon,https://www.pinnacle.com/en/basketball/dominican-republic-torneo-baloncesto-superior/mauricio-baez-vs-el-millon/1617192593/,1.317,3.08,-7.5,1.917,7.5,1.826,177.5,1.862,177.5,1.877,2025-10-10 18:58:39
Mauricio Baez,El Millon,https://www.pinnacle.com/en/basketball/dominican-republic-torneo-baloncesto-superior/mauricio-baez-vs-el-millon/1617192593/,1.317,3.08,-7.5,1.917,7.5,1.826,177.5,1.862,177.5,1.877,2025-10-10 19:08:50
Mauricio Baez,El Millon,https://www.pinnacle.com/en/basketball/dominican-republic-torneo-baloncesto-superior/mauricio-baez-vs-el-millon/1617192593/,1.322,3.06,-7.5,1.925,7.5,1.813,177.5,1.862,177.5,1.877,2025-10-10 19:22:43
Mauricio Baez,El Millon,https://www.pinnacle.com/en/basketball/dominican-republic-torneo-baloncesto-superior/mauricio-baez-vs-el-millon/1617192593/,1.322,3.06,-7.5,1.925,7.5,1.813,177.5,1.862,177.5,1.877,2025-10-10 19:30:28
Mauricio Baez,El Millon,https://www.pinnacle.com/en/basketball/dominican-republic-torneo-baloncesto-superior/mauricio-baez-vs-el-millon/1617192593/,1.322,3.06,-7.5,1.925,7.5,1.813,177.5,1.862,177.5,1.877,2025-10-10 19:42:45
