Market,Selection,Odds,matchup,timestamp
Money Line – Game,Brujos de Izalco BC,2.01,Brujos de Izalco BC vs Salvadorenos,2025-09-19 23:08:59
Total – Game,Under 158.5,1.854,Santa Tecla vs Cojute,2025-09-19 23:08:59
Total – Game,Over 158.5,1.813,Santa Tecla vs Cojute,2025-09-19 23:08:59
Handicap – Game,Cojute +5.5,1.862,Santa Tecla vs Cojute,2025-09-19 23:08:59
Money Line – Game,Cojute,2.84,Santa Tecla vs Cojute,2025-09-19 23:08:59
Money Line – Game,Santa Tecla,1.325,Santa Tecla vs Cojute,2025-09-19 23:08:59
Handicap – Game,Santa Tecla -5.5,1.806,Santa Tecla vs Cojute,2025-09-19 23:08:59
Total – Game,Over 142.5,1.819,Brujos de Izalco BC vs Salvadorenos,2025-09-19 23:08:59
Handicap – Game,Salvadorenos -2.0,1.84,Brujos de Izalco BC vs Salvadorenos,2025-09-19 23:08:59
Handicap – Game,Brujos de Izalco BC +2.0,1.826,Brujos de Izalco BC vs Salvadorenos,2025-09-19 23:08:59
Money Line – Game,Salvadorenos,1.68,Brujos de Izalco BC vs Salvadorenos,2025-09-19 23:08:59
Total – Game,Under 142.5,1.847,Brujos de Izalco BC vs Salvadorenos,2025-09-19 23:08:59
Money Line – Game,Salvadorenos,1.68,Brujos de Izalco BC vs Salvadorenos,2025-09-19 23:24:14
Total – Game,Under 142.5,1.847,Brujos de Izalco BC vs Salvadorenos,2025-09-19 23:24:14
Total – Game,Over 142.5,1.819,Brujos de Izalco BC vs Salvadorenos,2025-09-19 23:24:14
Handicap – Game,Salvadorenos -2.0,1.84,Brujos de Izalco BC vs Salvadorenos,2025-09-19 23:24:14
Handicap – Game,Brujos de Izalco BC +2.0,1.826,Brujos de Izalco BC vs Salvadorenos,2025-09-19 23:24:14
Money Line – Game,Brujos de Izalco BC,2.01,Brujos de Izalco BC vs Salvadorenos,2025-09-19 23:24:14
Handicap – Game,Santa Tecla -5.5,1.826,Santa Tecla vs Cojute,2025-09-19 23:24:14
Total – Game,Over 158.5,1.813,Santa Tecla vs Cojute,2025-09-19 23:24:14
Handicap – Game,Cojute +5.5,1.84,Santa Tecla vs Cojute,2025-09-19 23:24:14
Money Line – Game,Cojute,2.81,Santa Tecla vs Cojute,2025-09-19 23:24:14
Money Line – Game,Santa Tecla,1.332,Santa Tecla vs Cojute,2025-09-19 23:24:14
Total – Game,Under 158.5,1.854,Santa Tecla vs Cojute,2025-09-19 23:24:14
Handicap – Game,Brujos de Izalco BC +2.0,1.826,Brujos de Izalco BC vs Salvadorenos,2025-09-19 23:29:44
Total – Game,Under 142.5,1.847,Brujos de Izalco BC vs Salvadorenos,2025-09-19 23:29:44
Total – Game,Over 142.5,1.819,Brujos de Izalco BC vs Salvadorenos,2025-09-19 23:29:44
Handicap – Game,Salvadorenos -2.0,1.84,Brujos de Izalco BC vs Salvadorenos,2025-09-19 23:29:44
Money Line – Game,Salvadorenos,1.68,Brujos de Izalco BC vs Salvadorenos,2025-09-19 23:29:44
Money Line – Game,Brujos de Izalco BC,2.01,Brujos de Izalco BC vs Salvadorenos,2025-09-19 23:29:44
Total – Game,Over 158.5,1.813,Santa Tecla vs Cojute,2025-09-19 23:29:44
Handicap – Game,Cojute +5.5,1.84,Santa Tecla vs Cojute,2025-09-19 23:29:44
Handicap – Game,Santa Tecla -5.5,1.826,Santa Tecla vs Cojute,2025-09-19 23:29:44
Money Line – Game,Cojute,2.81,Santa Tecla vs Cojute,2025-09-19 23:29:44
Money Line – Game,Santa Tecla,1.332,Santa Tecla vs Cojute,2025-09-19 23:29:44
Total – Game,Under 158.5,1.854,Santa Tecla vs Cojute,2025-09-19 23:29:44
Handicap – Game,Salvadorenos -1.5,1.847,Brujos de Izalco BC vs Salvadorenos,2025-09-19 23:44:42
Total – Game,Under 142.5,1.847,Brujos de Izalco BC vs Salvadorenos,2025-09-19 23:44:42
Total – Game,Over 142.5,1.819,Brujos de Izalco BC vs Salvadorenos,2025-09-19 23:44:42
Money Line – Game,Salvadorenos,1.757,Brujos de Izalco BC vs Salvadorenos,2025-09-19 23:44:42
Money Line – Game,Brujos de Izalco BC,1.917,Brujos de Izalco BC vs Salvadorenos,2025-09-19 23:44:42
Handicap – Game,Brujos de Izalco BC +1.5,1.819,Brujos de Izalco BC vs Salvadorenos,2025-09-19 23:44:42
Total – Game,Over 158.5,1.813,Santa Tecla vs Cojute,2025-09-19 23:44:42
Handicap – Game,Cojute +5.5,1.84,Santa Tecla vs Cojute,2025-09-19 23:44:42
Handicap – Game,Santa Tecla -5.5,1.826,Santa Tecla vs Cojute,2025-09-19 23:44:42
Money Line – Game,Cojute,2.81,Santa Tecla vs Cojute,2025-09-19 23:44:42
