team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Brujos de Izalco BC,Salvadorenos,https://www.pinnacle.com/en/basketball/el-salvador-liga-mayor-de-baloncesto/brujos-de-izalco-bc-vs-salvadorenos/1615665582/,2.01,1.68,2.0,1.826,-2.0,1.84,142.5,1.819,142.5,1.847,2025-09-19 23:08:59
Santa Tecla,Cojute,https://www.pinnacle.com/en/basketball/el-salvador-liga-mayor-de-baloncesto/santa-tecla-vs-cojute/1615668356/,1.325,2.84,-5.5,1.806,5.5,1.862,158.5,1.813,158.5,1.854,2025-09-19 23:08:59
Santa Tecla,Cojute,https://www.pinnacle.com/en/basketball/el-salvador-liga-mayor-de-baloncesto/santa-tecla-vs-cojute/1615668356/,1.325,2.84,-5.5,1.806,5.5,1.862,158.5,1.813,158.5,1.854,2025-09-19 23:24:14
Brujos de Izalco BC,Salvadorenos,https://www.pinnacle.com/en/basketball/el-salvador-liga-mayor-de-baloncesto/brujos-de-izalco-bc-vs-salvadorenos/1615665582/,2.01,1.68,2.0,1.826,-2.0,1.84,142.5,1.819,142.5,1.847,2025-09-19 23:24:14
Santa Tecla,Cojute,https://www.pinnacle.com/en/basketball/el-salvador-liga-mayor-de-baloncesto/santa-tecla-vs-cojute/1615668356/,1.325,2.84,-5.5,1.806,5.5,1.862,158.5,1.813,158.5,1.854,2025-09-19 23:29:44
Brujos de Izalco BC,Salvadorenos,https://www.pinnacle.com/en/basketball/el-salvador-liga-mayor-de-baloncesto/brujos-de-izalco-bc-vs-salvadorenos/1615665582/,2.01,1.68,2.0,1.826,-2.0,1.84,142.5,1.819,142.5,1.847,2025-09-19 23:29:44
Santa Tecla,Cojute,https://www.pinnacle.com/en/basketball/el-salvador-liga-mayor-de-baloncesto/santa-tecla-vs-cojute/1615668356/,1.325,2.84,-5.5,1.806,5.5,1.862,158.5,1.813,158.5,1.854,2025-09-19 23:44:42
Brujos de Izalco BC,Salvadorenos,https://www.pinnacle.com/en/basketball/el-salvador-liga-mayor-de-baloncesto/brujos-de-izalco-bc-vs-salvadorenos/1615665582/,2.01,1.68,2.0,1.826,-2.0,1.84,142.5,1.819,142.5,1.847,2025-09-19 23:44:42
Brujos de Izalco BC,Salvadorenos,https://www.pinnacle.com/en/basketball/el-salvador-liga-mayor-de-baloncesto/brujos-de-izalco-bc-vs-salvadorenos/1615665582/,1.917,1.757,1.5,1.819,-1.5,1.847,142.5,1.819,142.5,1.847,2025-09-19 23:49:58
Santa Tecla,Cojute,https://www.pinnacle.com/en/basketball/el-salvador-liga-mayor-de-baloncesto/santa-tecla-vs-cojute/1615668356/,1.332,2.81,-5.5,1.826,5.5,1.84,158.5,1.813,158.5,1.854,2025-09-19 23:49:58
Chalchuapa United,Cojute,https://www.pinnacle.com/en/basketball/el-salvador-liga-mayor-de-baloncesto/chalchuapa-united-vs-cojute/1615939161/,1.25,2.99,-6.5,1.833,6.5,1.763,144.5,1.806,144.5,1.793,2025-09-21 17:58:19
