Market,Selection,Odds,matchup,timestamp
Money Line – Game,Santa Ana BC,3.44,Santa Ana BC vs Santa Tecla Imdels,2025-10-12 22:36:13
Money Line – Game,Santa Tecla Imdels,1.213,Santa Ana BC vs Santa Tecla Imdels,2025-10-12 22:36:13
Handicap – Game,Santa Ana BC +8.5,1.775,Santa Ana BC vs Santa Tecla Imdels,2025-10-12 22:36:13
Handicap – Game,Santa Tecla Imdels -8.5,1.892,Santa Ana BC vs Santa Tecla Imdels,2025-10-12 22:36:13
Total – Game,Over 130.5,1.877,Santa Ana BC vs Santa Tecla Imdels,2025-10-12 22:36:13
Total – Game,Under 130.5,1.793,Santa Ana BC vs Santa Tecla Imdels,2025-10-12 22:36:13
Total – Game,Under 121.5,1.826,Capitalinas vs Salvadorenas,2025-10-12 22:44:59
Handicap – Game,Salvadorenas -40.5,1.793,Capitalinas vs Salvadorenas,2025-10-12 22:44:59
Handicap – Game,Capitalinas +40.5,1.869,Capitalinas vs Salvadorenas,2025-10-12 22:44:59
Total – Game,Under 130.5,1.781,Santa Ana BC vs Santa Tecla Imdels,2025-10-12 22:44:59
Total – Game,Over 121.5,1.84,Capitalinas vs Salvadorenas,2025-10-12 22:44:59
Handicap – Game,Santa Tecla Imdels -4.0,1.813,Santa Ana BC vs Santa Tecla Imdels,2025-10-12 22:44:59
Handicap – Game,Santa Ana BC +4.0,1.854,Santa Ana BC vs Santa Tecla Imdels,2025-10-12 22:44:59
Money Line – Game,Santa Tecla Imdels,1.454,Santa Ana BC vs Santa Tecla Imdels,2025-10-12 22:44:59
Total – Game,Over 130.5,1.892,Santa Ana BC vs Santa Tecla Imdels,2025-10-12 22:44:59
Money Line – Game,Santa Ana BC,2.43,Santa Ana BC vs Santa Tecla Imdels,2025-10-12 22:44:59
Total – Game,Over 121.5,1.84,Capitalinas vs Salvadorenas,2025-10-12 22:49:25
Total – Game,Under 121.5,1.826,Capitalinas vs Salvadorenas,2025-10-12 22:49:25
Handicap – Game,Capitalinas +40.5,1.869,Capitalinas vs Salvadorenas,2025-10-12 22:49:25
Handicap – Game,Salvadorenas -40.5,1.793,Capitalinas vs Salvadorenas,2025-10-12 22:49:25
Handicap – Game,Capitalinas +40.5,1.869,Capitalinas vs Salvadorenas,2025-10-12 22:57:31
Handicap – Game,Salvadorenas -40.5,1.793,Capitalinas vs Salvadorenas,2025-10-12 22:57:31
Total – Game,Over 121.5,1.84,Capitalinas vs Salvadorenas,2025-10-12 22:57:31
Total – Game,Under 121.5,1.826,Capitalinas vs Salvadorenas,2025-10-12 22:57:31
Handicap – Game,Capitalinas +40.5,1.869,Capitalinas vs Salvadorenas,2025-10-12 23:04:42
Total – Game,Under 121.5,1.826,Capitalinas vs Salvadorenas,2025-10-12 23:04:42
Total – Game,Over 121.5,1.84,Capitalinas vs Salvadorenas,2025-10-12 23:04:42
Handicap – Game,Salvadorenas -40.5,1.793,Capitalinas vs Salvadorenas,2025-10-12 23:04:42
Total – Game,Under 130.5,1.775,Santa Ana BC vs Santa Tecla Imdels,2025-10-12 23:04:42
Handicap – Game,Santa Ana BC +4.0,1.854,Santa Ana BC vs Santa Tecla Imdels,2025-10-12 23:04:42
Handicap – Game,Santa Tecla Imdels -4.0,1.813,Santa Ana BC vs Santa Tecla Imdels,2025-10-12 23:04:42
Money Line – Game,Santa Tecla Imdels,1.456,Santa Ana BC vs Santa Tecla Imdels,2025-10-12 23:04:42
Money Line – Game,Santa Ana BC,2.43,Santa Ana BC vs Santa Tecla Imdels,2025-10-12 23:04:42
Total – Game,Over 130.5,1.892,Santa Ana BC vs Santa Tecla Imdels,2025-10-12 23:04:42
Money Line – Game,Santa Ana BC,2.43,Santa Ana BC vs Santa Tecla Imdels,2025-10-12 23:23:43
