team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Santa Ana BC,Santa Tecla Imdels,https://www.pinnacle.com/en/basketball/el-salvador-liga-mayor-women/santa-ana-bc-vs-santa-tecla-imdels/1617307136/,3.44,1.213,8.5,1.775,-8.5,1.892,130.5,1.877,130.5,1.793,2025-10-12 22:36:13
Capitalinas,Salvadorenas,https://www.pinnacle.com/en/basketball/el-salvador-liga-mayor-women/capitalinas-vs-salvadorenas/1617270928/,,,40.5,1.869,-40.5,1.793,121.5,1.84,121.5,1.826,2025-10-12 22:36:13
Santa Ana BC,Santa Tecla Imdels,https://www.pinnacle.com/en/basketball/el-salvador-liga-mayor-women/santa-ana-bc-vs-santa-tecla-imdels/1617307136/,3.44,1.213,8.5,1.775,-8.5,1.892,130.5,1.877,130.5,1.793,2025-10-12 22:44:59
Capitalinas,Salvadorenas,https://www.pinnacle.com/en/basketball/el-salvador-liga-mayor-women/capitalinas-vs-salvadorenas/1617270928/,,,40.5,1.869,-40.5,1.793,121.5,1.84,121.5,1.826,2025-10-12 22:44:59
Santa Ana BC,Santa Tecla Imdels,https://www.pinnacle.com/en/basketball/el-salvador-liga-mayor-women/santa-ana-bc-vs-santa-tecla-imdels/1617307136/,2.76,1.347,6.5,1.84,-6.5,1.826,130.5,1.884,130.5,1.787,2025-10-12 22:49:25
Capitalinas,Salvadorenas,https://www.pinnacle.com/en/basketball/el-salvador-liga-mayor-women/capitalinas-vs-salvadorenas/1617270928/,,,40.5,1.869,-40.5,1.793,121.5,1.84,121.5,1.826,2025-10-12 22:49:25
Santa Ana BC,Santa Tecla Imdels,https://www.pinnacle.com/en/basketball/el-salvador-liga-mayor-women/santa-ana-bc-vs-santa-tecla-imdels/1617307136/,2.43,1.456,4.0,1.854,-4.0,1.813,130.5,1.892,130.5,1.775,2025-10-12 22:57:31
Capitalinas,Salvadorenas,https://www.pinnacle.com/en/basketball/el-salvador-liga-mayor-women/capitalinas-vs-salvadorenas/1617270928/,,,40.5,1.869,-40.5,1.793,121.5,1.84,121.5,1.826,2025-10-12 22:57:31
Santa Ana BC,Santa Tecla Imdels,https://www.pinnacle.com/en/basketball/el-salvador-liga-mayor-women/santa-ana-bc-vs-santa-tecla-imdels/1617307136/,2.43,1.456,4.0,1.854,-4.0,1.813,130.5,1.892,130.5,1.775,2025-10-12 23:04:42
Capitalinas,Salvadorenas,https://www.pinnacle.com/en/basketball/el-salvador-liga-mayor-women/capitalinas-vs-salvadorenas/1617270928/,,,40.5,1.869,-40.5,1.793,121.5,1.84,121.5,1.826,2025-10-12 23:04:42
Santa Ana BC,Santa Tecla Imdels,https://www.pinnacle.com/en/basketball/el-salvador-liga-mayor-women/santa-ana-bc-vs-santa-tecla-imdels/1617307136/,2.43,1.456,4.0,1.854,-4.0,1.813,130.5,1.892,130.5,1.775,2025-10-12 23:23:43
