Market,Selection,Odds,matchup,timestamp
Money Line – Game,KK Parnu,1.027,KK Parnu vs Keila,2026-02-16 01:31:29
Money Line – Game,Keila,7.08,KK Parnu vs Keila,2026-02-16 01:31:29
Handicap – Game,KK Parnu -14.0,1.564,KK Parnu vs Keila,2026-02-16 01:31:29
Handicap – Game,Keila +14.0,2.27,KK Parnu vs Keila,2026-02-16 01:31:29
Handicap – Game,KK Parnu -14.5,1.606,KK Parnu vs Keila,2026-02-16 01:31:29
Handicap – Game,Keila +14.5,2.19,KK Parnu vs Keila,2026-02-16 01:31:29
Handicap – Game,KK Parnu -15.0,1.657,KK Parnu vs Keila,2026-02-16 01:31:29
Handicap – Game,Keila +15.0,2.11,KK Parnu vs Keila,2026-02-16 01:31:29
Handicap – Game,KK Parnu -15.5,1.719,KK Parnu vs Keila,2026-02-16 01:31:29
Handicap – Game,Keila +15.5,2.03,KK Parnu vs Keila,2026-02-16 01:31:29
Handicap – Game,KK Parnu -16.0,1.787,KK Parnu vs Keila,2026-02-16 01:31:29
Handicap – Game,Keila +16.0,1.952,KK Parnu vs Keila,2026-02-16 01:31:29
Handicap – Game,KK Parnu -16.5,1.833,KK Parnu vs Keila,2026-02-16 01:31:29
Handicap – Game,Keila +16.5,1.833,KK Parnu vs Keila,2026-02-16 01:31:29
Handicap – Game,KK Parnu -17.0,1.943,KK Parnu vs Keila,2026-02-16 01:31:29
Handicap – Game,Keila +17.0,1.787,KK Parnu vs Keila,2026-02-16 01:31:29
Handicap – Game,KK Parnu -17.5,2.03,KK Parnu vs Keila,2026-02-16 01:31:29
Handicap – Game,Keila +17.5,1.719,KK Parnu vs Keila,2026-02-16 01:31:29
Handicap – Game,KK Parnu -18.0,2.1,KK Parnu vs Keila,2026-02-16 01:31:29
Handicap – Game,Keila +18.0,1.657,KK Parnu vs Keila,2026-02-16 01:31:29
Handicap – Game,KK Parnu -18.5,2.19,KK Parnu vs Keila,2026-02-16 01:31:29
Handicap – Game,Keila +18.5,1.609,KK Parnu vs Keila,2026-02-16 01:31:29
Handicap – Game,KK Parnu -19.0,2.27,KK Parnu vs Keila,2026-02-16 01:31:29
Handicap – Game,Keila +19.0,1.568,KK Parnu vs Keila,2026-02-16 01:31:29
Total – Game,Over 166,1.653,KK Parnu vs Keila,2026-02-16 01:31:29
Total – Game,Under 166,2.14,KK Parnu vs Keila,2026-02-16 01:31:29
Total – Game,Over 166.5,1.689,KK Parnu vs Keila,2026-02-16 01:31:29
Total – Game,Under 166.5,2.09,KK Parnu vs Keila,2026-02-16 01:31:29
Total – Game,Over 167,1.729,KK Parnu vs Keila,2026-02-16 01:31:29
Total – Game,Under 167,2.03,KK Parnu vs Keila,2026-02-16 01:31:29
Total – Game,Over 167.5,1.769,KK Parnu vs Keila,2026-02-16 01:31:29
Total – Game,Under 167.5,1.98,KK Parnu vs Keila,2026-02-16 01:31:29
Total – Game,Over 168,1.819,KK Parnu vs Keila,2026-02-16 01:31:29
Total – Game,Under 168,1.925,KK Parnu vs Keila,2026-02-16 01:31:29
Total – Game,Over 168.5,1.833,KK Parnu vs Keila,2026-02-16 01:31:29
Total – Game,Under 168.5,1.833,KK Parnu vs Keila,2026-02-16 01:31:29
Total – Game,Over 169,1.925,KK Parnu vs Keila,2026-02-16 01:31:29
Total – Game,Under 169,1.813,KK Parnu vs Keila,2026-02-16 01:31:29
Total – Game,Over 169.5,1.99,KK Parnu vs Keila,2026-02-16 01:31:29
Total – Game,Under 169.5,1.763,KK Parnu vs Keila,2026-02-16 01:31:29
