team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
KK Parnu,Keila,https://www.pinnacle.com/en/basketball/estonia-cup/kk-parnu-vs-keila/1624107352/,1.027,7.08,-16.5,1.833,16.5,1.833,168.5,1.833,168.5,1.833,2026-02-16 01:31:29
Rapla KK,BC Kalev/Cramo,https://www.pinnacle.com/en/basketball/estonia-cup/rapla-kk-vs-bc-kalevcramo/1624107351/,,,33.5,1.813,-33.5,1.854,175.5,1.854,175.5,1.813,2026-02-16 01:31:29
Rapla KK,BC Kalev/Cramo,https://www.pinnacle.com/en/basketball/estonia-cup/rapla-kk-vs-bc-kalevcramo/1624107351/,,,33.5,1.813,-33.5,1.854,175.5,1.854,175.5,1.813,2026-02-16 01:51:10
KK Parnu,Keila,https://www.pinnacle.com/en/basketball/estonia-cup/kk-parnu-vs-keila/1624107352/,1.027,7.08,-16.5,1.833,16.5,1.833,168.5,1.833,168.5,1.833,2026-02-16 01:51:10
Rapla KK,BC Kalev/Cramo,https://www.pinnacle.com/en/basketball/estonia-cup/rapla-kk-vs-bc-kalevcramo/1624107351/,,,33.5,1.813,-33.5,1.854,175.5,1.854,175.5,1.813,2026-02-16 04:23:05
KK Parnu,Keila,https://www.pinnacle.com/en/basketball/estonia-cup/kk-parnu-vs-keila/1624107352/,1.027,7.08,-16.5,1.833,16.5,1.833,168.5,1.833,168.5,1.833,2026-02-16 04:23:05
KK Parnu,Keila,https://www.pinnacle.com/en/basketball/estonia-cup/kk-parnu-vs-keila/1624107352/,1.027,7.08,-16.5,1.833,16.5,1.833,168.5,1.833,168.5,1.833,2026-02-16 06:01:03
Rapla KK,BC Kalev/Cramo,https://www.pinnacle.com/en/basketball/estonia-cup/rapla-kk-vs-bc-kalevcramo/1624107351/,,,33.5,1.813,-33.5,1.854,175.5,1.854,175.5,1.813,2026-02-16 06:01:03
Rapla KK,BC Kalev/Cramo,https://www.pinnacle.com/en/basketball/estonia-cup/rapla-kk-vs-bc-kalevcramo/1624107351/,,,33.5,1.813,-33.5,1.854,175.5,1.854,175.5,1.813,2026-02-16 07:00:06
KK Parnu,Keila,https://www.pinnacle.com/en/basketball/estonia-cup/kk-parnu-vs-keila/1624107352/,1.027,7.08,-16.5,1.833,16.5,1.833,168.5,1.833,168.5,1.833,2026-02-16 07:00:06
Rapla KK,BC Kalev/Cramo,https://www.pinnacle.com/en/basketball/estonia-cup/rapla-kk-vs-bc-kalevcramo/1624107351/,,,33.5,1.847,-33.5,1.819,175.5,1.847,175.5,1.819,2026-02-16 07:59:13
KK Parnu,Keila,https://www.pinnacle.com/en/basketball/estonia-cup/kk-parnu-vs-keila/1624107352/,1.027,7.08,-16.5,1.833,16.5,1.833,168.5,1.833,168.5,1.833,2026-02-16 07:59:13
KK Parnu,Keila,https://www.pinnacle.com/en/basketball/estonia-cup/kk-parnu-vs-keila/1624107352/,1.027,7.08,-16.5,1.833,16.5,1.833,168.5,1.833,168.5,1.833,2026-02-16 09:31:47
Rapla KK,BC Kalev/Cramo,https://www.pinnacle.com/en/basketball/estonia-cup/rapla-kk-vs-bc-kalevcramo/1624107351/,,,34.5,1.84,-34.5,1.826,175.5,1.819,175.5,1.847,2026-02-16 09:31:47
Rapla KK,BC Kalev/Cramo,https://www.pinnacle.com/en/basketball/estonia-cup/rapla-kk-vs-bc-kalevcramo/1624107351/,,,34.5,1.84,-34.5,1.826,175.5,1.819,175.5,1.847,2026-02-16 10:28:57
KK Parnu,Keila,https://www.pinnacle.com/en/basketball/estonia-cup/kk-parnu-vs-keila/1624107352/,1.027,7.08,-16.5,1.833,16.5,1.833,168.5,1.833,168.5,1.833,2026-02-16 10:28:57
KK Parnu,Keila,https://www.pinnacle.com/en/basketball/estonia-cup/kk-parnu-vs-keila/1624107352/,1.027,7.08,-16.5,1.833,16.5,1.833,168.5,1.833,168.5,1.833,2026-02-16 11:58:53
Rapla KK,BC Kalev/Cramo,https://www.pinnacle.com/en/basketball/estonia-cup/rapla-kk-vs-bc-kalevcramo/1624107351/,,,34.5,1.847,-34.5,1.819,175.5,1.769,175.5,1.9,2026-02-16 11:58:53
KK Parnu,Keila,https://www.pinnacle.com/en/basketball/estonia-cup/kk-parnu-vs-keila/1624107352/,1.036,8.15,-16.5,1.869,16.5,1.869,168.5,1.869,168.5,1.869,2026-02-16 13:00:49
Rapla KK,BC Kalev/Cramo,https://www.pinnacle.com/en/basketball/estonia-cup/rapla-kk-vs-bc-kalevcramo/1624107351/,,,34.5,1.884,-34.5,1.854,175.5,1.806,175.5,1.934,2026-02-16 13:00:49
Rapla KK,BC Kalev/Cramo,https://www.pinnacle.com/en/basketball/estonia-cup/rapla-kk-vs-bc-kalevcramo/1624107351/,,,34.5,1.884,-34.5,1.854,175.5,1.806,175.5,1.934,2026-02-16 14:00:49
KK Parnu,Keila,https://www.pinnacle.com/en/basketball/estonia-cup/kk-parnu-vs-keila/1624107352/,1.036,8.15,-16.5,1.869,16.5,1.869,168.5,1.869,168.5,1.869,2026-02-16 14:00:49
Rapla KK,BC Kalev/Cramo,https://www.pinnacle.com/en/basketball/estonia-cup/rapla-kk-vs-bc-kalevcramo/1624107351/,,,34.5,1.884,-34.5,1.854,175.5,1.806,175.5,1.934,2026-02-16 15:49:03
KK Parnu,Keila,https://www.pinnacle.com/en/basketball/estonia-cup/kk-parnu-vs-keila/1624107352/,1.036,8.15,-16.5,1.869,16.5,1.869,168.5,1.869,168.5,1.869,2026-02-16 15:49:03
Rapla KK,BC Kalev/Cramo,https://www.pinnacle.com/en/basketball/estonia-cup/rapla-kk-vs-bc-kalevcramo/1624107351/,N/A,N/A,+34.5,1.884,-34.5,1.854,175.5,1.806,175.5,1.934,2026-02-16 16:20:11
