team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Tamsalu Los Toros/Taltech,Rapla KK,https://www.pinnacle.com/en/basketball/estonia-i-liiga/tamsalu-los-torostaltech-vs-rapla-kk/1616005516/,2.3,1.512,3.5,1.862,-3.5,1.806,147.5,1.84,147.5,1.826,2025-09-23 18:38:06
Tamsalu Los Toros/Taltech,Rapla KK,https://www.pinnacle.com/en/basketball/estonia-i-liiga/tamsalu-los-torostaltech-vs-rapla-kk/1616005516/,2.3,1.512,3.5,1.862,-3.5,1.806,147.5,1.84,147.5,1.826,2025-09-23 18:58:39
Tamsalu Los Toros/Taltech,Rapla KK,https://www.pinnacle.com/en/basketball/estonia-i-liiga/tamsalu-los-torostaltech-vs-rapla-kk/1616005516/,2.3,1.512,3.5,1.862,-3.5,1.806,147.5,1.84,147.5,1.826,2025-09-23 19:22:08
Tamsalu Los Toros/Taltech,Rapla KK,https://www.pinnacle.com/en/basketball/estonia-i-liiga/tamsalu-los-torostaltech-vs-rapla-kk/1616005516/,2.3,1.512,3.5,1.862,-3.5,1.806,147.5,1.84,147.5,1.826,2025-09-23 19:26:02
Tamsalu Los Toros/Taltech,Rapla KK,https://www.pinnacle.com/en/basketball/estonia-i-liiga/tamsalu-los-torostaltech-vs-rapla-kk/1616005516/,2.3,1.512,3.5,1.862,-3.5,1.806,146.0,1.833,146.0,1.833,2025-09-23 22:26:03
Tamsalu Los Toros/Taltech,Rapla KK,https://www.pinnacle.com/en/basketball/estonia-i-liiga/tamsalu-los-torostaltech-vs-rapla-kk/1616005516/,2.29,1.515,3.5,1.862,-3.5,1.806,146.0,1.869,146.0,1.8,2025-09-23 22:57:56
Tamsalu Los Toros/Taltech,Rapla KK,https://www.pinnacle.com/en/basketball/estonia-i-liiga/tamsalu-los-torostaltech-vs-rapla-kk/1616005516/,2.29,1.515,3.5,1.862,-3.5,1.806,146.0,1.869,146.0,1.8,2025-09-23 23:25:34
Tamsalu Los Toros/Taltech,Rapla KK,https://www.pinnacle.com/en/basketball/estonia-i-liiga/tamsalu-los-torostaltech-vs-rapla-kk/1616005516/,2.29,1.515,3.5,1.862,-3.5,1.806,146.0,1.869,146.0,1.8,2025-09-23 23:42:37
Tamsalu Los Toros/Taltech,Rapla KK,https://www.pinnacle.com/en/basketball/estonia-i-liiga/tamsalu-los-torostaltech-vs-rapla-kk/1616005516/,2.29,1.515,3.5,1.862,-3.5,1.806,146.0,1.869,146.0,1.8,2025-09-23 23:49:18
Tamsalu Los Toros/Taltech,Rapla KK,https://www.pinnacle.com/en/basketball/estonia-i-liiga/tamsalu-los-torostaltech-vs-rapla-kk/1616005516/,2.3,1.512,3.5,1.862,-3.5,1.806,147.5,1.862,147.5,1.806,2025-09-24 01:55:10
Tamsalu Los Toros/Taltech,Rapla KK,https://www.pinnacle.com/en/basketball/estonia-i-liiga/tamsalu-los-torostaltech-vs-rapla-kk/1616005516/,2.29,1.515,3.5,1.862,-3.5,1.806,146.0,1.847,146.0,1.819,2025-09-24 03:46:57
Tamsalu Los Toros/Taltech,Rapla KK,https://www.pinnacle.com/en/basketball/estonia-i-liiga/tamsalu-los-torostaltech-vs-rapla-kk/1616005516/,2.29,1.515,3.5,1.862,-3.5,1.806,146.0,1.847,146.0,1.819,2025-09-24 03:57:56
Tamsalu Los Toros/Taltech,Rapla KK,https://www.pinnacle.com/en/basketball/estonia-i-liiga/tamsalu-los-torostaltech-vs-rapla-kk/1616005516/,2.17,1.578,3.5,1.787,-3.5,1.877,146.0,1.847,146.0,1.819,2025-09-24 04:05:40
Tamsalu Los Toros/Taltech,Rapla KK,https://www.pinnacle.com/en/basketball/estonia-i-liiga/tamsalu-los-torostaltech-vs-rapla-kk/1616005516/,2.17,1.578,3.5,1.787,-3.5,1.877,146.0,1.847,146.0,1.819,2025-09-24 04:48:14
Tamsalu Los Toros/Taltech,Rapla KK,https://www.pinnacle.com/en/basketball/estonia-i-liiga/tamsalu-los-torostaltech-vs-rapla-kk/1616005516/,2.17,1.578,3.5,1.787,-3.5,1.877,146.0,1.847,146.0,1.819,2025-09-24 04:58:38
Tamsalu Los Toros/Taltech,Rapla KK,https://www.pinnacle.com/en/basketball/estonia-i-liiga/tamsalu-los-torostaltech-vs-rapla-kk/1616005516/,2.17,1.578,3.5,1.787,-3.5,1.877,146.0,1.847,146.0,1.819,2025-09-24 05:26:55
Tamsalu Los Toros/Taltech,Rapla KK,https://www.pinnacle.com/en/basketball/estonia-i-liiga/tamsalu-los-torostaltech-vs-rapla-kk/1616005516/,2.17,1.578,3.5,1.787,-3.5,1.877,146.0,1.847,146.0,1.819,2025-09-24 05:58:10
Tamsalu Los Toros/Taltech,Rapla KK,https://www.pinnacle.com/en/basketball/estonia-i-liiga/tamsalu-los-torostaltech-vs-rapla-kk/1616005516/,2.17,1.578,3.5,1.787,-3.5,1.877,146.0,1.847,146.0,1.819,2025-09-24 06:39:13
Tamsalu Los Toros/Taltech,Rapla KK,https://www.pinnacle.com/en/basketball/estonia-i-liiga/tamsalu-los-torostaltech-vs-rapla-kk/1616005516/,2.17,1.578,3.5,1.787,-3.5,1.877,146.0,1.847,146.0,1.819,2025-09-24 06:59:35
Tamsalu Los Toros/Taltech,Rapla KK,https://www.pinnacle.com/en/basketball/estonia-i-liiga/tamsalu-los-torostaltech-vs-rapla-kk/1616005516/,2.17,1.578,3.5,1.787,-3.5,1.877,146.0,1.847,146.0,1.819,2025-09-24 07:12:57
Tamsalu Los Toros/Taltech,Rapla KK,https://www.pinnacle.com/en/basketball/estonia-i-liiga/tamsalu-los-torostaltech-vs-rapla-kk/1616005516/,2.17,1.578,3.5,1.787,-3.5,1.877,146.0,1.847,146.0,1.819,2025-09-24 07:29:44
Tamsalu Los Toros/Taltech,Rapla KK,https://www.pinnacle.com/en/basketball/estonia-i-liiga/tamsalu-los-torostaltech-vs-rapla-kk/1616005516/,2.17,1.578,3.5,1.787,-3.5,1.877,146.0,1.847,146.0,1.819,2025-09-24 07:45:30
Tamsalu Los Toros/Taltech,Rapla KK,https://www.pinnacle.com/en/basketball/estonia-i-liiga/tamsalu-los-torostaltech-vs-rapla-kk/1616005516/,2.17,1.578,3.5,1.787,-3.5,1.877,146.0,1.847,146.0,1.819,2025-09-24 07:59:16
Tamsalu Los Toros/Taltech,Rapla KK,https://www.pinnacle.com/en/basketball/estonia-i-liiga/tamsalu-los-torostaltech-vs-rapla-kk/1616005516/,2.17,1.578,3.5,1.787,-3.5,1.877,146.0,1.847,146.0,1.819,2025-09-24 08:08:42
