Market,Selection,Odds,matchup,timestamp
Money Line – Game,KK Viimsi,3.54,KK Viimsi vs KK Parnu,2026-04-13 14:09:55
Money Line – Game,KK Parnu,1.198,KK Viimsi vs KK Parnu,2026-04-13 14:09:55
Handicap – Game,KK Viimsi +8.5,1.763,KK Viimsi vs KK Parnu,2026-04-13 14:09:55
Handicap – Game,KK Parnu -8.5,1.909,KK Viimsi vs KK Parnu,2026-04-13 14:09:55
Total – Game,Over 160.5,1.787,KK Viimsi vs KK Parnu,2026-04-13 14:09:55
Total – Game,Under 160.5,1.884,KK Viimsi vs KK Parnu,2026-04-13 14:09:55
Money Line – Game,BC Tartu,1.092,BC Tartu vs KK Parnu,2026-04-27 15:13:44
Money Line – Game,KK Parnu,4.82,BC Tartu vs KK Parnu,2026-04-27 15:13:44
Handicap – Game,BC Tartu -13.0,1.917,BC Tartu vs KK Parnu,2026-04-27 15:13:44
Handicap – Game,KK Parnu +13.0,1.751,BC Tartu vs KK Parnu,2026-04-27 15:13:44
Total – Game,Over 157,1.833,BC Tartu vs KK Parnu,2026-04-27 15:13:44
Total – Game,Under 157,1.833,BC Tartu vs KK Parnu,2026-04-27 15:13:44
Money Line – Game,BC Tartu,1.246,BC Tartu vs KK Parnu,2026-05-04 00:16:31
Money Line – Game,KK Parnu,3.0,BC Tartu vs KK Parnu,2026-05-04 00:16:31
Handicap – Game,BC Tartu -6.5,1.8,BC Tartu vs KK Parnu,2026-05-04 00:16:31
Handicap – Game,KK Parnu +6.5,1.8,BC Tartu vs KK Parnu,2026-05-04 00:16:31
Total – Game,Over 162.5,1.84,BC Tartu vs KK Parnu,2026-05-04 00:16:31
Total – Game,Under 162.5,1.763,BC Tartu vs KK Parnu,2026-05-04 00:16:31
Money Line – Game,BC Tartu,1.246,BC Tartu vs KK Parnu,2026-05-04 04:12:19
Money Line – Game,KK Parnu,3.0,BC Tartu vs KK Parnu,2026-05-04 04:12:19
Handicap – Game,BC Tartu -6.5,1.8,BC Tartu vs KK Parnu,2026-05-04 04:12:19
Handicap – Game,KK Parnu +6.5,1.8,BC Tartu vs KK Parnu,2026-05-04 04:12:19
Total – Game,Over 162.5,1.84,BC Tartu vs KK Parnu,2026-05-04 04:12:19
Total – Game,Under 162.5,1.763,BC Tartu vs KK Parnu,2026-05-04 04:12:19
Money Line – Game,BC Tartu,1.246,BC Tartu vs KK Parnu,2026-05-04 07:25:36
Money Line – Game,KK Parnu,3.0,BC Tartu vs KK Parnu,2026-05-04 07:25:36
Handicap – Game,BC Tartu -6.5,1.8,BC Tartu vs KK Parnu,2026-05-04 07:25:36
Handicap – Game,KK Parnu +6.5,1.8,BC Tartu vs KK Parnu,2026-05-04 07:25:36
Total – Game,Over 162.5,1.84,BC Tartu vs KK Parnu,2026-05-04 07:25:36
Total – Game,Under 162.5,1.763,BC Tartu vs KK Parnu,2026-05-04 07:25:36
Money Line – Game,BC Tartu,1.277,BC Tartu vs KK Parnu,2026-05-04 11:30:35
Money Line – Game,KK Parnu,3.06,BC Tartu vs KK Parnu,2026-05-04 11:30:35
Handicap – Game,BC Tartu -6.5,1.854,BC Tartu vs KK Parnu,2026-05-04 11:30:35
Handicap – Game,KK Parnu +6.5,1.813,BC Tartu vs KK Parnu,2026-05-04 11:30:35
Total – Game,Over 162.5,1.892,BC Tartu vs KK Parnu,2026-05-04 11:30:35
Total – Game,Under 162.5,1.775,BC Tartu vs KK Parnu,2026-05-04 11:30:35
Money Line – Game,BC Tartu,1.303,BC Tartu vs KK Parnu,2026-05-04 15:28:59
Money Line – Game,KK Parnu,2.93,BC Tartu vs KK Parnu,2026-05-04 15:28:59
Handicap – Game,BC Tartu -5.5,1.793,BC Tartu vs KK Parnu,2026-05-04 15:28:59
Handicap – Game,KK Parnu +5.5,1.869,BC Tartu vs KK Parnu,2026-05-04 15:28:59
Total – Game,Over 164,1.84,BC Tartu vs KK Parnu,2026-05-04 15:28:59
Total – Game,Under 164,1.826,BC Tartu vs KK Parnu,2026-05-04 15:28:59
Money Line – Game,KK Parnu,2.11,KK Parnu vs BC Tartu,2026-05-07 05:07:28
Money Line – Game,BC Tartu,1.561,KK Parnu vs BC Tartu,2026-05-07 05:07:28
Handicap – Game,KK Parnu +2.5,1.793,KK Parnu vs BC Tartu,2026-05-07 05:07:28
Handicap – Game,BC Tartu -2.5,1.806,KK Parnu vs BC Tartu,2026-05-07 05:07:28
Total – Game,Over 161.5,1.847,KK Parnu vs BC Tartu,2026-05-07 05:07:28
Total – Game,Under 161.5,1.751,KK Parnu vs BC Tartu,2026-05-07 05:07:28
Money Line – Game,KK Parnu,2.11,KK Parnu vs BC Tartu,2026-05-07 07:43:25
Money Line – Game,BC Tartu,1.561,KK Parnu vs BC Tartu,2026-05-07 07:43:25
Handicap – Game,KK Parnu +2.5,1.793,KK Parnu vs BC Tartu,2026-05-07 07:43:25
Handicap – Game,BC Tartu -2.5,1.806,KK Parnu vs BC Tartu,2026-05-07 07:43:25
Total – Game,Over 161.5,1.847,KK Parnu vs BC Tartu,2026-05-07 07:43:25
Total – Game,Under 161.5,1.751,KK Parnu vs BC Tartu,2026-05-07 07:43:25
Money Line – Game,KK Parnu,2.3,KK Parnu vs BC Tartu,2026-05-07 10:25:38
Money Line – Game,BC Tartu,1.462,KK Parnu vs BC Tartu,2026-05-07 10:25:38
Handicap – Game,KK Parnu +3.5,1.793,KK Parnu vs BC Tartu,2026-05-07 10:25:38
Handicap – Game,BC Tartu -3.5,1.806,KK Parnu vs BC Tartu,2026-05-07 10:25:38
Total – Game,Over 161.5,1.847,KK Parnu vs BC Tartu,2026-05-07 10:25:38
Total – Game,Under 161.5,1.757,KK Parnu vs BC Tartu,2026-05-07 10:25:38
Money Line – Game,KK Parnu,2.21,KK Parnu vs BC Tartu,2026-05-07 12:23:46
Money Line – Game,BC Tartu,1.555,KK Parnu vs BC Tartu,2026-05-07 12:23:46
Handicap – Game,KK Parnu +3.0,1.793,KK Parnu vs BC Tartu,2026-05-07 12:23:46
Handicap – Game,BC Tartu -3.0,1.869,KK Parnu vs BC Tartu,2026-05-07 12:23:46
Total – Game,Over 161.5,1.884,KK Parnu vs BC Tartu,2026-05-07 12:23:46
Total – Game,Under 161.5,1.787,KK Parnu vs BC Tartu,2026-05-07 12:23:46
Money Line – Game,KK Parnu,2.560,KK Parnu vs BC Tartu,2026-05-07 15:14:02
Money Line – Game,BC Tartu,1.406,KK Parnu vs BC Tartu,2026-05-07 15:14:02
Handicap – Game,KK Parnu +4.0,1.869,KK Parnu vs BC Tartu,2026-05-07 15:14:02
Handicap – Game,BC Tartu -4.0,1.800,KK Parnu vs BC Tartu,2026-05-07 15:14:02
Total – Game,Over 161.5,1.877,KK Parnu vs BC Tartu,2026-05-07 15:14:02
Total – Game,Under 161.5,1.793,KK Parnu vs BC Tartu,2026-05-07 15:14:02
