team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
KK Viimsi,KK Parnu,https://www.pinnacle.com/en/basketball/estonia-meistriliiga/kk-viimsi-vs-kk-parnu/1628207021/,3.68,1.181,8.5,1.787,-8.5,1.877,160.5,1.787,160.5,1.884,2026-04-13 14:09:55
BC Tartu,KK Parnu,https://www.pinnacle.com/en/basketball/estonia-meistriliiga/bc-tartu-vs-kk-parnu/1629454279/,1.092,4.82,-13.0,1.917,13.0,1.751,157.0,1.833,157.0,1.833,2026-04-27 15:13:44
BC Tartu,KK Parnu,https://www.pinnacle.com/en/basketball/estonia-meistriliiga/bc-tartu-vs-kk-parnu/1630007469/,1.246,3.0,-6.5,1.8,6.5,1.8,162.5,1.84,162.5,1.763,2026-05-04 00:16:31
BC Tartu,KK Parnu,https://www.pinnacle.com/en/basketball/estonia-meistriliiga/bc-tartu-vs-kk-parnu/1630007469/,1.246,3.0,-6.5,1.8,6.5,1.8,162.5,1.84,162.5,1.763,2026-05-04 04:12:19
BC Tartu,KK Parnu,https://www.pinnacle.com/en/basketball/estonia-meistriliiga/bc-tartu-vs-kk-parnu/1630007469/,1.246,3.0,-6.5,1.8,6.5,1.8,162.5,1.84,162.5,1.763,2026-05-04 07:25:36
BC Tartu,KK Parnu,https://www.pinnacle.com/en/basketball/estonia-meistriliiga/bc-tartu-vs-kk-parnu/1630007469/,1.312,2.89,-6.5,1.9,6.5,1.769,162.5,1.892,162.5,1.775,2026-05-04 11:30:35
BC Tartu,KK Parnu,https://www.pinnacle.com/en/basketball/estonia-meistriliiga/bc-tartu-vs-kk-parnu/1630007469/,,,,,,,,,,,2026-05-04 15:28:59
KK Parnu,BC Tartu,https://www.pinnacle.com/en/basketball/estonia-meistriliiga/kk-parnu-vs-bc-tartu/1630074665/,2.11,1.561,2.5,1.793,-2.5,1.806,161.5,1.847,161.5,1.751,2026-05-07 05:07:28
KK Parnu,BC Tartu,https://www.pinnacle.com/en/basketball/estonia-meistriliiga/kk-parnu-vs-bc-tartu/1630074665/,2.22,1.5,3.5,1.729,-3.5,1.877,161.5,1.847,161.5,1.757,2026-05-07 07:43:25
KK Parnu,BC Tartu,https://www.pinnacle.com/en/basketball/estonia-meistriliiga/kk-parnu-vs-bc-tartu/1630074665/,2.3,1.462,3.5,1.793,-3.5,1.806,161.5,1.847,161.5,1.757,2026-05-07 10:25:38
KK Parnu,BC Tartu,https://www.pinnacle.com/en/basketball/estonia-meistriliiga/kk-parnu-vs-bc-tartu/1630074665/,2.21,1.555,3.0,1.793,-3.0,1.869,161.5,1.884,161.5,1.787,2026-05-07 12:23:46
KK Parnu,BC Tartu,https://www.pinnacle.com/en/basketball/estonia-meistriliiga/kk-parnu-vs-bc-tartu/1630074665/,2.560,1.406,+4.0,1.869,-4.0,1.800,161.5,1.877,161.5,1.793,2026-05-07 15:14:02
