Market,Selection,Odds,matchup,timestamp
Money Line – Game,Valmiera Glass VIA,1.628,Valmiera Glass VIA vs BK Ogre,2025-09-29 23:23:41
Money Line – Game,BK Ogre,2.18,Valmiera Glass VIA vs BK Ogre,2025-09-29 23:23:41
Handicap – Game,Valmiera Glass VIA -2.5,1.884,Valmiera Glass VIA vs BK Ogre,2025-09-29 23:23:41
Handicap – Game,BK Ogre +2.5,1.854,Valmiera Glass VIA vs BK Ogre,2025-09-29 23:23:41
Total – Game,Over 165,1.877,Valmiera Glass VIA vs BK Ogre,2025-09-29 23:23:41
Total – Game,Under 165,1.862,Valmiera Glass VIA vs BK Ogre,2025-09-29 23:23:41
Total – Game,Under 166.5,1.909,VEF Riga vs Keila Korvpallikool,2025-09-29 23:43:00
Total – Game,Over 166.5,1.833,VEF Riga vs Keila Korvpallikool,2025-09-29 23:43:00
Handicap – Game,VEF Riga -26.0,1.877,VEF Riga vs Keila Korvpallikool,2025-09-29 23:43:00
Handicap – Game,Keila Korvpallikool +26.0,1.862,VEF Riga vs Keila Korvpallikool,2025-09-29 23:43:00
Handicap – Game,VEF Riga -26.0,1.877,VEF Riga vs Keila Korvpallikool,2025-09-29 23:49:14
Handicap – Game,Keila Korvpallikool +26.0,1.862,VEF Riga vs Keila Korvpallikool,2025-09-29 23:49:14
Total – Game,Over 166.5,1.833,VEF Riga vs Keila Korvpallikool,2025-09-29 23:49:14
Total – Game,Under 166.5,1.909,VEF Riga vs Keila Korvpallikool,2025-09-29 23:49:14
Total – Game,Over 166.5,1.833,VEF Riga vs Keila Korvpallikool,2025-09-29 23:56:09
Handicap – Game,VEF Riga -26.0,1.877,VEF Riga vs Keila Korvpallikool,2025-09-29 23:56:09
Handicap – Game,Keila Korvpallikool +26.0,1.862,VEF Riga vs Keila Korvpallikool,2025-09-29 23:56:09
Total – Game,Under 166.5,1.909,VEF Riga vs Keila Korvpallikool,2025-09-29 23:56:09
Money Line – Game,Latvijas Universitate,1.473,Latvijas Universitate vs Keila Korvpallikool,2025-12-09 17:14:18
Money Line – Game,Keila Korvpallikool,2.51,Latvijas Universitate vs Keila Korvpallikool,2025-12-09 17:14:18
Handicap – Game,Latvijas Universitate -3.5,1.793,Latvijas Universitate vs Keila Korvpallikool,2025-12-09 17:14:18
Handicap – Game,Keila Korvpallikool +3.5,1.952,Latvijas Universitate vs Keila Korvpallikool,2025-12-09 17:14:18
Total – Game,Over 174.5,1.884,Latvijas Universitate vs Keila Korvpallikool,2025-12-09 17:14:18
Total – Game,Under 174.5,1.854,Latvijas Universitate vs Keila Korvpallikool,2025-12-09 17:14:18
Money Line – Game,Latvijas Universitate,1.473,Latvijas Universitate vs Keila Korvpallikool,2025-12-09 17:37:35
Money Line – Game,Keila Korvpallikool,2.51,Latvijas Universitate vs Keila Korvpallikool,2025-12-09 17:37:35
Handicap – Game,Latvijas Universitate -3.5,1.793,Latvijas Universitate vs Keila Korvpallikool,2025-12-09 17:37:35
Handicap – Game,Keila Korvpallikool +3.5,1.952,Latvijas Universitate vs Keila Korvpallikool,2025-12-09 17:37:35
Total – Game,Over 174.5,1.884,Latvijas Universitate vs Keila Korvpallikool,2025-12-09 17:37:35
Total – Game,Under 174.5,1.854,Latvijas Universitate vs Keila Korvpallikool,2025-12-09 17:37:35
Money Line – Game,Liepajas Lauvas,1.165,Liepajas Lauvas vs Latvijas Universitate,2026-01-05 15:54:01
Money Line – Game,Latvijas Universitate,4.25,Liepajas Lauvas vs Latvijas Universitate,2026-01-05 15:54:01
Handicap – Game,Liepajas Lauvas -13.0,1.869,Liepajas Lauvas vs Latvijas Universitate,2026-01-05 15:54:01
Handicap – Game,Latvijas Universitate +13.0,1.869,Liepajas Lauvas vs Latvijas Universitate,2026-01-05 15:54:01
Total – Game,Over 168.5,1.847,Liepajas Lauvas vs Latvijas Universitate,2026-01-05 15:54:01
Total – Game,Under 168.5,1.892,Liepajas Lauvas vs Latvijas Universitate,2026-01-05 15:54:01
Money Line – Game,Liepajas Lauvas,1.165,Liepajas Lauvas vs Latvijas Universitate,2026-01-05 16:15:58
Money Line – Game,Latvijas Universitate,4.25,Liepajas Lauvas vs Latvijas Universitate,2026-01-05 16:15:58
Handicap – Game,Liepajas Lauvas -13.0,1.869,Liepajas Lauvas vs Latvijas Universitate,2026-01-05 16:15:58
Handicap – Game,Latvijas Universitate +13.0,1.869,Liepajas Lauvas vs Latvijas Universitate,2026-01-05 16:15:58
Total – Game,Over 168.5,1.847,Liepajas Lauvas vs Latvijas Universitate,2026-01-05 16:15:58
Total – Game,Under 168.5,1.892,Liepajas Lauvas vs Latvijas Universitate,2026-01-05 16:15:58
Money Line – Game,Liepajas Lauvas,1.165,Liepajas Lauvas vs Latvijas Universitate,2026-01-05 16:42:00
Money Line – Game,Latvijas Universitate,4.25,Liepajas Lauvas vs Latvijas Universitate,2026-01-05 16:42:00
Handicap – Game,Liepajas Lauvas -12.0,1.854,Liepajas Lauvas vs Latvijas Universitate,2026-01-05 16:42:00
Handicap – Game,Latvijas Universitate +12.0,1.884,Liepajas Lauvas vs Latvijas Universitate,2026-01-05 16:42:00
Total – Game,Over 168.5,1.862,Liepajas Lauvas vs Latvijas Universitate,2026-01-05 16:42:00
Total – Game,Under 168.5,1.877,Liepajas Lauvas vs Latvijas Universitate,2026-01-05 16:42:00
Money Line – Game,Taltech Basketball,3.05,Taltech Basketball vs Rigas Zelli,2026-03-02 04:11:08
Money Line – Game,Rigas Zelli,1.324,Taltech Basketball vs Rigas Zelli,2026-03-02 04:11:08
Handicap – Game,Taltech Basketball +5.5,1.909,Taltech Basketball vs Rigas Zelli,2026-03-02 04:11:08
Handicap – Game,Rigas Zelli -5.5,1.833,Taltech Basketball vs Rigas Zelli,2026-03-02 04:11:08
Total – Game,Over 167.5,1.934,Taltech Basketball vs Rigas Zelli,2026-03-02 04:11:08
Total – Game,Under 167.5,1.813,Taltech Basketball vs Rigas Zelli,2026-03-02 04:11:08
Money Line – Game,Taltech Basketball,3.05,Taltech Basketball vs Rigas Zelli,2026-03-02 06:13:21
Money Line – Game,Rigas Zelli,1.324,Taltech Basketball vs Rigas Zelli,2026-03-02 06:13:21
Handicap – Game,Taltech Basketball +5.5,1.909,Taltech Basketball vs Rigas Zelli,2026-03-02 06:13:21
Handicap – Game,Rigas Zelli -5.5,1.833,Taltech Basketball vs Rigas Zelli,2026-03-02 06:13:21
Total – Game,Over 167.5,1.934,Taltech Basketball vs Rigas Zelli,2026-03-02 06:13:21
Total – Game,Under 167.5,1.813,Taltech Basketball vs Rigas Zelli,2026-03-02 06:13:21
Money Line – Game,Taltech Basketball,3.05,Taltech Basketball vs Rigas Zelli,2026-03-02 07:18:53
Money Line – Game,Rigas Zelli,1.324,Taltech Basketball vs Rigas Zelli,2026-03-02 07:18:53
Handicap – Game,Taltech Basketball +5.5,1.909,Taltech Basketball vs Rigas Zelli,2026-03-02 07:18:53
Handicap – Game,Rigas Zelli -5.5,1.833,Taltech Basketball vs Rigas Zelli,2026-03-02 07:18:53
Total – Game,Over 167.5,1.934,Taltech Basketball vs Rigas Zelli,2026-03-02 07:18:53
Total – Game,Under 167.5,1.813,Taltech Basketball vs Rigas Zelli,2026-03-02 07:18:53
Money Line – Game,Taltech Basketball,3.05,Taltech Basketball vs Rigas Zelli,2026-03-02 08:04:04
Money Line – Game,Rigas Zelli,1.324,Taltech Basketball vs Rigas Zelli,2026-03-02 08:04:04
Handicap – Game,Taltech Basketball +5.5,1.909,Taltech Basketball vs Rigas Zelli,2026-03-02 08:04:04
Handicap – Game,Rigas Zelli -5.5,1.833,Taltech Basketball vs Rigas Zelli,2026-03-02 08:04:04
Total – Game,Over 167.5,1.934,Taltech Basketball vs Rigas Zelli,2026-03-02 08:04:04
Total – Game,Under 167.5,1.813,Taltech Basketball vs Rigas Zelli,2026-03-02 08:04:04
Money Line – Game,Taltech Basketball,3.05,Taltech Basketball vs Rigas Zelli,2026-03-02 09:04:36
Money Line – Game,Rigas Zelli,1.324,Taltech Basketball vs Rigas Zelli,2026-03-02 09:04:36
Handicap – Game,Taltech Basketball +5.5,1.909,Taltech Basketball vs Rigas Zelli,2026-03-02 09:04:36
Handicap – Game,Rigas Zelli -5.5,1.833,Taltech Basketball vs Rigas Zelli,2026-03-02 09:04:36
Total – Game,Over 167.5,1.934,Taltech Basketball vs Rigas Zelli,2026-03-02 09:04:36
Total – Game,Under 167.5,1.813,Taltech Basketball vs Rigas Zelli,2026-03-02 09:04:36
Money Line – Game,Taltech Basketball,3.05,Taltech Basketball vs Rigas Zelli,2026-03-02 11:04:54
Money Line – Game,Rigas Zelli,1.324,Taltech Basketball vs Rigas Zelli,2026-03-02 11:04:54
Handicap – Game,Taltech Basketball +5.5,1.909,Taltech Basketball vs Rigas Zelli,2026-03-02 11:04:54
Handicap – Game,Rigas Zelli -5.5,1.833,Taltech Basketball vs Rigas Zelli,2026-03-02 11:04:54
Total – Game,Over 167.5,1.934,Taltech Basketball vs Rigas Zelli,2026-03-02 11:04:54
Total – Game,Under 167.5,1.813,Taltech Basketball vs Rigas Zelli,2026-03-02 11:04:54
Money Line – Game,Taltech Basketball,3.1,Taltech Basketball vs Rigas Zelli,2026-03-02 11:48:02
Money Line – Game,Rigas Zelli,1.314,Taltech Basketball vs Rigas Zelli,2026-03-02 11:48:02
Handicap – Game,Taltech Basketball +5.5,1.943,Taltech Basketball vs Rigas Zelli,2026-03-02 11:48:02
