Market,Selection,Odds,matchup,timestamp
Money Line – Game,Sweden,2.91,Sweden vs Lithuania,2025-11-13 17:32:27
Money Line – Game,Lithuania,1.355,Sweden vs Lithuania,2025-11-13 17:32:27
Handicap – Game,Sweden +5.5,1.884,Sweden vs Lithuania,2025-11-13 17:32:27
Handicap – Game,Lithuania -5.5,1.854,Sweden vs Lithuania,2025-11-13 17:32:27
Total – Game,Over 144,1.9,Sweden vs Lithuania,2025-11-13 17:32:27
Total – Game,Under 144,1.84,Sweden vs Lithuania,2025-11-13 17:32:27
Total – Game,Over 146.5,1.862,Belgium vs Finland,2025-11-13 17:50:23
Handicap – Game,Finland +25.5,1.917,Belgium vs Finland,2025-11-13 17:50:23
Handicap – Game,Belgium -25.5,1.819,Belgium vs Finland,2025-11-13 17:50:23
Total – Game,Under 139,1.917,Sweden vs Lithuania,2025-11-13 17:50:23
Handicap – Game,Sweden +5.5,1.862,Sweden vs Lithuania,2025-11-13 17:50:23
Handicap – Game,Lithuania -5.5,1.877,Sweden vs Lithuania,2025-11-13 17:50:23
Total – Game,Under 146.5,1.877,Belgium vs Finland,2025-11-13 17:50:23
Money Line – Game,Lithuania,1.353,Sweden vs Lithuania,2025-11-13 17:50:23
Money Line – Game,Sweden,2.92,Sweden vs Lithuania,2025-11-13 17:50:23
Total – Game,Over 139,1.826,Sweden vs Lithuania,2025-11-13 17:50:23
Total – Game,Under 146.5,1.877,Belgium vs Finland,2025-11-13 19:43:16
Total – Game,Over 146.5,1.862,Belgium vs Finland,2025-11-13 19:43:16
Handicap – Game,Belgium -25.5,1.819,Belgium vs Finland,2025-11-13 19:43:16
Handicap – Game,Finland +25.5,1.917,Belgium vs Finland,2025-11-13 19:43:16
Money Line – Game,Netherlands,3.41,Netherlands vs Slovenia,2025-11-18 17:51:40
Money Line – Game,Slovenia,1.259,Netherlands vs Slovenia,2025-11-18 17:51:40
Handicap – Game,Netherlands +7.0,1.869,Netherlands vs Slovenia,2025-11-18 17:51:40
Handicap – Game,Slovenia -7.0,1.869,Netherlands vs Slovenia,2025-11-18 17:51:40
Total – Game,Over 144.5,1.8,Netherlands vs Slovenia,2025-11-18 17:51:40
Total – Game,Under 144.5,1.943,Netherlands vs Slovenia,2025-11-18 17:51:40
Money Line – Game,Portugal,1.151,Portugal vs Iceland,2025-11-18 17:51:40
Money Line – Game,Iceland,4.44,Portugal vs Iceland,2025-11-18 17:51:40
Handicap – Game,Portugal -10.0,1.84,Portugal vs Iceland,2025-11-18 17:51:40
Total – Game,Over 132.5,1.917,Portugal vs Iceland,2025-11-18 17:51:40
Total – Game,Under 132.5,1.826,Portugal vs Iceland,2025-11-18 17:51:40
Handicap – Game,Poland -40.5,1.98,Poland vs Cyprus,2025-11-18 17:51:40
Handicap – Game,Cyprus +40.5,1.775,Poland vs Cyprus,2025-11-18 17:51:40
Total – Game,Over 136.5,1.99,Poland vs Cyprus,2025-11-18 17:51:40
Total – Game,Under 136.5,1.757,Poland vs Cyprus,2025-11-18 17:51:40
Handicap – Game,Iceland +10.0,1.9,Portugal vs Iceland,2025-11-18 17:51:40
Total – Game,Under 132.5,1.869,Switzerland vs Austria,2025-11-18 17:51:40
Handicap – Game,Switzerland -7.5,1.862,Switzerland vs Austria,2025-11-18 17:51:40
Handicap – Game,Austria +7.5,1.877,Switzerland vs Austria,2025-11-18 17:51:40
Total – Game,Over 132.5,1.869,Switzerland vs Austria,2025-11-18 17:51:40
Money Line – Game,Ireland,10.51,Israel vs Ireland,2025-11-18 17:51:40
Handicap – Game,Israel -21.5,1.884,Israel vs Ireland,2025-11-18 17:51:40
Handicap – Game,Ireland +21.5,1.854,Israel vs Ireland,2025-11-18 17:51:40
Total – Game,Over 151.5,1.833,Israel vs Ireland,2025-11-18 17:51:40
Total – Game,Under 151.5,1.909,Israel vs Ireland,2025-11-18 17:51:40
Money Line – Game,Luxembourg,1.191,Luxembourg vs Bosnia & Herzegovina,2025-11-18 17:51:40
Money Line – Game,Israel,1.017,Israel vs Ireland,2025-11-18 17:51:40
Handicap – Game,Luxembourg -9.5,1.884,Luxembourg vs Bosnia & Herzegovina,2025-11-18 17:51:40
Handicap – Game,Bosnia & Herzegovina +9.5,1.847,Luxembourg vs Bosnia & Herzegovina,2025-11-18 17:51:40
Total – Game,Over 144.5,1.819,Luxembourg vs Bosnia & Herzegovina,2025-11-18 17:51:40
Total – Game,Under 144.5,1.925,Luxembourg vs Bosnia & Herzegovina,2025-11-18 17:51:40
Money Line – Game,Switzerland,1.295,Switzerland vs Austria,2025-11-18 17:51:40
Money Line – Game,Austria,3.19,Switzerland vs Austria,2025-11-18 17:51:40
Money Line – Game,Bosnia & Herzegovina,3.97,Luxembourg vs Bosnia & Herzegovina,2025-11-18 17:51:40
Handicap – Game,Cyprus +40.5,1.775,Poland vs Cyprus,2025-11-18 18:00:34
Handicap – Game,Poland -40.5,1.98,Poland vs Cyprus,2025-11-18 18:00:34
Total – Game,Under 132.5,1.826,Portugal vs Iceland,2025-11-18 18:00:34
Total – Game,Over 132.5,1.917,Portugal vs Iceland,2025-11-18 18:00:34
Handicap – Game,Iceland +10.0,1.9,Portugal vs Iceland,2025-11-18 18:00:34
Handicap – Game,Portugal -10.0,1.84,Portugal vs Iceland,2025-11-18 18:00:34
Money Line – Game,Iceland,4.44,Portugal vs Iceland,2025-11-18 18:00:34
Total – Game,Over 144.5,1.8,Netherlands vs Slovenia,2025-11-18 18:00:34
Total – Game,Under 144.5,1.943,Netherlands vs Slovenia,2025-11-18 18:00:34
Handicap – Game,Slovenia -7.0,1.869,Netherlands vs Slovenia,2025-11-18 18:00:34
Handicap – Game,Netherlands +7.0,1.869,Netherlands vs Slovenia,2025-11-18 18:00:34
Money Line – Game,Slovenia,1.259,Netherlands vs Slovenia,2025-11-18 18:00:34
Money Line – Game,Netherlands,3.41,Netherlands vs Slovenia,2025-11-18 18:00:34
Total – Game,Over 136.5,1.99,Poland vs Cyprus,2025-11-18 18:00:34
Money Line – Game,Portugal,1.151,Portugal vs Iceland,2025-11-18 18:00:34
