team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Sweden,Lithuania,https://www.pinnacle.com/en/basketball/eurobasket-qualification-women/sweden-vs-lithuania/1619477302/,2.91,1.355,5.5,1.884,-5.5,1.854,144.0,1.9,144.0,1.84,2025-11-13 17:32:27
Belgium,Finland,https://www.pinnacle.com/en/basketball/eurobasket-qualification-women/belgium-vs-finland/1619477303/,,,-25.5,1.869,25.5,1.862,146.5,1.877,146.5,1.862,2025-11-13 17:32:27
Sweden,Lithuania,https://www.pinnacle.com/en/basketball/eurobasket-qualification-women/sweden-vs-lithuania/1619477302/,2.92,1.353,5.5,1.862,-5.5,1.877,139.0,1.826,139.0,1.917,2025-11-13 17:50:23
Belgium,Finland,https://www.pinnacle.com/en/basketball/eurobasket-qualification-women/belgium-vs-finland/1619477303/,,,-25.5,1.819,25.5,1.917,146.5,1.862,146.5,1.877,2025-11-13 17:50:23
Belgium,Finland,https://www.pinnacle.com/en/basketball/eurobasket-qualification-women/belgium-vs-finland/1619477303/,,,-25.5,1.819,25.5,1.917,146.5,1.862,146.5,1.877,2025-11-13 18:01:40
Belgium,Finland,https://www.pinnacle.com/en/basketball/eurobasket-qualification-women/belgium-vs-finland/1619477303/,,,-25.5,1.819,25.5,1.917,146.5,1.862,146.5,1.877,2025-11-13 19:01:21
Belgium,Finland,https://www.pinnacle.com/en/basketball/eurobasket-qualification-women/belgium-vs-finland/1619477303/,,,-25.5,1.819,25.5,1.917,146.5,1.862,146.5,1.877,2025-11-13 19:09:50
Belgium,Finland,https://www.pinnacle.com/en/basketball/eurobasket-qualification-women/belgium-vs-finland/1619477303/,,,-25.5,1.819,25.5,1.917,146.5,1.862,146.5,1.877,2025-11-13 19:43:16
Poland,Cyprus,https://www.pinnacle.com/en/basketball/eurobasket-qualification-women/poland-vs-cyprus/1619660869/,,,-40.5,1.98,40.5,1.775,136.5,1.99,136.5,1.757,2025-11-18 17:51:40
Portugal,Iceland,https://www.pinnacle.com/en/basketball/eurobasket-qualification-women/portugal-vs-iceland/1619660855/,1.151,4.44,-10.0,1.84,10.0,1.9,132.5,1.917,132.5,1.826,2025-11-18 17:51:40
Netherlands,Slovenia,https://www.pinnacle.com/en/basketball/eurobasket-qualification-women/netherlands-vs-slovenia/1619657263/,3.41,1.259,7.0,1.869,-7.0,1.869,144.5,1.8,144.5,1.943,2025-11-18 17:51:40
Switzerland,Austria,https://www.pinnacle.com/en/basketball/eurobasket-qualification-women/switzerland-vs-austria/1619657245/,1.295,3.19,-7.5,1.862,7.5,1.877,132.5,1.869,132.5,1.869,2025-11-18 17:51:40
Luxembourg,Bosnia & Herzegovina,https://www.pinnacle.com/en/basketball/eurobasket-qualification-women/luxembourg-vs-bosnia-herzegovina/1619651987/,1.191,3.97,-9.5,1.884,9.5,1.847,144.5,1.819,144.5,1.925,2025-11-18 17:51:40
Israel,Ireland,https://www.pinnacle.com/en/basketball/eurobasket-qualification-women/israel-vs-ireland/1619657622/,1.017,10.51,-21.5,1.884,21.5,1.854,151.5,1.833,151.5,1.909,2025-11-18 17:51:40
Luxembourg,Bosnia & Herzegovina,https://www.pinnacle.com/en/basketball/eurobasket-qualification-women/luxembourg-vs-bosnia-herzegovina/1619651987/,1.191,3.97,-9.5,1.884,9.5,1.847,144.5,1.819,144.5,1.925,2025-11-18 18:00:34
Israel,Ireland,https://www.pinnacle.com/en/basketball/eurobasket-qualification-women/israel-vs-ireland/1619657622/,1.017,10.51,-21.5,1.884,21.5,1.854,151.5,1.833,151.5,1.909,2025-11-18 18:00:34
Switzerland,Austria,https://www.pinnacle.com/en/basketball/eurobasket-qualification-women/switzerland-vs-austria/1619657245/,1.295,3.19,-7.5,1.862,7.5,1.877,132.5,1.869,132.5,1.869,2025-11-18 18:00:34
Netherlands,Slovenia,https://www.pinnacle.com/en/basketball/eurobasket-qualification-women/netherlands-vs-slovenia/1619657263/,3.41,1.259,7.0,1.869,-7.0,1.869,144.5,1.8,144.5,1.943,2025-11-18 18:00:34
Portugal,Iceland,https://www.pinnacle.com/en/basketball/eurobasket-qualification-women/portugal-vs-iceland/1619660855/,1.151,4.44,-10.0,1.84,10.0,1.9,132.5,1.917,132.5,1.826,2025-11-18 18:00:34
Poland,Cyprus,https://www.pinnacle.com/en/basketball/eurobasket-qualification-women/poland-vs-cyprus/1619660869/,,,-40.5,1.98,40.5,1.775,136.5,1.99,136.5,1.757,2025-11-18 18:00:34
Poland,Cyprus,https://www.pinnacle.com/en/basketball/eurobasket-qualification-women/poland-vs-cyprus/1619660869/,,,-40.5,2.24,40.5,1.598,136.5,2.16,136.5,1.641,2025-11-18 19:26:29
