team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Heroes Den Bosch,Donar Groningen,https://www.pinnacle.com/en/basketball/europe-bnxt-league/heroes-den-bosch-vs-donar-groningen/1615073476/,,,,,,,,,,,2025-09-14 05:57:38
Heroes Den Bosch,Donar Groningen,https://www.pinnacle.com/en/basketball/europe-bnxt-league/heroes-den-bosch-vs-donar-groningen/1615073476/,,,,,,,,,,,2025-09-14 06:02:30
Heroes Den Bosch,Donar Groningen,https://www.pinnacle.com/en/basketball/europe-bnxt-league/heroes-den-bosch-vs-donar-groningen/1615073476/,1.049,5.95,-13.5,1.833,13.5,1.833,163.5,1.847,163.5,1.819,2025-09-14 06:59:47
Heroes Den Bosch,Donar Groningen,https://www.pinnacle.com/en/basketball/europe-bnxt-league/heroes-den-bosch-vs-donar-groningen/1615073476/,1.049,5.95,-13.5,1.833,13.5,1.833,163.5,1.847,163.5,1.819,2025-09-14 07:59:32
Heroes Den Bosch,Donar Groningen,https://www.pinnacle.com/en/basketball/europe-bnxt-league/heroes-den-bosch-vs-donar-groningen/1615073476/,1.049,5.95,-13.5,1.833,13.5,1.833,163.5,1.847,163.5,1.819,2025-09-14 08:05:19
Heroes Den Bosch,Donar Groningen,https://www.pinnacle.com/en/basketball/europe-bnxt-league/heroes-den-bosch-vs-donar-groningen/1615073476/,1.041,6.3,-14.5,1.813,14.5,1.854,163.5,1.826,163.5,1.84,2025-09-14 08:34:23
Heroes Den Bosch,Donar Groningen,https://www.pinnacle.com/en/basketball/europe-bnxt-league/heroes-den-bosch-vs-donar-groningen/1615073476/,1.041,6.3,-14.5,1.813,14.5,1.854,163.5,1.826,163.5,1.84,2025-09-14 08:42:22
Heroes Den Bosch,Donar Groningen,https://www.pinnacle.com/en/basketball/europe-bnxt-league/heroes-den-bosch-vs-donar-groningen/1615073476/,1.041,6.3,-14.5,1.813,14.5,1.854,163.5,1.826,163.5,1.84,2025-09-14 08:50:04
Heroes Den Bosch,Donar Groningen,https://www.pinnacle.com/en/basketball/europe-bnxt-league/heroes-den-bosch-vs-donar-groningen/1615073476/,1.054,6.99,-14.5,1.884,14.5,1.854,160.5,1.84,160.5,1.9,2025-09-14 09:03:17
Heroes Den Bosch,Donar Groningen,https://www.pinnacle.com/en/basketball/europe-bnxt-league/heroes-den-bosch-vs-donar-groningen/1615073476/,1.054,6.99,-14.5,1.884,14.5,1.854,160.5,1.84,160.5,1.9,2025-09-14 09:11:21
