Market,Selection,Odds,matchup,timestamp
Money Line – Game,PAOK BC,1.235,PAOK BC vs KK Studentski centar Podgorica,2025-09-19 17:24:49
Money Line – Game,KK Studentski centar Podgorica,3.83,PAOK BC vs KK Studentski centar Podgorica,2025-09-19 17:24:49
Handicap – Game,PAOK BC -8.5,1.826,PAOK BC vs KK Studentski centar Podgorica,2025-09-19 17:24:49
Handicap – Game,KK Studentski centar Podgorica +8.5,1.917,PAOK BC vs KK Studentski centar Podgorica,2025-09-19 17:24:49
Total – Game,Over 161,1.98,PAOK BC vs KK Studentski centar Podgorica,2025-09-19 17:24:49
Total – Game,Under 161,1.775,PAOK BC vs KK Studentski centar Podgorica,2025-09-19 17:24:49
Money Line – Game,PAOK BC,1.235,PAOK BC vs KK Studentski centar Podgorica,2025-09-19 17:57:33
Money Line – Game,KK Studentski centar Podgorica,3.83,PAOK BC vs KK Studentski centar Podgorica,2025-09-19 17:57:33
Handicap – Game,PAOK BC -8.5,1.826,PAOK BC vs KK Studentski centar Podgorica,2025-09-19 17:57:33
Handicap – Game,KK Studentski centar Podgorica +8.5,1.917,PAOK BC vs KK Studentski centar Podgorica,2025-09-19 17:57:33
Total – Game,Over 161,1.98,PAOK BC vs KK Studentski centar Podgorica,2025-09-19 17:57:33
Total – Game,Under 161,1.775,PAOK BC vs KK Studentski centar Podgorica,2025-09-19 17:57:33
Total – Game,Under 166.5,1.877,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 16:29:36
Total – Game,Over 166.5,1.862,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 16:29:36
Handicap – Game,MKS Start SA Lublin +16.0,1.884,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 16:29:36
Money Line – Game,UCAM Murcia,1.066,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 16:29:36
Money Line – Game,MKS Start SA Lublin,8.07,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 16:29:36
Handicap – Game,UCAM Murcia -16.0,1.854,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 16:29:36
Money Line – Game,UCAM Murcia,1.066,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 16:47:59
Money Line – Game,MKS Start SA Lublin,8.07,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 16:47:59
Handicap – Game,UCAM Murcia -16.0,1.854,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 16:47:59
Handicap – Game,MKS Start SA Lublin +16.0,1.884,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 16:47:59
Total – Game,Over 166.5,1.862,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 16:47:59
Total – Game,Under 166.5,1.877,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 16:47:59
Total – Game,Under 166.5,1.877,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 16:59:23
Total – Game,Over 166.5,1.862,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 16:59:23
Handicap – Game,MKS Start SA Lublin +16.0,1.884,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 16:59:23
Money Line – Game,MKS Start SA Lublin,8.07,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 16:59:23
Money Line – Game,UCAM Murcia,1.066,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 16:59:23
Handicap – Game,UCAM Murcia -16.0,1.854,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 16:59:23
Money Line – Game,UCAM Murcia,1.066,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 17:22:23
Money Line – Game,MKS Start SA Lublin,8.07,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 17:22:23
Handicap – Game,UCAM Murcia -16.0,1.854,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 17:22:23
Handicap – Game,MKS Start SA Lublin +16.0,1.884,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 17:22:23
Total – Game,Over 166.5,1.862,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 17:22:23
Total – Game,Under 166.5,1.877,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 17:22:23
Total – Game,Under 166.5,1.877,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 17:42:45
Handicap – Game,MKS Start SA Lublin +16.0,1.917,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 17:42:45
Total – Game,Over 166.5,1.862,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 17:42:45
Money Line – Game,MKS Start SA Lublin,8.21,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 17:42:45
Money Line – Game,UCAM Murcia,1.064,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 17:42:45
Handicap – Game,UCAM Murcia -16.0,1.826,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 17:42:45
Money Line – Game,UCAM Murcia,1.064,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 17:47:09
Money Line – Game,MKS Start SA Lublin,8.21,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 17:47:09
Handicap – Game,UCAM Murcia -16.0,1.826,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 17:47:09
Handicap – Game,MKS Start SA Lublin +16.0,1.917,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 17:47:09
Total – Game,Over 166.5,1.862,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 17:47:09
Total – Game,Under 166.5,1.877,UCAM Murcia vs MKS Start SA Lublin,2025-09-20 17:47:09
Total – Game,Over 157.5,1.943,PK Patrioti Levice vs AEK Larnaca,2025-09-21 16:30:31
Money Line – Game,PK Patrioti Levice,1.552,PK Patrioti Levice vs AEK Larnaca,2025-09-21 16:30:31
Money Line – Game,AEK Larnaca,2.35,PK Patrioti Levice vs AEK Larnaca,2025-09-21 16:30:31
Handicap – Game,PK Patrioti Levice -4.0,1.909,PK Patrioti Levice vs AEK Larnaca,2025-09-21 16:30:31
Handicap – Game,AEK Larnaca +4.0,1.833,PK Patrioti Levice vs AEK Larnaca,2025-09-21 16:30:31
Total – Game,Under 157.5,1.806,PK Patrioti Levice vs AEK Larnaca,2025-09-21 16:30:31
Total – Game,Under 157.5,1.806,PK Patrioti Levice vs AEK Larnaca,2025-09-21 16:46:50
Total – Game,Over 157.5,1.943,PK Patrioti Levice vs AEK Larnaca,2025-09-21 16:46:50
Handicap – Game,AEK Larnaca +4.0,1.833,PK Patrioti Levice vs AEK Larnaca,2025-09-21 16:46:50
Handicap – Game,PK Patrioti Levice -4.0,1.909,PK Patrioti Levice vs AEK Larnaca,2025-09-21 16:46:50
Money Line – Game,AEK Larnaca,2.35,PK Patrioti Levice vs AEK Larnaca,2025-09-21 16:46:50
Money Line – Game,PK Patrioti Levice,1.552,PK Patrioti Levice vs AEK Larnaca,2025-09-21 16:46:50
Money Line – Game,PK Patrioti Levice,1.552,PK Patrioti Levice vs AEK Larnaca,2025-09-21 16:50:54
Money Line – Game,AEK Larnaca,2.35,PK Patrioti Levice vs AEK Larnaca,2025-09-21 16:50:54
Handicap – Game,PK Patrioti Levice -4.0,1.909,PK Patrioti Levice vs AEK Larnaca,2025-09-21 16:50:54
Handicap – Game,AEK Larnaca +4.0,1.833,PK Patrioti Levice vs AEK Larnaca,2025-09-21 16:50:54
Total – Game,Over 157.5,1.943,PK Patrioti Levice vs AEK Larnaca,2025-09-21 16:50:54
Total – Game,Under 157.5,1.806,PK Patrioti Levice vs AEK Larnaca,2025-09-21 16:50:54
Total – Game,Over 157.5,1.943,PK Patrioti Levice vs AEK Larnaca,2025-09-21 17:00:25
Handicap – Game,AEK Larnaca +4.0,1.833,PK Patrioti Levice vs AEK Larnaca,2025-09-21 17:00:25
Total – Game,Under 157.5,1.806,PK Patrioti Levice vs AEK Larnaca,2025-09-21 17:00:25
Money Line – Game,AEK Larnaca,2.35,PK Patrioti Levice vs AEK Larnaca,2025-09-21 17:00:25
Money Line – Game,PK Patrioti Levice,1.552,PK Patrioti Levice vs AEK Larnaca,2025-09-21 17:00:25
Handicap – Game,PK Patrioti Levice -4.0,1.909,PK Patrioti Levice vs AEK Larnaca,2025-09-21 17:00:25
