team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Turk Telekom,Ratiopharm Ulm,https://www.pinnacle.com/en/basketball/europe-eurocup/turk-telekom-vs-ratiopharm-ulm/1616426414/,1.476,2.67,-4.0,1.833,4.0,1.97,165.5,1.892,165.5,1.909,2025-09-29 23:23:45
Reyer Venezia,Aris Thessaloniki BC,https://www.pinnacle.com/en/basketball/europe-eurocup/reyer-venezia-vs-aris-thessaloniki-bc/1616437714/,1.322,3.48,-7.5,1.909,7.5,1.925,165.5,1.9,165.5,1.934,2025-09-30 17:44:58
Reyer Venezia,Aris Thessaloniki BC,https://www.pinnacle.com/en/basketball/europe-eurocup/reyer-venezia-vs-aris-thessaloniki-bc/1616437714/,1.322,3.48,-7.5,1.909,7.5,1.925,165.5,1.9,165.5,1.934,2025-09-30 17:59:09
Aquila Trento,JL Bourg Basket,https://www.pinnacle.com/en/basketball/europe-eurocup/aquila-trento-vs-jl-bourg-basket/1616529604/,2.09,1.775,1.5,1.97,-1.5,1.862,169.0,2.0,169.0,1.84,2025-10-01 17:24:19
Aquila Trento,JL Bourg Basket,https://www.pinnacle.com/en/basketball/europe-eurocup/aquila-trento-vs-jl-bourg-basket/1616529604/,2.09,1.775,1.5,1.97,-1.5,1.862,169.0,2.0,169.0,1.84,2025-10-01 17:32:40
Aquila Trento,JL Bourg Basket,https://www.pinnacle.com/en/basketball/europe-eurocup/aquila-trento-vs-jl-bourg-basket/1616529604/,2.09,1.775,1.5,1.97,-1.5,1.862,169.0,2.0,169.0,1.84,2025-10-01 17:45:06
Aquila Trento,JL Bourg Basket,https://www.pinnacle.com/en/basketball/europe-eurocup/aquila-trento-vs-jl-bourg-basket/1616529604/,2.09,1.775,1.5,1.97,-1.5,1.862,169.0,2.0,169.0,1.84,2025-10-01 17:57:55
London Lions,KK Buducnost Voli,https://www.pinnacle.com/en/basketball/europe-eurocup/london-lions-vs-kk-buducnost-voli/1616579595/,2.72,1.478,5.5,1.892,-5.5,1.943,162.5,1.909,162.5,1.925,2025-10-02 15:00:57
London Lions,KK Buducnost Voli,https://www.pinnacle.com/en/basketball/europe-eurocup/london-lions-vs-kk-buducnost-voli/1616579595/,2.72,1.478,5.5,1.892,-5.5,1.943,162.5,1.909,162.5,1.925,2025-10-02 15:11:46
London Lions,KK Buducnost Voli,https://www.pinnacle.com/en/basketball/europe-eurocup/london-lions-vs-kk-buducnost-voli/1616579595/,2.72,1.478,5.5,1.892,-5.5,1.943,162.5,1.909,162.5,1.925,2025-10-02 15:30:20
London Lions,KK Buducnost Voli,https://www.pinnacle.com/en/basketball/europe-eurocup/london-lions-vs-kk-buducnost-voli/1616579595/,2.72,1.478,5.5,1.892,-5.5,1.943,162.5,1.925,162.5,1.909,2025-10-02 15:42:22
London Lions,KK Buducnost Voli,https://www.pinnacle.com/en/basketball/europe-eurocup/london-lions-vs-kk-buducnost-voli/1616579595/,2.72,1.478,5.5,1.892,-5.5,1.943,162.5,1.925,162.5,1.909,2025-10-02 15:59:46
London Lions,KK Buducnost Voli,https://www.pinnacle.com/en/basketball/europe-eurocup/london-lions-vs-kk-buducnost-voli/1616579595/,2.72,1.478,5.5,1.884,-5.5,1.952,161.0,1.9,161.0,1.934,2025-10-02 16:57:41
London Lions,KK Buducnost Voli,https://www.pinnacle.com/en/basketball/europe-eurocup/london-lions-vs-kk-buducnost-voli/1616579595/,2.72,1.478,5.5,1.884,-5.5,1.952,161.0,1.9,161.0,1.934,2025-10-02 17:21:35
London Lions,KK Buducnost Voli,https://www.pinnacle.com/en/basketball/europe-eurocup/london-lions-vs-kk-buducnost-voli/1616579595/,2.72,1.478,5.5,1.884,-5.5,1.952,161.0,1.9,161.0,1.934,2025-10-02 17:28:24
London Lions,KK Buducnost Voli,https://www.pinnacle.com/en/basketball/europe-eurocup/london-lions-vs-kk-buducnost-voli/1616579595/,2.72,1.478,5.5,1.884,-5.5,1.952,161.0,1.9,161.0,1.934,2025-10-02 17:41:35
London Lions,KK Buducnost Voli,https://www.pinnacle.com/en/basketball/europe-eurocup/london-lions-vs-kk-buducnost-voli/1616579595/,2.72,1.478,5.5,1.884,-5.5,1.952,161.0,1.9,161.0,1.934,2025-10-02 17:56:29
London Lions,KK Buducnost Voli,https://www.pinnacle.com/en/basketball/europe-eurocup/london-lions-vs-kk-buducnost-voli/1616579595/,2.72,1.478,5.5,1.884,-5.5,1.952,161.0,1.9,161.0,1.934,2025-10-02 18:04:19
BC Neptunas Klaipeda,Universitatea Cluj Napoca,https://www.pinnacle.com/en/basketball/europe-eurocup/bc-neptunas-klaipeda-vs-universitatea-cluj-napoca/1616984219/,1.751,2.08,-2.5,1.961,2.5,1.84,176.5,1.9,176.5,1.9,2025-10-06 23:58:29
Ratiopharm Ulm,Panionios BC,https://www.pinnacle.com/en/basketball/europe-eurocup/ratiopharm-ulm-vs-panionios-bc/1616982413/,1.256,3.89,-8.5,1.877,8.5,1.925,167.0,1.869,167.0,1.934,2025-10-07 00:10:10
Besiktas JK,London Lions,https://www.pinnacle.com/en/basketball/europe-eurocup/besiktas-jk-vs-london-lions/1616984365/,1.095,7.42,-14.5,1.9,14.5,1.9,162.0,1.909,162.0,1.892,2025-10-07 00:10:10
BC Neptunas Klaipeda,Universitatea Cluj Napoca,https://www.pinnacle.com/en/basketball/europe-eurocup/bc-neptunas-klaipeda-vs-universitatea-cluj-napoca/1616984219/,1.751,2.08,-2.5,1.961,2.5,1.84,176.5,1.9,176.5,1.9,2025-10-07 00:10:10
BC Neptunas Klaipeda,Universitatea Cluj Napoca,https://www.pinnacle.com/en/basketball/europe-eurocup/bc-neptunas-klaipeda-vs-universitatea-cluj-napoca/1616984219/,1.751,2.08,-2.5,1.961,2.5,1.84,176.5,1.9,176.5,1.9,2025-10-07 01:53:44
Ratiopharm Ulm,Panionios BC,https://www.pinnacle.com/en/basketball/europe-eurocup/ratiopharm-ulm-vs-panionios-bc/1616982413/,1.256,3.89,-8.5,1.877,8.5,1.925,167.0,1.869,167.0,1.934,2025-10-07 01:53:44
Besiktas JK,London Lions,https://www.pinnacle.com/en/basketball/europe-eurocup/besiktas-jk-vs-london-lions/1616984365/,1.095,7.42,-14.5,1.9,14.5,1.9,162.0,1.909,162.0,1.892,2025-10-07 01:53:44
BC Neptunas Klaipeda,Universitatea Cluj Napoca,https://www.pinnacle.com/en/basketball/europe-eurocup/bc-neptunas-klaipeda-vs-universitatea-cluj-napoca/1616984219/,1.751,2.08,-2.5,1.961,2.5,1.84,176.5,1.9,176.5,1.9,2025-10-07 04:00:32
Besiktas JK,London Lions,https://www.pinnacle.com/en/basketball/europe-eurocup/besiktas-jk-vs-london-lions/1616984365/,1.095,7.42,-14.5,1.9,14.5,1.9,162.0,1.909,162.0,1.892,2025-10-07 04:00:32
Ratiopharm Ulm,Panionios BC,https://www.pinnacle.com/en/basketball/europe-eurocup/ratiopharm-ulm-vs-panionios-bc/1616982413/,1.256,3.89,-8.5,1.877,8.5,1.925,167.0,1.869,167.0,1.934,2025-10-07 04:00:32
Besiktas JK,London Lions,https://www.pinnacle.com/en/basketball/europe-eurocup/besiktas-jk-vs-london-lions/1616984365/,1.095,7.42,-14.5,1.9,14.5,1.9,162.0,1.909,162.0,1.892,2025-10-07 04:09:04
Ratiopharm Ulm,Panionios BC,https://www.pinnacle.com/en/basketball/europe-eurocup/ratiopharm-ulm-vs-panionios-bc/1616982413/,1.256,3.89,-8.5,1.877,8.5,1.925,167.0,1.869,167.0,1.934,2025-10-07 04:09:04
BC Neptunas Klaipeda,Universitatea Cluj Napoca,https://www.pinnacle.com/en/basketball/europe-eurocup/bc-neptunas-klaipeda-vs-universitatea-cluj-napoca/1616984219/,1.751,2.08,-2.5,1.961,2.5,1.84,176.5,1.9,176.5,1.9,2025-10-07 04:09:04
BC Neptunas Klaipeda,Universitatea Cluj Napoca,https://www.pinnacle.com/en/basketball/europe-eurocup/bc-neptunas-klaipeda-vs-universitatea-cluj-napoca/1616984219/,1.763,2.06,-2.5,1.98,2.5,1.826,176.5,1.9,176.5,1.9,2025-10-07 04:34:31
Ratiopharm Ulm,Panionios BC,https://www.pinnacle.com/en/basketball/europe-eurocup/ratiopharm-ulm-vs-panionios-bc/1616982413/,1.256,3.89,-8.5,1.877,8.5,1.925,167.0,1.869,167.0,1.934,2025-10-07 04:34:31
Besiktas JK,London Lions,https://www.pinnacle.com/en/basketball/europe-eurocup/besiktas-jk-vs-london-lions/1616984365/,1.095,7.42,-14.5,1.9,14.5,1.9,162.0,1.909,162.0,1.892,2025-10-07 04:34:31
BC Neptunas Klaipeda,Universitatea Cluj Napoca,https://www.pinnacle.com/en/basketball/europe-eurocup/bc-neptunas-klaipeda-vs-universitatea-cluj-napoca/1616984219/,1.763,2.06,-2.5,1.98,2.5,1.826,176.5,1.9,176.5,1.9,2025-10-07 04:48:46
