team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Brandys nad Labem,KSC Szekszard,https://www.pinnacle.com/en/basketball/europe-eurocup-women/brandys-nad-labem-vs-ksc-szekszard/1615543357/,7.53,1.044,15.0,1.943,-15.0,1.8,144.5,1.8,144.5,1.943,2025-09-18 01:53:27
Student Nis,CS Universitatea Cluj,https://www.pinnacle.com/en/basketball/europe-eurocup-women/student-nis-vs-cs-universitatea-cluj/1615543358/,1.057,6.83,-14.0,1.854,14.0,1.884,141.0,1.862,141.0,1.877,2025-09-18 01:53:27
Panathinaikos BC,Dinamo Sassari,https://www.pinnacle.com/en/basketball/europe-eurocup-women/panathinaikos-bc-vs-dinamo-sassari/1615434463/,4.5,1.146,11.5,1.862,-11.5,1.877,137.5,1.9,137.5,1.84,2025-09-18 01:53:27
Pas Giannina,Lointek Gernika Bizkaia,https://www.pinnacle.com/en/basketball/europe-eurocup-women/pas-giannina-vs-lointek-gernika-bizkaia/1615435346/,,,23.5,1.9,-23.5,1.84,138.0,1.819,138.0,1.925,2025-09-18 01:53:27
Portes Du Soleil Bbc Troistorrents,SBS Ostrava,https://www.pinnacle.com/en/basketball/europe-eurocup-women/portes-du-soleil-bbc-troistorrents-vs-sbs-ostrava/1615550840/,4.54,1.144,10.5,1.819,-10.5,1.925,142.5,1.854,142.5,1.884,2025-09-18 01:53:27
Portes Du Soleil Bbc Troistorrents,SBS Ostrava,https://www.pinnacle.com/en/basketball/europe-eurocup-women/portes-du-soleil-bbc-troistorrents-vs-sbs-ostrava/1615550840/,4.54,1.144,10.5,1.819,-10.5,1.925,142.5,1.854,142.5,1.884,2025-09-18 03:06:48
Panathinaikos BC,Dinamo Sassari,https://www.pinnacle.com/en/basketball/europe-eurocup-women/panathinaikos-bc-vs-dinamo-sassari/1615434463/,4.36,1.157,11.5,1.806,-11.5,1.943,137.5,1.9,137.5,1.833,2025-09-18 03:06:48
Pas Giannina,Lointek Gernika Bizkaia,https://www.pinnacle.com/en/basketball/europe-eurocup-women/pas-giannina-vs-lointek-gernika-bizkaia/1615435346/,,,23.5,1.9,-23.5,1.84,138.0,1.819,138.0,1.925,2025-09-18 03:06:48
Brandys nad Labem,KSC Szekszard,https://www.pinnacle.com/en/basketball/europe-eurocup-women/brandys-nad-labem-vs-ksc-szekszard/1615543357/,7.53,1.044,15.0,1.943,-15.0,1.8,144.5,1.8,144.5,1.943,2025-09-18 03:06:48
Student Nis,CS Universitatea Cluj,https://www.pinnacle.com/en/basketball/europe-eurocup-women/student-nis-vs-cs-universitatea-cluj/1615543358/,1.057,6.83,-14.0,1.854,14.0,1.884,141.0,1.862,141.0,1.877,2025-09-18 03:06:48
Brandys nad Labem,KSC Szekszard,https://www.pinnacle.com/en/basketball/europe-eurocup-women/brandys-nad-labem-vs-ksc-szekszard/1615543357/,7.53,1.044,15.0,1.943,-15.0,1.8,144.5,1.8,144.5,1.943,2025-09-18 03:15:58
Student Nis,CS Universitatea Cluj,https://www.pinnacle.com/en/basketball/europe-eurocup-women/student-nis-vs-cs-universitatea-cluj/1615543358/,1.057,6.83,-14.0,1.854,14.0,1.884,141.0,1.862,141.0,1.877,2025-09-18 03:15:58
Panathinaikos BC,Dinamo Sassari,https://www.pinnacle.com/en/basketball/europe-eurocup-women/panathinaikos-bc-vs-dinamo-sassari/1615434463/,4.36,1.157,11.5,1.806,-11.5,1.943,137.5,1.9,137.5,1.833,2025-09-18 03:15:58
Pas Giannina,Lointek Gernika Bizkaia,https://www.pinnacle.com/en/basketball/europe-eurocup-women/pas-giannina-vs-lointek-gernika-bizkaia/1615435346/,,,23.5,1.9,-23.5,1.84,138.0,1.819,138.0,1.925,2025-09-18 03:15:58
Portes Du Soleil Bbc Troistorrents,SBS Ostrava,https://www.pinnacle.com/en/basketball/europe-eurocup-women/portes-du-soleil-bbc-troistorrents-vs-sbs-ostrava/1615550840/,4.54,1.144,10.5,1.819,-10.5,1.925,142.5,1.854,142.5,1.884,2025-09-18 03:15:58
Portes Du Soleil Bbc Troistorrents,SBS Ostrava,https://www.pinnacle.com/en/basketball/europe-eurocup-women/portes-du-soleil-bbc-troistorrents-vs-sbs-ostrava/1615550840/,4.54,1.144,10.5,1.819,-10.5,1.925,142.5,1.854,142.5,1.884,2025-09-18 03:48:29
Panathinaikos BC,Dinamo Sassari,https://www.pinnacle.com/en/basketball/europe-eurocup-women/panathinaikos-bc-vs-dinamo-sassari/1615434463/,4.36,1.157,11.5,1.806,-11.5,1.943,137.5,1.9,137.5,1.833,2025-09-18 03:48:29
Pas Giannina,Lointek Gernika Bizkaia,https://www.pinnacle.com/en/basketball/europe-eurocup-women/pas-giannina-vs-lointek-gernika-bizkaia/1615435346/,,,23.5,1.9,-23.5,1.84,138.0,1.819,138.0,1.925,2025-09-18 03:48:29
Brandys nad Labem,KSC Szekszard,https://www.pinnacle.com/en/basketball/europe-eurocup-women/brandys-nad-labem-vs-ksc-szekszard/1615543357/,7.53,1.044,15.0,1.943,-15.0,1.8,144.5,1.8,144.5,1.943,2025-09-18 03:48:29
Student Nis,CS Universitatea Cluj,https://www.pinnacle.com/en/basketball/europe-eurocup-women/student-nis-vs-cs-universitatea-cluj/1615543358/,1.065,6.45,-13.5,1.892,13.5,1.84,141.0,1.884,141.0,1.854,2025-09-18 03:48:29
Student Nis,CS Universitatea Cluj,https://www.pinnacle.com/en/basketball/europe-eurocup-women/student-nis-vs-cs-universitatea-cluj/1615543358/,1.065,6.45,-13.5,1.892,13.5,1.84,141.0,1.884,141.0,1.854,2025-09-18 04:00:38
Brandys nad Labem,KSC Szekszard,https://www.pinnacle.com/en/basketball/europe-eurocup-women/brandys-nad-labem-vs-ksc-szekszard/1615543357/,7.53,1.044,15.0,1.943,-15.0,1.8,144.5,1.8,144.5,1.943,2025-09-18 04:00:38
Panathinaikos BC,Dinamo Sassari,https://www.pinnacle.com/en/basketball/europe-eurocup-women/panathinaikos-bc-vs-dinamo-sassari/1615434463/,4.36,1.157,11.5,1.806,-11.5,1.943,137.5,1.9,137.5,1.833,2025-09-18 04:00:38
Pas Giannina,Lointek Gernika Bizkaia,https://www.pinnacle.com/en/basketball/europe-eurocup-women/pas-giannina-vs-lointek-gernika-bizkaia/1615435346/,,,23.5,1.9,-23.5,1.84,138.0,1.819,138.0,1.925,2025-09-18 04:00:38
Portes Du Soleil Bbc Troistorrents,SBS Ostrava,https://www.pinnacle.com/en/basketball/europe-eurocup-women/portes-du-soleil-bbc-troistorrents-vs-sbs-ostrava/1615550840/,4.54,1.144,10.5,1.819,-10.5,1.925,142.5,1.854,142.5,1.884,2025-09-18 04:00:38
Panathinaikos BC,Dinamo Sassari,https://www.pinnacle.com/en/basketball/europe-eurocup-women/panathinaikos-bc-vs-dinamo-sassari/1615434463/,4.36,1.157,11.5,1.806,-11.5,1.943,137.5,1.9,137.5,1.833,2025-09-18 04:06:02
Portes Du Soleil Bbc Troistorrents,SBS Ostrava,https://www.pinnacle.com/en/basketball/europe-eurocup-women/portes-du-soleil-bbc-troistorrents-vs-sbs-ostrava/1615550840/,4.54,1.144,10.5,1.819,-10.5,1.925,142.5,1.854,142.5,1.884,2025-09-18 04:06:02
Pas Giannina,Lointek Gernika Bizkaia,https://www.pinnacle.com/en/basketball/europe-eurocup-women/pas-giannina-vs-lointek-gernika-bizkaia/1615435346/,,,23.5,1.9,-23.5,1.84,138.0,1.819,138.0,1.925,2025-09-18 04:06:02
Brandys nad Labem,KSC Szekszard,https://www.pinnacle.com/en/basketball/europe-eurocup-women/brandys-nad-labem-vs-ksc-szekszard/1615543357/,7.53,1.044,15.0,1.943,-15.0,1.8,144.5,1.8,144.5,1.943,2025-09-18 04:06:02
Student Nis,CS Universitatea Cluj,https://www.pinnacle.com/en/basketball/europe-eurocup-women/student-nis-vs-cs-universitatea-cluj/1615543358/,1.065,6.45,-13.5,1.892,13.5,1.84,141.0,1.884,141.0,1.854,2025-09-18 04:06:02
Brandys nad Labem,KSC Szekszard,https://www.pinnacle.com/en/basketball/europe-eurocup-women/brandys-nad-labem-vs-ksc-szekszard/1615543357/,7.53,1.044,15.0,1.943,-15.0,1.8,144.5,1.8,144.5,1.943,2025-09-18 04:37:21
Student Nis,CS Universitatea Cluj,https://www.pinnacle.com/en/basketball/europe-eurocup-women/student-nis-vs-cs-universitatea-cluj/1615543358/,1.065,6.45,-13.5,1.892,13.5,1.84,141.0,1.884,141.0,1.854,2025-09-18 04:37:21
Panathinaikos BC,Dinamo Sassari,https://www.pinnacle.com/en/basketball/europe-eurocup-women/panathinaikos-bc-vs-dinamo-sassari/1615434463/,4.07,1.181,9.5,1.925,-9.5,1.819,137.5,1.917,137.5,1.826,2025-09-18 04:37:21
Pas Giannina,Lointek Gernika Bizkaia,https://www.pinnacle.com/en/basketball/europe-eurocup-women/pas-giannina-vs-lointek-gernika-bizkaia/1615435346/,,,23.5,1.9,-23.5,1.84,138.0,1.819,138.0,1.925,2025-09-18 04:37:21
Portes Du Soleil Bbc Troistorrents,SBS Ostrava,https://www.pinnacle.com/en/basketball/europe-eurocup-women/portes-du-soleil-bbc-troistorrents-vs-sbs-ostrava/1615550840/,4.54,1.144,10.5,1.819,-10.5,1.925,142.5,1.854,142.5,1.884,2025-09-18 04:37:21
Portes Du Soleil Bbc Troistorrents,SBS Ostrava,https://www.pinnacle.com/en/basketball/europe-eurocup-women/portes-du-soleil-bbc-troistorrents-vs-sbs-ostrava/1615550840/,4.54,1.144,10.5,1.819,-10.5,1.925,142.5,1.854,142.5,1.884,2025-09-18 04:50:01
Pas Giannina,Lointek Gernika Bizkaia,https://www.pinnacle.com/en/basketball/europe-eurocup-women/pas-giannina-vs-lointek-gernika-bizkaia/1615435346/,,,23.5,1.9,-23.5,1.84,138.0,1.819,138.0,1.925,2025-09-18 04:50:01
Student Nis,CS Universitatea Cluj,https://www.pinnacle.com/en/basketball/europe-eurocup-women/student-nis-vs-cs-universitatea-cluj/1615543358/,1.065,6.45,-13.5,1.892,13.5,1.84,141.0,1.884,141.0,1.854,2025-09-18 04:50:01
