Market,Selection,Odds,matchup,timestamp
Money Line – Game,Crvena Zvezda,1.564,Crvena Zvezda vs Reyer Venezia Mestre,2025-09-17 03:04:36
Total – Game,Under 142.5,1.862,ACS Sepsi Sic vs Galatasaray,2025-09-17 03:04:36
Total – Game,Over 142.5,1.877,ACS Sepsi Sic vs Galatasaray,2025-09-17 03:04:36
Handicap – Game,Galatasaray -16.5,1.854,ACS Sepsi Sic vs Galatasaray,2025-09-17 03:04:36
Money Line – Game,Galatasaray,1.041,ACS Sepsi Sic vs Galatasaray,2025-09-17 03:04:36
Money Line – Game,ACS Sepsi Sic,7.73,ACS Sepsi Sic vs Galatasaray,2025-09-17 03:04:36
Handicap – Game,ACS Sepsi Sic +16.5,1.884,ACS Sepsi Sic vs Galatasaray,2025-09-17 03:04:36
Total – Game,Over 143,1.934,Crvena Zvezda vs Reyer Venezia Mestre,2025-09-17 03:04:36
Handicap – Game,Reyer Venezia Mestre +3.0,1.793,Crvena Zvezda vs Reyer Venezia Mestre,2025-09-17 03:04:36
Handicap – Game,Crvena Zvezda -3.0,1.952,Crvena Zvezda vs Reyer Venezia Mestre,2025-09-17 03:04:36
Money Line – Game,Reyer Venezia Mestre,2.31,Crvena Zvezda vs Reyer Venezia Mestre,2025-09-17 03:04:36
Total – Game,Under 143,1.806,Crvena Zvezda vs Reyer Venezia Mestre,2025-09-17 03:04:36
Money Line – Game,Galatasaray,1.041,ACS Sepsi Sic vs Galatasaray,2025-09-17 03:12:11
Total – Game,Under 142.5,1.862,ACS Sepsi Sic vs Galatasaray,2025-09-17 03:12:11
Total – Game,Over 142.5,1.877,ACS Sepsi Sic vs Galatasaray,2025-09-17 03:12:11
Handicap – Game,Galatasaray -16.5,1.854,ACS Sepsi Sic vs Galatasaray,2025-09-17 03:12:11
Handicap – Game,ACS Sepsi Sic +16.5,1.884,ACS Sepsi Sic vs Galatasaray,2025-09-17 03:12:11
Money Line – Game,ACS Sepsi Sic,7.73,ACS Sepsi Sic vs Galatasaray,2025-09-17 03:12:11
Handicap – Game,Crvena Zvezda -3.0,1.952,Crvena Zvezda vs Reyer Venezia Mestre,2025-09-17 03:12:11
Total – Game,Over 143,1.934,Crvena Zvezda vs Reyer Venezia Mestre,2025-09-17 03:12:11
Handicap – Game,Reyer Venezia Mestre +3.0,1.793,Crvena Zvezda vs Reyer Venezia Mestre,2025-09-17 03:12:11
Money Line – Game,Reyer Venezia Mestre,2.31,Crvena Zvezda vs Reyer Venezia Mestre,2025-09-17 03:12:11
Money Line – Game,Crvena Zvezda,1.564,Crvena Zvezda vs Reyer Venezia Mestre,2025-09-17 03:12:11
Total – Game,Under 143,1.806,Crvena Zvezda vs Reyer Venezia Mestre,2025-09-17 03:12:11
Money Line – Game,Galatasaray,1.041,ACS Sepsi Sic vs Galatasaray,2025-09-17 03:58:58
Total – Game,Under 142.5,1.862,ACS Sepsi Sic vs Galatasaray,2025-09-17 03:58:58
Total – Game,Over 142.5,1.877,ACS Sepsi Sic vs Galatasaray,2025-09-17 03:58:58
