Market,Selection,Odds,matchup,timestamp
Money Line – Game,Zenit St Petersburg,1.909,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Total – Game,Under 170.5,2.25,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Total – Game,Over 171,1.628,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Total – Game,Under 171,2.19,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Total – Game,Over 171.5,1.662,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Total – Game,Under 171.5,2.13,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Total – Game,Over 172,1.704,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Total – Game,Under 172,2.07,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Total – Game,Over 172.5,1.746,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Total – Game,Under 172.5,2.01,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Total – Game,Over 170.5,1.595,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Total – Game,Under 173,1.943,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Total – Game,Under 173.5,1.892,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Total – Game,Over 174,1.9,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Total – Game,Under 174,1.84,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Total – Game,Over 174.5,1.952,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Total – Game,Under 174.5,1.793,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Total – Game,Over 175,2.0,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Total – Game,Under 175,1.751,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Total – Game,Over 175.5,2.06,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Total – Game,Under 175.5,1.714,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Total – Game,Over 173.5,1.847,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Handicap – Game,BC Dubai +3.5,1.529,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Total – Game,Over 173,1.8,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Handicap – Game,BC Dubai +3.0,1.571,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Handicap – Game,Zenit St Petersburg -3.5,2.34,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Money Line – Game,BC Dubai,1.833,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Handicap – Game,Zenit St Petersburg +3.0,1.636,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Handicap – Game,BC Dubai -3.0,2.14,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Handicap – Game,Zenit St Petersburg +2.5,1.684,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Handicap – Game,BC Dubai -2.5,2.06,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Handicap – Game,Zenit St Petersburg +2.0,1.735,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Handicap – Game,Zenit St Petersburg +1.5,1.793,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Handicap – Game,BC Dubai -1.5,1.934,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Handicap – Game,Zenit St Petersburg +1.0,1.847,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Handicap – Game,BC Dubai -2.0,2.0,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Handicap – Game,BC Dubai +2.5,1.621,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Handicap – Game,Zenit St Petersburg -1.0,1.961,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Handicap – Game,BC Dubai +1.0,1.787,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Handicap – Game,Zenit St Petersburg -1.5,2.01,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Handicap – Game,BC Dubai +1.5,1.735,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Handicap – Game,Zenit St Petersburg -2.0,2.09,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Handicap – Game,BC Dubai +2.0,1.675,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Handicap – Game,Zenit St Petersburg -2.5,2.17,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Handicap – Game,BC Dubai -1.0,1.884,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Handicap – Game,Zenit St Petersburg -3.0,2.26,Zenit St Petersburg vs BC Dubai,2025-09-24 16:39:44
Total – Game,Over 169,1.787,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Total – Game,Under 168.5,1.934,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Total – Game,Over 168.5,1.735,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Total – Game,Under 168,1.99,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Total – Game,Under 167,2.1,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Total – Game,Under 167.5,2.05,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Total – Game,Over 167.5,1.657,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Total – Game,Under 169,1.884,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Total – Game,Over 168,1.694,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Total – Game,Over 169.5,1.84,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Total – Game,Under 172,1.613,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Total – Game,Over 170,1.892,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Total – Game,Under 170,1.775,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Total – Game,Over 170.5,1.943,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Total – Game,Under 170.5,1.729,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Total – Game,Over 171,2.0,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Total – Game,Under 171,1.689,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Total – Game,Over 171.5,2.06,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Total – Game,Under 171.5,1.649,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Total – Game,Over 172,2.11,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Total – Game,Over 167,1.621,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Total – Game,Under 169.5,1.826,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Handicap – Game,CSKA Moscow +1.5,1.558,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Handicap – Game,CSKA Moscow -3.0,1.909,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Handicap – Game,CSKA Moscow +1.0,1.588,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Handicap – Game,Zenit St Petersburg -1.5,2.18,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Money Line – Game,Zenit St Petersburg,2.08,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Money Line – Game,CSKA Moscow,1.632,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Handicap – Game,Zenit St Petersburg +5.0,1.534,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Handicap – Game,CSKA Moscow -5.0,2.22,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
Handicap – Game,Zenit St Petersburg +4.5,1.578,Zenit St Petersburg vs CSKA Moscow,2025-09-25 04:39:27
