Market,Selection,Odds,matchup,timestamp
Handicap – Game,Samara +39.5,1.775,Samara vs CSKA Moscow,2025-09-29 17:03:58
Handicap – Game,CSKA Moscow -39.5,1.892,Samara vs CSKA Moscow,2025-09-29 17:03:58
Total – Game,Over 165.5,1.869,Samara vs CSKA Moscow,2025-09-29 17:03:58
Total – Game,Under 165.5,1.869,Samara vs CSKA Moscow,2025-09-29 17:03:58
Handicap – Game,Samara +39.5,1.769,Samara vs CSKA Moscow,2025-09-29 17:25:28
Handicap – Game,CSKA Moscow -39.5,1.9,Samara vs CSKA Moscow,2025-09-29 17:25:28
Total – Game,Over 165.5,1.869,Samara vs CSKA Moscow,2025-09-29 17:25:28
Total – Game,Under 165.5,1.869,Samara vs CSKA Moscow,2025-09-29 17:25:28
Total – Game,Under 165.5,1.869,Samara vs CSKA Moscow,2025-09-29 17:31:32
Total – Game,Over 165.5,1.869,Samara vs CSKA Moscow,2025-09-29 17:31:32
Handicap – Game,Samara +39.5,1.769,Samara vs CSKA Moscow,2025-09-29 17:31:32
Handicap – Game,CSKA Moscow -39.5,1.9,Samara vs CSKA Moscow,2025-09-29 17:31:32
Handicap – Game,Samara +39.5,1.769,Samara vs CSKA Moscow,2025-09-29 19:43:12
Handicap – Game,CSKA Moscow -39.5,1.9,Samara vs CSKA Moscow,2025-09-29 19:43:12
Total – Game,Over 165.5,1.869,Samara vs CSKA Moscow,2025-09-29 19:43:12
Total – Game,Under 165.5,1.869,Samara vs CSKA Moscow,2025-09-29 19:43:12
Total – Game,Under 165.5,1.869,Samara vs CSKA Moscow,2025-09-29 20:02:09
Total – Game,Over 165.5,1.869,Samara vs CSKA Moscow,2025-09-29 20:02:09
Handicap – Game,Samara +39.5,1.769,Samara vs CSKA Moscow,2025-09-29 20:02:09
Handicap – Game,CSKA Moscow -39.5,1.9,Samara vs CSKA Moscow,2025-09-29 20:02:09
Handicap – Game,Samara +39.5,1.769,Samara vs CSKA Moscow,2025-09-29 22:22:45
Handicap – Game,CSKA Moscow -39.5,1.9,Samara vs CSKA Moscow,2025-09-29 22:22:45
Total – Game,Over 165.5,1.869,Samara vs CSKA Moscow,2025-09-29 22:22:45
Total – Game,Under 165.5,1.869,Samara vs CSKA Moscow,2025-09-29 22:22:45
Handicap – Game,Samara +39.5,1.769,Samara vs CSKA Moscow,2025-09-29 22:56:40
Handicap – Game,CSKA Moscow -39.5,1.9,Samara vs CSKA Moscow,2025-09-29 22:56:40
Total – Game,Over 165.5,1.869,Samara vs CSKA Moscow,2025-09-29 22:56:40
Total – Game,Under 165.5,1.869,Samara vs CSKA Moscow,2025-09-29 22:56:40
Handicap – Game,Samara +39.5,1.769,Samara vs CSKA Moscow,2025-09-29 23:01:39
Handicap – Game,CSKA Moscow -39.5,1.9,Samara vs CSKA Moscow,2025-09-29 23:01:39
Total – Game,Over 165.5,1.869,Samara vs CSKA Moscow,2025-09-29 23:01:39
Total – Game,Under 165.5,1.869,Samara vs CSKA Moscow,2025-09-29 23:01:39
Total – Game,Under 165.5,1.869,Samara vs CSKA Moscow,2025-09-29 23:23:49
Total – Game,Over 165.5,1.869,Samara vs CSKA Moscow,2025-09-29 23:23:49
Handicap – Game,Samara +39.5,1.46,Samara vs CSKA Moscow,2025-09-29 23:23:49
