team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Samara,CSKA Moscow,https://www.pinnacle.com/en/basketball/europe-vtb-united-league/samara-vs-cska-moscow/1616253771/,,,39.5,1.775,-39.5,1.892,165.5,1.869,165.5,1.869,2025-09-29 17:03:58
Samara,CSKA Moscow,https://www.pinnacle.com/en/basketball/europe-vtb-united-league/samara-vs-cska-moscow/1616253771/,,,39.5,1.769,-39.5,1.9,165.5,1.869,165.5,1.869,2025-09-29 17:25:28
Samara,CSKA Moscow,https://www.pinnacle.com/en/basketball/europe-vtb-united-league/samara-vs-cska-moscow/1616253771/,,,39.5,1.769,-39.5,1.9,165.5,1.869,165.5,1.869,2025-09-29 17:31:32
Samara,CSKA Moscow,https://www.pinnacle.com/en/basketball/europe-vtb-united-league/samara-vs-cska-moscow/1616253771/,,,39.5,1.769,-39.5,1.9,165.5,1.869,165.5,1.869,2025-09-29 19:43:12
Samara,CSKA Moscow,https://www.pinnacle.com/en/basketball/europe-vtb-united-league/samara-vs-cska-moscow/1616253771/,,,39.5,1.769,-39.5,1.9,165.5,1.869,165.5,1.869,2025-09-29 20:02:09
Samara,CSKA Moscow,https://www.pinnacle.com/en/basketball/europe-vtb-united-league/samara-vs-cska-moscow/1616253771/,,,39.5,1.769,-39.5,1.9,165.5,1.869,165.5,1.869,2025-09-29 21:03:23
Samara,CSKA Moscow,https://www.pinnacle.com/en/basketball/europe-vtb-united-league/samara-vs-cska-moscow/1616253771/,,,39.5,1.769,-39.5,1.9,165.5,1.869,165.5,1.869,2025-09-29 22:22:45
Samara,CSKA Moscow,https://www.pinnacle.com/en/basketball/europe-vtb-united-league/samara-vs-cska-moscow/1616253771/,,,39.5,1.769,-39.5,1.9,165.5,1.869,165.5,1.869,2025-09-29 22:56:40
Samara,CSKA Moscow,https://www.pinnacle.com/en/basketball/europe-vtb-united-league/samara-vs-cska-moscow/1616253771/,,,39.5,1.769,-39.5,1.9,165.5,1.869,165.5,1.869,2025-09-29 23:01:39
Samara,CSKA Moscow,https://www.pinnacle.com/en/basketball/europe-vtb-united-league/samara-vs-cska-moscow/1616253771/,,,39.5,1.46,-39.5,2.42,165.5,1.869,165.5,1.869,2025-09-29 23:23:49
