Market,Selection,Odds,matchup,timestamp
Handicap – Game,MKK Panevezys +49.0,1.561,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Handicap – Game,TTT Riga -49.0,2.17,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Handicap – Game,MKK Panevezys +48.5,1.606,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Handicap – Game,TTT Riga -48.5,2.09,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Handicap – Game,MKK Panevezys +48.0,1.657,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Handicap – Game,TTT Riga -48.0,2.02,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Handicap – Game,MKK Panevezys +47.5,1.719,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Handicap – Game,TTT Riga -47.5,1.943,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Handicap – Game,MKK Panevezys +47.0,1.787,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Handicap – Game,TTT Riga -47.0,1.869,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Handicap – Game,MKK Panevezys +46.5,1.869,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Handicap – Game,TTT Riga -46.5,1.793,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Handicap – Game,MKK Panevezys +46.0,1.952,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Handicap – Game,TTT Riga -46.0,1.719,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Handicap – Game,MKK Panevezys +45.5,2.04,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Handicap – Game,TTT Riga -45.5,1.653,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Handicap – Game,MKK Panevezys +45.0,2.11,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Handicap – Game,TTT Riga -45.0,1.595,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Handicap – Game,MKK Panevezys +44.5,2.2,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Handicap – Game,TTT Riga -44.5,1.549,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Handicap – Game,MKK Panevezys +44.0,2.28,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Handicap – Game,TTT Riga -44.0,1.507,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Total – Game,Over 152,1.606,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Total – Game,Under 152,2.12,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Total – Game,Over 152.5,1.641,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Total – Game,Under 152.5,2.07,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Total – Game,Over 153,1.68,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Total – Game,Under 153,2.02,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Total – Game,Over 153.5,1.719,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Total – Game,Under 153.5,1.961,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Total – Game,Over 154,1.763,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Total – Game,Under 154,1.909,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Total – Game,Over 154.5,1.819,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Total – Game,Under 154.5,1.847,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Total – Game,Over 155,1.869,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Total – Game,Under 155,1.793,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Total – Game,Over 155.5,1.925,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Total – Game,Under 155.5,1.746,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Total – Game,Over 156,1.98,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Total – Game,Under 156,1.704,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
Total – Game,Over 156.5,2.03,MKK Panevezys vs TTT Riga,2026-02-16 01:51:20
