team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
MKK Panevezys,TTT Riga,https://www.pinnacle.com/en/basketball/europe-wbbl-women/mkk-panevezys-vs-ttt-riga/1624098178/,,,46.5,1.869,-46.5,1.793,154.5,1.819,154.5,1.847,2026-02-16 01:31:39
MKK Panevezys,TTT Riga,https://www.pinnacle.com/en/basketball/europe-wbbl-women/mkk-panevezys-vs-ttt-riga/1624098178/,,,46.5,1.869,-46.5,1.793,154.5,1.819,154.5,1.847,2026-02-16 01:51:20
MKK Panevezys,TTT Riga,https://www.pinnacle.com/en/basketball/europe-wbbl-women/mkk-panevezys-vs-ttt-riga/1624098178/,,,46.5,1.869,-46.5,1.793,154.5,1.819,154.5,1.847,2026-02-16 04:23:15
MKK Panevezys,TTT Riga,https://www.pinnacle.com/en/basketball/europe-wbbl-women/mkk-panevezys-vs-ttt-riga/1624098178/,,,46.5,1.869,-46.5,1.793,154.5,1.819,154.5,1.847,2026-02-16 06:01:27
MKK Panevezys,TTT Riga,https://www.pinnacle.com/en/basketball/europe-wbbl-women/mkk-panevezys-vs-ttt-riga/1624098178/,,,45.5,1.769,-45.5,1.9,154.5,1.884,154.5,1.787,2026-02-16 07:00:16
MKK Panevezys,TTT Riga,https://www.pinnacle.com/en/basketball/europe-wbbl-women/mkk-panevezys-vs-ttt-riga/1624098178/,,,45.5,1.769,-45.5,1.9,154.5,1.884,154.5,1.787,2026-02-16 07:59:23
MKK Panevezys,TTT Riga,https://www.pinnacle.com/en/basketball/europe-wbbl-women/mkk-panevezys-vs-ttt-riga/1624098178/,,,45.5,1.806,-45.5,1.934,154.5,1.925,154.5,1.819,2026-02-16 09:32:13
MKK Panevezys,TTT Riga,https://www.pinnacle.com/en/basketball/europe-wbbl-women/mkk-panevezys-vs-ttt-riga/1624098178/,,,45.5,1.806,-45.5,1.934,154.5,1.925,154.5,1.819,2026-02-16 10:29:23
MKK Panevezys,TTT Riga,https://www.pinnacle.com/en/basketball/europe-wbbl-women/mkk-panevezys-vs-ttt-riga/1624098178/,,,45.5,1.806,-45.5,1.934,154.5,1.925,154.5,1.819,2026-02-16 11:59:35
MKK Panevezys,TTT Riga,https://www.pinnacle.com/en/basketball/europe-wbbl-women/mkk-panevezys-vs-ttt-riga/1624098178/,N/A,N/A,+45.5,1.819,-45.5,1.925,154.5,1.917,154.5,1.819,2026-02-16 13:01:35
