Market,Selection,Odds,matchup,timestamp
Money Line – Game,JCA,1.084,JCA vs Elan Koton,2025-10-18 18:58:37
Money Line – Game,Elan Koton,5.79,JCA vs Elan Koton,2025-10-18 18:58:37
Handicap – Game,JCA -15.0,1.877,JCA vs Elan Koton,2025-10-18 18:58:37
Handicap – Game,Elan Koton +15.0,1.862,JCA vs Elan Koton,2025-10-18 18:58:37
Total – Game,Over 142.5,1.833,JCA vs Elan Koton,2025-10-18 18:58:37
Total – Game,Under 142.5,1.909,JCA vs Elan Koton,2025-10-18 18:58:37
Total – Game,Under 148.5,1.869,JCA vs Spintex Knights,2025-11-15 20:29:54
Handicap – Game,Spintex Knights +8.5,1.869,JCA vs Spintex Knights,2025-11-15 20:29:54
Total – Game,Over 148.5,1.869,JCA vs Spintex Knights,2025-11-15 20:29:54
Money Line – Game,Spintex Knights,3.89,JCA vs Spintex Knights,2025-11-15 20:29:54
Money Line – Game,JCA,1.198,JCA vs Spintex Knights,2025-11-15 20:29:54
Handicap – Game,JCA -8.5,1.869,JCA vs Spintex Knights,2025-11-15 20:29:54
Money Line – Game,JCA,1.198,JCA vs Spintex Knights,2025-11-15 20:46:20
Money Line – Game,Spintex Knights,3.89,JCA vs Spintex Knights,2025-11-15 20:46:20
Handicap – Game,JCA -8.5,1.869,JCA vs Spintex Knights,2025-11-15 20:46:20
Handicap – Game,Spintex Knights +8.5,1.869,JCA vs Spintex Knights,2025-11-15 20:46:20
Total – Game,Over 148.5,1.869,JCA vs Spintex Knights,2025-11-15 20:46:20
Total – Game,Under 148.5,1.869,JCA vs Spintex Knights,2025-11-15 20:46:20
Total – Game,Over 148.5,1.869,JCA vs Spintex Knights,2025-11-15 20:58:00
Total – Game,Under 148.5,1.869,JCA vs Spintex Knights,2025-11-15 20:58:00
Handicap – Game,Spintex Knights +8.5,1.869,JCA vs Spintex Knights,2025-11-15 20:58:00
Handicap – Game,JCA -8.5,1.869,JCA vs Spintex Knights,2025-11-15 20:58:00
Money Line – Game,Spintex Knights,3.89,JCA vs Spintex Knights,2025-11-15 20:58:00
Money Line – Game,JCA,1.198,JCA vs Spintex Knights,2025-11-15 20:58:00
Money Line – Game,JCA,1.198,JCA vs Spintex Knights,2025-11-15 21:06:08
