team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
JCA,Elan Koton,https://www.pinnacle.com/en/basketball/fiba-basketball-africa-league/jca-vs-elan-koton/1617781304/,1.084,5.79,-15.0,1.877,15.0,1.862,142.5,1.833,142.5,1.909,2025-10-18 18:58:37
JCA,Spintex Knights,https://www.pinnacle.com/en/basketball/fiba-basketball-africa-league/jca-vs-spintex-knights/1619586934/,1.198,3.89,-8.5,1.869,8.5,1.869,148.5,1.869,148.5,1.869,2025-11-15 20:29:54
JCA,Spintex Knights,https://www.pinnacle.com/en/basketball/fiba-basketball-africa-league/jca-vs-spintex-knights/1619586934/,1.198,3.89,-8.5,1.869,8.5,1.869,148.5,1.869,148.5,1.869,2025-11-15 20:46:20
JCA,Spintex Knights,https://www.pinnacle.com/en/basketball/fiba-basketball-africa-league/jca-vs-spintex-knights/1619586934/,1.198,3.89,-8.5,1.869,8.5,1.869,148.5,1.869,148.5,1.869,2025-11-15 20:58:00
JCA,Spintex Knights,https://www.pinnacle.com/en/basketball/fiba-basketball-africa-league/jca-vs-spintex-knights/1619586934/,1.198,3.89,-8.5,1.869,8.5,1.869,148.5,1.869,148.5,1.869,2025-11-15 21:06:08
JCA,Spintex Knights,https://www.pinnacle.com/en/basketball/fiba-basketball-africa-league/jca-vs-spintex-knights/1619586934/,1.198,3.89,-8.5,1.869,8.5,1.869,148.5,1.869,148.5,1.869,2025-11-15 21:25:46
Spintex Knights,CRBT,https://www.pinnacle.com/en/basketball/fiba-basketball-africa-league/spintex-knights-vs-crbt/1619689357/,2.58,1.45,4.5,1.869,-4.5,1.869,149.5,1.869,149.5,1.869,2025-11-16 18:37:31
JCA,Al Ahly Benghazi,https://www.pinnacle.com/en/basketball/fiba-basketball-africa-league/jca-vs-al-ahly-benghazi/1619689358/,3.48,1.249,7.5,1.869,-7.5,1.869,164.5,1.869,164.5,1.869,2025-11-16 18:37:31
Spintex Knights,CRBT,https://www.pinnacle.com/en/basketball/fiba-basketball-africa-league/spintex-knights-vs-crbt/1619689357/,2.58,1.45,4.5,1.869,-4.5,1.869,149.5,1.869,149.5,1.869,2025-11-16 19:00:01
JCA,Al Ahly Benghazi,https://www.pinnacle.com/en/basketball/fiba-basketball-africa-league/jca-vs-al-ahly-benghazi/1619689358/,3.48,1.249,7.5,1.869,-7.5,1.869,164.5,1.869,164.5,1.869,2025-11-16 19:00:01
JCA,Al Ahly Benghazi,https://www.pinnacle.com/en/basketball/fiba-basketball-africa-league/jca-vs-al-ahly-benghazi/1619689358/,3.48,1.249,7.5,1.869,-7.5,1.869,164.5,1.869,164.5,1.869,2025-11-16 19:08:56
JCA,Al Ahly Benghazi,https://www.pinnacle.com/en/basketball/fiba-basketball-africa-league/jca-vs-al-ahly-benghazi/1619689358/,3.48,1.249,7.5,1.869,-7.5,1.869,164.5,1.869,164.5,1.869,2025-11-16 19:44:01
JCA,Al Ahly Benghazi,https://www.pinnacle.com/en/basketball/fiba-basketball-africa-league/jca-vs-al-ahly-benghazi/1619689358/,3.48,1.249,7.5,1.869,-7.5,1.869,164.5,1.869,164.5,1.869,2025-11-16 19:57:36
JCA,Al Ahly Benghazi,https://www.pinnacle.com/en/basketball/fiba-basketball-africa-league/jca-vs-al-ahly-benghazi/1619689358/,3.48,1.249,7.5,1.869,-7.5,1.869,164.5,1.869,164.5,1.869,2025-11-16 20:46:40
JCA,Al Ahly Benghazi,https://www.pinnacle.com/en/basketball/fiba-basketball-africa-league/jca-vs-al-ahly-benghazi/1619689358/,3.48,1.249,7.5,1.869,-7.5,1.869,164.5,1.869,164.5,1.869,2025-11-16 20:59:47
JCA,Al Ahly Benghazi,https://www.pinnacle.com/en/basketball/fiba-basketball-africa-league/jca-vs-al-ahly-benghazi/1619689358/,4.62,1.139,10.5,1.952,-10.5,1.793,164.5,1.847,164.5,1.892,2025-11-16 21:25:39
JCA,FUS Rabat,https://www.pinnacle.com/en/basketball/fiba-basketball-africa-league/jca-vs-fus-rabat/1629152766/,3.39,1.262,7.5,1.819,-7.5,1.917,157.5,1.862,157.5,1.877,2026-04-24 17:40:12
Club Africain,JCA,https://www.pinnacle.com/en/basketball/fiba-basketball-africa-league/club-africain-vs-jca/1629517762/,1.037,8.06,-16.5,1.909,16.5,1.833,148.5,1.943,148.5,1.806,2026-04-28 17:22:59
FUS Rabat,Ville de Dakar,https://www.pinnacle.com/en/basketball/fiba-basketball-africa-league/fus-rabat-vs-ville-de-dakar/1629472889/,2.250,1.591,+3.0,1.892,-3.0,1.847,157.5,1.884,157.5,1.854,2026-04-29 17:03:36
