Market,Selection,Odds,matchup,timestamp
Money Line – Game,CD Universidad De Concepcion,3.56,CD Universidad De Concepcion vs IA Central Cordoba,2025-12-10 21:02:38
Money Line – Game,IA Central Cordoba,1.237,CD Universidad De Concepcion vs IA Central Cordoba,2025-12-10 21:02:38
Handicap – Game,CD Universidad De Concepcion +8.0,1.833,CD Universidad De Concepcion vs IA Central Cordoba,2025-12-10 21:02:38
Handicap – Game,IA Central Cordoba -8.0,1.909,CD Universidad De Concepcion vs IA Central Cordoba,2025-12-10 21:02:38
Total – Game,Over 153.5,1.819,CD Universidad De Concepcion vs IA Central Cordoba,2025-12-10 21:02:38
Total – Game,Under 153.5,1.925,CD Universidad De Concepcion vs IA Central Cordoba,2025-12-10 21:02:38
Money Line – Game,CD Universidad De Concepcion,3.56,CD Universidad De Concepcion vs IA Central Cordoba,2025-12-10 21:10:41
Money Line – Game,IA Central Cordoba,1.237,CD Universidad De Concepcion vs IA Central Cordoba,2025-12-10 21:10:41
Handicap – Game,CD Universidad De Concepcion +8.0,1.833,CD Universidad De Concepcion vs IA Central Cordoba,2025-12-10 21:10:41
Handicap – Game,IA Central Cordoba -8.0,1.909,CD Universidad De Concepcion vs IA Central Cordoba,2025-12-10 21:10:41
Total – Game,Over 153.5,1.819,CD Universidad De Concepcion vs IA Central Cordoba,2025-12-10 21:10:41
Total – Game,Under 153.5,1.925,CD Universidad De Concepcion vs IA Central Cordoba,2025-12-10 21:10:41
Money Line – Game,IA Central Cordoba,4.05,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 18:02:19
Money Line – Game,Franca Basquetbol Clube,1.183,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 18:02:19
Handicap – Game,IA Central Cordoba +9.0,1.793,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 18:02:19
Handicap – Game,Franca Basquetbol Clube -9.0,1.952,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 18:02:19
Total – Game,Over 157,1.854,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 18:02:19
Total – Game,Under 157,1.884,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 18:02:19
Money Line – Game,IA Central Cordoba,4.05,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 18:52:57
Money Line – Game,Franca Basquetbol Clube,1.183,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 18:52:57
Handicap – Game,IA Central Cordoba +9.0,1.793,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 18:52:57
Handicap – Game,Franca Basquetbol Clube -9.0,1.952,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 18:52:57
Total – Game,Over 157,1.854,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 18:52:57
Total – Game,Under 157,1.884,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 18:52:57
Money Line – Game,IA Central Cordoba,4.05,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 19:43:04
Money Line – Game,Franca Basquetbol Clube,1.183,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 19:43:04
Handicap – Game,IA Central Cordoba +9.0,1.793,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 19:43:04
Handicap – Game,Franca Basquetbol Clube -9.0,1.952,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 19:43:04
Total – Game,Over 157,1.854,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 19:43:04
Total – Game,Under 157,1.884,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 19:43:04
Money Line – Game,IA Central Cordoba,4.05,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 20:40:57
Money Line – Game,Franca Basquetbol Clube,1.183,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 20:40:57
Handicap – Game,IA Central Cordoba +9.0,1.793,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 20:40:57
Handicap – Game,Franca Basquetbol Clube -9.0,1.952,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 20:40:57
Total – Game,Over 157,1.854,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 20:40:57
Total – Game,Under 157,1.884,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 20:40:57
Money Line – Game,IA Central Cordoba,4.05,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 20:50:52
Money Line – Game,Franca Basquetbol Clube,1.183,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 20:50:52
Handicap – Game,IA Central Cordoba +9.0,1.793,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 20:50:52
Handicap – Game,Franca Basquetbol Clube -9.0,1.952,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 20:50:52
Total – Game,Over 157,1.854,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 20:50:52
Total – Game,Under 157,1.884,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 20:50:52
Money Line – Game,IA Central Cordoba,4.05,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 21:32:56
Money Line – Game,Franca Basquetbol Clube,1.183,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 21:32:56
Handicap – Game,IA Central Cordoba +9.0,1.793,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 21:32:56
Handicap – Game,Franca Basquetbol Clube -9.0,1.952,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 21:32:56
Total – Game,Over 157,1.854,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 21:32:56
Total – Game,Under 157,1.884,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 21:32:56
Money Line – Game,IA Central Cordoba,4.05,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 21:58:05
Money Line – Game,Franca Basquetbol Clube,1.183,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 21:58:05
Handicap – Game,IA Central Cordoba +9.0,1.793,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 21:58:05
Handicap – Game,Franca Basquetbol Clube -9.0,1.952,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 21:58:05
Total – Game,Over 157,1.854,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 21:58:05
Total – Game,Under 157,1.884,IA Central Cordoba vs Franca Basquetbol Clube,2025-12-11 21:58:05
Money Line – Game,CD Universidad De Concepcion,9.0,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 20:12:09
Money Line – Game,Franca Basquetbol Clube,1.027,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 20:12:09
Handicap – Game,CD Universidad De Concepcion +18.0,1.892,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 20:12:09
Handicap – Game,Franca Basquetbol Clube -18.0,1.84,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 20:12:09
Total – Game,Over 162.5,1.826,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 20:12:09
Total – Game,Under 162.5,1.917,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 20:12:09
Money Line – Game,CD Universidad De Concepcion,8.98,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 20:57:53
Money Line – Game,Franca Basquetbol Clube,1.027,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 20:57:53
Handicap – Game,CD Universidad De Concepcion +18.0,1.884,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 20:57:53
Handicap – Game,Franca Basquetbol Clube -18.0,1.847,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 20:57:53
Total – Game,Over 162.5,1.847,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 20:57:53
Total – Game,Under 162.5,1.892,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 20:57:53
Money Line – Game,CD Universidad De Concepcion,8.98,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 21:29:39
Money Line – Game,Franca Basquetbol Clube,1.027,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 21:29:39
Handicap – Game,CD Universidad De Concepcion +18.0,1.884,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 21:29:39
Handicap – Game,Franca Basquetbol Clube -18.0,1.847,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 21:29:39
Total – Game,Over 162.5,1.847,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 21:29:39
Total – Game,Under 162.5,1.892,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 21:29:39
Money Line – Game,CD Universidad De Concepcion,8.98,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 21:45:20
Money Line – Game,Franca Basquetbol Clube,1.027,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 21:45:20
Handicap – Game,CD Universidad De Concepcion +18.0,1.884,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 21:45:20
Handicap – Game,Franca Basquetbol Clube -18.0,1.847,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 21:45:20
Total – Game,Over 162.5,1.847,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 21:45:20
Total – Game,Under 162.5,1.892,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 21:45:20
Money Line – Game,CD Universidad De Concepcion,8.83,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 21:56:34
Money Line – Game,Franca Basquetbol Clube,1.029,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 21:56:34
Handicap – Game,CD Universidad De Concepcion +18.0,1.84,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 21:56:34
Handicap – Game,Franca Basquetbol Clube -18.0,1.9,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 21:56:34
Total – Game,Over 159.5,1.877,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 21:56:34
Total – Game,Under 159.5,1.862,CD Universidad De Concepcion vs Franca Basquetbol Clube,2025-12-12 21:56:34
Money Line – Game,Flamengo RJ,1.265,Flamengo RJ vs Obras Sanitarias,2025-12-15 00:00:49
Money Line – Game,Obras Sanitarias,3.37,Flamengo RJ vs Obras Sanitarias,2025-12-15 00:00:49
Handicap – Game,Flamengo RJ -7.5,1.909,Flamengo RJ vs Obras Sanitarias,2025-12-15 00:00:49
Handicap – Game,Obras Sanitarias +7.5,1.833,Flamengo RJ vs Obras Sanitarias,2025-12-15 00:00:49
Total – Game,Over 161.5,1.877,Flamengo RJ vs Obras Sanitarias,2025-12-15 00:00:49
Total – Game,Under 161.5,1.862,Flamengo RJ vs Obras Sanitarias,2025-12-15 00:00:49
Handicap – Game,Franca Basquetbol Clube -26.0,1.892,Franca Basquetbol Clube vs CD Universidad De Concepcion,2026-01-14 18:54:48
Handicap – Game,CD Universidad De Concepcion +26.0,1.847,Franca Basquetbol Clube vs CD Universidad De Concepcion,2026-01-14 18:54:48
Total – Game,Over 161.5,1.819,Franca Basquetbol Clube vs CD Universidad De Concepcion,2026-01-14 18:54:48
Total – Game,Under 161.5,1.917,Franca Basquetbol Clube vs CD Universidad De Concepcion,2026-01-14 18:54:48
Handicap – Game,Franca Basquetbol Clube -26.0,1.892,Franca Basquetbol Clube vs CD Universidad De Concepcion,2026-01-14 19:06:39
Handicap – Game,CD Universidad De Concepcion +26.0,1.847,Franca Basquetbol Clube vs CD Universidad De Concepcion,2026-01-14 19:06:39
Total – Game,Over 161.5,1.819,Franca Basquetbol Clube vs CD Universidad De Concepcion,2026-01-14 19:06:39
Total – Game,Under 161.5,1.917,Franca Basquetbol Clube vs CD Universidad De Concepcion,2026-01-14 19:06:39
Handicap – Game,Franca Basquetbol Clube -26.0,1.892,Franca Basquetbol Clube vs CD Universidad De Concepcion,2026-01-14 19:42:36
Handicap – Game,CD Universidad De Concepcion +26.0,1.847,Franca Basquetbol Clube vs CD Universidad De Concepcion,2026-01-14 19:42:36
Total – Game,Over 161.5,1.819,Franca Basquetbol Clube vs CD Universidad De Concepcion,2026-01-14 19:42:36
Total – Game,Under 161.5,1.917,Franca Basquetbol Clube vs CD Universidad De Concepcion,2026-01-14 19:42:36
Handicap – Game,Franca Basquetbol Clube -27.0,1.884,Franca Basquetbol Clube vs CD Universidad De Concepcion,2026-01-14 20:32:18
Handicap – Game,CD Universidad De Concepcion +27.0,1.854,Franca Basquetbol Clube vs CD Universidad De Concepcion,2026-01-14 20:32:18
Total – Game,Over 162.5,1.884,Franca Basquetbol Clube vs CD Universidad De Concepcion,2026-01-14 20:32:18
Total – Game,Under 162.5,1.854,Franca Basquetbol Clube vs CD Universidad De Concepcion,2026-01-14 20:32:18
Handicap – Game,Franca Basquetbol Clube -28.0,1.909,Franca Basquetbol Clube vs CD Universidad De Concepcion,2026-01-14 21:02:08
Handicap – Game,CD Universidad De Concepcion +28.0,1.833,Franca Basquetbol Clube vs CD Universidad De Concepcion,2026-01-14 21:02:08
Total – Game,Over 162.5,1.862,Franca Basquetbol Clube vs CD Universidad De Concepcion,2026-01-14 21:02:08
Total – Game,Under 162.5,1.877,Franca Basquetbol Clube vs CD Universidad De Concepcion,2026-01-14 21:02:08
