team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
CD Universidad De Concepcion,IA Central Cordoba,https://www.pinnacle.com/en/basketball/fiba-champions-league-americas/cd-universidad-de-concepcion-vs-ia-central-cordoba/1620732993/,3.56,1.238,8.0,1.826,-8.0,1.909,153.5,1.862,153.5,1.877,2025-12-10 19:03:40
CD Universidad De Concepcion,IA Central Cordoba,https://www.pinnacle.com/en/basketball/fiba-champions-league-americas/cd-universidad-de-concepcion-vs-ia-central-cordoba/1620732993/,3.56,1.238,8.0,1.826,-8.0,1.909,153.5,1.862,153.5,1.877,2025-12-10 19:15:40
CD Universidad De Concepcion,IA Central Cordoba,https://www.pinnacle.com/en/basketball/fiba-champions-league-americas/cd-universidad-de-concepcion-vs-ia-central-cordoba/1620732993/,3.56,1.238,8.0,1.826,-8.0,1.909,153.5,1.862,153.5,1.877,2025-12-10 19:31:21
CD Universidad De Concepcion,IA Central Cordoba,https://www.pinnacle.com/en/basketball/fiba-champions-league-americas/cd-universidad-de-concepcion-vs-ia-central-cordoba/1620732993/,3.56,1.238,8.0,1.826,-8.0,1.909,153.5,1.862,153.5,1.877,2025-12-10 19:47:17
CD Universidad De Concepcion,IA Central Cordoba,https://www.pinnacle.com/en/basketball/fiba-champions-league-americas/cd-universidad-de-concepcion-vs-ia-central-cordoba/1620732993/,3.56,1.238,8.0,1.826,-8.0,1.909,153.5,1.862,153.5,1.877,2025-12-10 20:00:28
CD Universidad De Concepcion,IA Central Cordoba,https://www.pinnacle.com/en/basketball/fiba-champions-league-americas/cd-universidad-de-concepcion-vs-ia-central-cordoba/1620732993/,3.56,1.237,8.0,1.833,-8.0,1.909,153.5,1.819,153.5,1.925,2025-12-10 21:10:41
CD Universidad De Concepcion,IA Central Cordoba,https://www.pinnacle.com/en/basketball/fiba-champions-league-americas/cd-universidad-de-concepcion-vs-ia-central-cordoba/1620732993/,3.56,1.237,8.0,1.833,-8.0,1.909,153.5,1.819,153.5,1.925,2025-12-10 21:40:53
CD Universidad De Concepcion,IA Central Cordoba,https://www.pinnacle.com/en/basketball/fiba-champions-league-americas/cd-universidad-de-concepcion-vs-ia-central-cordoba/1620732993/,3.69,1.221,8.0,1.909,-8.0,1.826,153.5,1.813,153.5,1.934,2025-12-10 21:57:51
IA Central Cordoba,Franca Basquetbol Clube,https://www.pinnacle.com/en/basketball/fiba-champions-league-americas/ia-central-cordoba-vs-franca-basquetbol-clube/1620779450/,4.05,1.183,9.0,1.793,-9.0,1.952,157.0,1.854,157.0,1.884,2025-12-11 17:20:07
IA Central Cordoba,Franca Basquetbol Clube,https://www.pinnacle.com/en/basketball/fiba-champions-league-americas/ia-central-cordoba-vs-franca-basquetbol-clube/1620779450/,4.05,1.183,9.0,1.793,-9.0,1.952,157.0,1.854,157.0,1.884,2025-12-11 18:02:19
