team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
North Macedonia,Azerbaijan,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/north-macedonia-vs-azerbaijan/1620250875/,1.066,6.43,-21.0,1.847,21.0,1.892,155.5,1.806,155.5,1.934,2025-11-27 17:29:41
Luxembourg,Ireland,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/luxembourg-vs-ireland/1620237153/,2.75,1.398,5.5,1.854,-5.5,1.884,157.5,1.877,157.5,1.862,2025-11-27 17:29:41
North Macedonia,Azerbaijan,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/north-macedonia-vs-azerbaijan/1620250875/,,,-23.0,1.84,23.0,1.826,156.5,1.862,156.5,1.806,2025-11-27 17:46:14
Luxembourg,Ireland,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/luxembourg-vs-ireland/1620237153/,2.75,1.398,5.5,1.854,-5.5,1.884,157.5,1.877,157.5,1.862,2025-11-27 17:46:14
North Macedonia,Azerbaijan,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/north-macedonia-vs-azerbaijan/1620250875/,,,-23.0,1.84,23.0,1.826,156.5,1.862,156.5,1.806,2025-11-27 17:58:51
Luxembourg,Ireland,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/luxembourg-vs-ireland/1620237153/,2.75,1.398,5.5,1.854,-5.5,1.884,157.5,1.877,157.5,1.862,2025-11-27 17:58:51
Norway,Bulgaria,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/norway-vs-bulgaria/1624579758/,2.09,1.684,2.5,1.854,-2.5,1.884,156.5,1.952,156.5,1.793,2026-02-27 18:03:57
Ireland,Azerbaijan,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/ireland-vs-azerbaijan/1624596321/,1.049,7.27,-15.5,1.847,15.5,1.892,158.5,1.869,158.5,1.869,2026-02-27 18:03:57
Azerbaijan,North Macedonia,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/azerbaijan-vs-north-macedonia/1624760848/,5.0,1.117,12.0,1.847,-12.0,1.892,151.5,1.84,151.5,1.9,2026-03-02 04:11:13
Armenia,Bulgaria,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/armenia-vs-bulgaria/1624760853/,3.48,1.249,8.0,1.833,-8.0,1.909,163.5,1.884,163.5,1.847,2026-03-02 04:11:13
Albania,Slovakia,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/albania-vs-slovakia/1624770309/,6.41,1.066,13.0,1.909,-13.0,1.833,154.5,1.819,154.5,1.917,2026-03-02 04:11:13
Ireland,Luxembourg,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/ireland-vs-luxembourg/1624770393/,1.952,1.787,2.0,1.819,-2.0,1.925,161.5,1.884,161.5,1.854,2026-03-02 04:11:13
Azerbaijan,North Macedonia,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/azerbaijan-vs-north-macedonia/1624760848/,5.0,1.117,12.0,1.847,-12.0,1.892,151.5,1.84,151.5,1.9,2026-03-02 06:13:25
Armenia,Bulgaria,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/armenia-vs-bulgaria/1624760853/,3.48,1.249,8.0,1.833,-8.0,1.909,163.5,1.884,163.5,1.847,2026-03-02 06:13:25
Albania,Slovakia,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/albania-vs-slovakia/1624770309/,6.41,1.066,13.0,1.909,-13.0,1.833,154.5,1.819,154.5,1.917,2026-03-02 06:13:25
Ireland,Luxembourg,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/ireland-vs-luxembourg/1624770393/,1.952,1.787,2.0,1.819,-2.0,1.925,161.5,1.884,161.5,1.854,2026-03-02 06:13:25
Azerbaijan,North Macedonia,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/azerbaijan-vs-north-macedonia/1624760848/,5.0,1.117,12.0,1.847,-12.0,1.892,151.5,1.84,151.5,1.9,2026-03-02 07:18:58
Armenia,Bulgaria,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/armenia-vs-bulgaria/1624760853/,3.48,1.249,8.0,1.833,-8.0,1.909,163.5,1.884,163.5,1.847,2026-03-02 07:18:58
Albania,Slovakia,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/albania-vs-slovakia/1624770309/,6.41,1.066,13.0,1.909,-13.0,1.833,154.5,1.819,154.5,1.917,2026-03-02 07:18:58
Ireland,Luxembourg,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/ireland-vs-luxembourg/1624770393/,1.952,1.787,2.0,1.819,-2.0,1.925,161.5,1.884,161.5,1.854,2026-03-02 07:18:58
Azerbaijan,North Macedonia,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/azerbaijan-vs-north-macedonia/1624760848/,5.0,1.117,12.0,1.847,-12.0,1.892,151.5,1.84,151.5,1.9,2026-03-02 08:04:09
Armenia,Bulgaria,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/armenia-vs-bulgaria/1624760853/,3.48,1.249,8.0,1.833,-8.0,1.909,163.5,1.884,163.5,1.847,2026-03-02 08:04:09
Albania,Slovakia,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/albania-vs-slovakia/1624770309/,6.42,1.066,13.0,1.909,-13.0,1.833,154.5,1.854,154.5,1.884,2026-03-02 08:04:09
Ireland,Luxembourg,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/ireland-vs-luxembourg/1624770393/,1.952,1.787,2.0,1.819,-2.0,1.925,161.5,1.884,161.5,1.854,2026-03-02 08:04:09
Azerbaijan,North Macedonia,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/azerbaijan-vs-north-macedonia/1624760848/,5.0,1.117,12.0,1.847,-12.0,1.892,151.5,1.84,151.5,1.9,2026-03-02 09:04:41
Armenia,Bulgaria,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/armenia-vs-bulgaria/1624760853/,3.48,1.249,8.0,1.833,-8.0,1.909,163.5,1.884,163.5,1.847,2026-03-02 09:04:41
Albania,Slovakia,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/albania-vs-slovakia/1624770309/,6.42,1.066,13.0,1.909,-13.0,1.833,154.5,1.854,154.5,1.884,2026-03-02 09:04:41
Ireland,Luxembourg,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/ireland-vs-luxembourg/1624770393/,1.952,1.787,2.0,1.819,-2.0,1.925,161.5,1.884,161.5,1.854,2026-03-02 09:04:41
Azerbaijan,North Macedonia,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/azerbaijan-vs-north-macedonia/1624760848/,5.0,1.117,12.0,1.847,-12.0,1.892,151.5,1.84,151.5,1.9,2026-03-02 11:04:59
Armenia,Bulgaria,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/armenia-vs-bulgaria/1624760853/,3.99,1.189,9.5,1.884,-9.5,1.854,163.5,1.826,163.5,1.917,2026-03-02 11:04:59
Albania,Slovakia,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/albania-vs-slovakia/1624770309/,6.42,1.066,13.0,1.909,-13.0,1.833,154.5,1.854,154.5,1.884,2026-03-02 11:04:59
Ireland,Luxembourg,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/ireland-vs-luxembourg/1624770393/,2.05,1.714,2.0,1.9,-2.0,1.833,161.5,1.877,161.5,1.862,2026-03-02 11:04:59
Azerbaijan,North Macedonia,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/azerbaijan-vs-north-macedonia/1624760848/,6.25,1.07,13.0,1.847,-13.0,1.892,151.5,1.826,151.5,1.917,2026-03-02 11:48:06
Armenia,Bulgaria,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/armenia-vs-bulgaria/1624760853/,3.99,1.189,9.5,1.884,-9.5,1.854,163.5,1.826,163.5,1.917,2026-03-02 11:48:06
Albania,Slovakia,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/albania-vs-slovakia/1624770309/,6.5,1.064,13.0,1.943,-13.0,1.8,154.5,1.847,154.5,1.892,2026-03-02 11:48:06
Ireland,Luxembourg,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/ireland-vs-luxembourg/1624770393/,2.01,1.74,2.0,1.869,-2.0,1.869,161.5,1.877,161.5,1.862,2026-03-02 11:48:06
Azerbaijan,North Macedonia,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/azerbaijan-vs-north-macedonia/1624760848/,6.25,1.07,13.0,1.847,-13.0,1.892,151.5,1.826,151.5,1.917,2026-03-02 12:04:59
Armenia,Bulgaria,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/armenia-vs-bulgaria/1624760853/,3.99,1.189,9.5,1.884,-9.5,1.854,163.5,1.826,163.5,1.917,2026-03-02 12:04:59
Albania,Slovakia,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/albania-vs-slovakia/1624770309/,7.43,1.046,15.5,1.9,-15.5,1.84,154.5,1.813,154.5,1.934,2026-03-02 12:04:59
Ireland,Luxembourg,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/ireland-vs-luxembourg/1624770393/,2.01,1.74,2.0,1.869,-2.0,1.869,161.5,1.877,161.5,1.862,2026-03-02 12:04:59
Azerbaijan,North Macedonia,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/azerbaijan-vs-north-macedonia/1624760848/,6.79,1.058,14.0,1.892,-14.0,1.847,153.5,1.862,153.5,1.877,2026-03-02 13:38:00
Armenia,Bulgaria,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/armenia-vs-bulgaria/1624760853/,5.11,1.111,11.5,1.869,-11.5,1.869,165.0,1.854,165.0,1.884,2026-03-02 13:38:00
Albania,Slovakia,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/albania-vs-slovakia/1624770309/,8.08,1.037,16.5,1.854,-16.5,1.884,156.5,1.877,156.5,1.862,2026-03-02 13:38:00
Ireland,Luxembourg,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/ireland-vs-luxembourg/1624770393/,2.01,1.74,2.0,1.869,-2.0,1.869,161.5,1.877,161.5,1.862,2026-03-02 13:38:00
Azerbaijan,North Macedonia,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/azerbaijan-vs-north-macedonia/1624760848/,6.79,1.058,14.0,1.892,-14.0,1.847,153.5,1.862,153.5,1.877,2026-03-02 14:31:10
Armenia,Bulgaria,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/armenia-vs-bulgaria/1624760853/,5.15,1.11,11.5,1.884,-11.5,1.854,165.0,1.854,165.0,1.884,2026-03-02 14:31:10
Albania,Slovakia,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/albania-vs-slovakia/1624770309/,7.64,1.043,15.5,1.847,-15.5,1.892,156.5,1.909,156.5,1.833,2026-03-02 14:31:10
Ireland,Luxembourg,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/ireland-vs-luxembourg/1624770393/,2.24,1.598,3.0,1.862,-3.0,1.877,161.5,1.877,161.5,1.862,2026-03-02 14:31:10
Azerbaijan,North Macedonia,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/azerbaijan-vs-north-macedonia/1624760848/,6.79,1.058,14.0,1.892,-14.0,1.847,153.5,1.877,153.5,1.862,2026-03-02 15:09:38
Armenia,Bulgaria,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/armenia-vs-bulgaria/1624760853/,5.15,1.11,11.5,1.884,-11.5,1.854,165.0,1.854,165.0,1.884,2026-03-02 15:09:38
Albania,Slovakia,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/albania-vs-slovakia/1624770309/,7.64,1.043,15.5,1.847,-15.5,1.892,156.5,1.909,156.5,1.833,2026-03-02 15:09:38
Ireland,Luxembourg,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/ireland-vs-luxembourg/1624770393/,2.24,1.598,3.0,1.862,-3.0,1.877,161.5,1.877,161.5,1.862,2026-03-02 15:09:38
Ireland,Luxembourg,https://www.pinnacle.com/en/basketball/fiba-eurobasket-qualification/ireland-vs-luxembourg/1624770393/,2.100,1.684,+2.5,1.862,-2.5,1.877,161.5,1.877,161.5,1.862,2026-03-02 18:08:17
