Market,Selection,Odds,matchup,timestamp
Money Line – Game,Jorge Guzman,8.01,Jorge Guzman vs Bauru Basket SP,2025-10-03 19:07:44
Money Line – Game,Bauru Basket SP,1.066,Jorge Guzman vs Bauru Basket SP,2025-10-03 19:07:44
Handicap – Game,Jorge Guzman +14.5,1.909,Jorge Guzman vs Bauru Basket SP,2025-10-03 19:07:44
Handicap – Game,Bauru Basket SP -14.5,1.909,Jorge Guzman vs Bauru Basket SP,2025-10-03 19:07:44
Total – Game,Over 156.5,1.917,Jorge Guzman vs Bauru Basket SP,2025-10-03 19:07:44
Total – Game,Under 156.5,1.9,Jorge Guzman vs Bauru Basket SP,2025-10-03 19:07:44
Money Line – Game,Jorge Guzman,8.01,Jorge Guzman vs Bauru Basket SP,2025-10-03 20:57:38
Money Line – Game,Bauru Basket SP,1.066,Jorge Guzman vs Bauru Basket SP,2025-10-03 20:57:38
Handicap – Game,Jorge Guzman +14.5,1.909,Jorge Guzman vs Bauru Basket SP,2025-10-03 20:57:38
Handicap – Game,Bauru Basket SP -14.5,1.909,Jorge Guzman vs Bauru Basket SP,2025-10-03 20:57:38
Total – Game,Over 156.5,1.917,Jorge Guzman vs Bauru Basket SP,2025-10-03 20:57:38
Total – Game,Under 156.5,1.9,Jorge Guzman vs Bauru Basket SP,2025-10-03 20:57:38
Total – Game,Under 156.5,1.9,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:04:17
Total – Game,Over 156.5,1.917,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:04:17
Handicap – Game,Bauru Basket SP -14.5,1.909,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:04:17
Money Line – Game,Bauru Basket SP,1.066,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:04:17
Money Line – Game,Jorge Guzman,8.01,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:04:17
Handicap – Game,Jorge Guzman +14.5,1.909,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:04:17
Total – Game,Under 156.5,1.9,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:22:55
Money Line – Game,Jorge Guzman,7.95,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:22:55
Money Line – Game,Bauru Basket SP,1.067,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:22:55
Handicap – Game,Jorge Guzman +14.5,1.892,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:22:55
Handicap – Game,Bauru Basket SP -14.5,1.925,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:22:55
Total – Game,Over 156.5,1.917,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:22:55
Money Line – Game,Jorge Guzman,7.95,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:28:44
Money Line – Game,Bauru Basket SP,1.067,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:28:44
Handicap – Game,Jorge Guzman +14.5,1.892,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:28:44
Handicap – Game,Bauru Basket SP -14.5,1.925,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:28:44
Total – Game,Over 156.5,1.917,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:28:44
Total – Game,Under 156.5,1.9,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:28:44
Total – Game,Under 155.5,1.892,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:42:26
Total – Game,Over 155.5,1.925,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:42:26
Handicap – Game,Bauru Basket SP -14.5,1.943,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:42:26
Handicap – Game,Jorge Guzman +14.5,1.877,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:42:26
Money Line – Game,Bauru Basket SP,1.068,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:42:26
Money Line – Game,Jorge Guzman,7.91,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:42:26
Total – Game,Over 155.5,1.925,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:49:34
Handicap – Game,Bauru Basket SP -14.5,1.943,Jorge Guzman vs Bauru Basket SP,2025-10-03 21:49:34
