Market,Selection,Odds,matchup,timestamp
Money Line – Game,Rwanda,3.82,Rwanda vs Guinea,2025-11-27 17:29:51
Money Line – Game,Guinea,1.207,Rwanda vs Guinea,2025-11-27 17:29:51
Handicap – Game,Rwanda +8.5,1.8,Rwanda vs Guinea,2025-11-27 17:29:51
Handicap – Game,Guinea -8.5,1.943,Rwanda vs Guinea,2025-11-27 17:29:51
Total – Game,Over 142.5,1.909,Rwanda vs Guinea,2025-11-27 17:29:51
Total – Game,Under 142.5,1.833,Rwanda vs Guinea,2025-11-27 17:29:51
Money Line – Game,Rwanda,3.82,Rwanda vs Guinea,2025-11-27 17:46:24
Money Line – Game,Guinea,1.207,Rwanda vs Guinea,2025-11-27 17:46:24
Handicap – Game,Rwanda +8.5,1.8,Rwanda vs Guinea,2025-11-27 17:46:24
Handicap – Game,Guinea -8.5,1.943,Rwanda vs Guinea,2025-11-27 17:46:24
Total – Game,Over 142.5,1.909,Rwanda vs Guinea,2025-11-27 17:46:24
Total – Game,Under 142.5,1.833,Rwanda vs Guinea,2025-11-27 17:46:24
Money Line – Game,Rwanda,3.82,Rwanda vs Guinea,2025-11-27 17:58:59
Money Line – Game,Guinea,1.207,Rwanda vs Guinea,2025-11-27 17:58:59
Handicap – Game,Rwanda +8.5,1.8,Rwanda vs Guinea,2025-11-27 17:58:59
Handicap – Game,Guinea -8.5,1.943,Rwanda vs Guinea,2025-11-27 17:58:59
Total – Game,Over 142.5,1.909,Rwanda vs Guinea,2025-11-27 17:58:59
Total – Game,Under 142.5,1.833,Rwanda vs Guinea,2025-11-27 17:58:59
Money Line – Game,Rwanda,3.79,Rwanda vs Guinea,2025-11-27 18:39:14
Money Line – Game,Guinea,1.209,Rwanda vs Guinea,2025-11-27 18:39:14
Handicap – Game,Rwanda +8.0,1.854,Rwanda vs Guinea,2025-11-27 18:39:14
Handicap – Game,Guinea -8.0,1.884,Rwanda vs Guinea,2025-11-27 18:39:14
Total – Game,Over 142.5,1.909,Rwanda vs Guinea,2025-11-27 18:39:14
Total – Game,Under 142.5,1.833,Rwanda vs Guinea,2025-11-27 18:39:14
