team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Cuba,Argentina,https://www.pinnacle.com/en/basketball/fiba-world-cup-americas-qualification/cuba-vs-argentina/1619902604/,7.48,1.021,18.0,1.819,-18.0,1.847,153.0,1.84,153.0,1.826,2025-11-27 17:29:56
Chile,Brazil,https://www.pinnacle.com/en/basketball/fiba-world-cup-americas-qualification/chile-vs-brazil/1619895900/,7.2,1.025,17.0,1.833,-17.0,1.833,152.5,1.884,152.5,1.781,2025-11-27 17:29:56
Chile,Brazil,https://www.pinnacle.com/en/basketball/fiba-world-cup-americas-qualification/chile-vs-brazil/1619895900/,7.18,1.025,17.0,1.819,-17.0,1.847,151.5,1.847,151.5,1.819,2025-11-27 17:46:29
Cuba,Argentina,https://www.pinnacle.com/en/basketball/fiba-world-cup-americas-qualification/cuba-vs-argentina/1619902604/,7.48,1.021,18.0,1.819,-18.0,1.847,153.0,1.84,153.0,1.826,2025-11-27 17:46:29
Cuba,Argentina,https://www.pinnacle.com/en/basketball/fiba-world-cup-americas-qualification/cuba-vs-argentina/1619902604/,7.48,1.021,18.0,1.819,-18.0,1.847,153.0,1.84,153.0,1.826,2025-11-27 17:59:03
Chile,Brazil,https://www.pinnacle.com/en/basketball/fiba-world-cup-americas-qualification/chile-vs-brazil/1619895900/,7.15,1.026,17.0,1.806,-17.0,1.862,150.5,1.847,150.5,1.819,2025-11-27 17:59:03
Cuba,Argentina,https://www.pinnacle.com/en/basketball/fiba-world-cup-americas-qualification/cuba-vs-argentina/1619902604/,9.0,1.027,18.5,1.877,-18.5,1.862,153.0,1.826,153.0,1.917,2025-11-27 18:39:18
Chile,Brazil,https://www.pinnacle.com/en/basketball/fiba-world-cup-americas-qualification/chile-vs-brazil/1619895900/,8.26,1.035,17.0,1.84,-17.0,1.9,150.5,1.884,150.5,1.854,2025-11-27 18:39:18
Cuba,Argentina,https://www.pinnacle.com/en/basketball/fiba-world-cup-americas-qualification/cuba-vs-argentina/1619902604/,9.28,1.025,19.0,1.909,-19.0,1.833,153.0,1.813,153.0,1.934,2025-11-27 19:07:50
Chile,Brazil,https://www.pinnacle.com/en/basketball/fiba-world-cup-americas-qualification/chile-vs-brazil/1619895900/,8.28,1.034,17.0,1.847,-17.0,1.892,150.5,1.826,150.5,1.917,2025-11-27 19:07:50
