Market,Selection,Odds,matchup,timestamp
Money Line – Game,Lebanon,1.111,Lebanon vs Qatar,2025-11-30 18:41:12
Money Line – Game,Qatar,5.12,Lebanon vs Qatar,2025-11-30 18:41:12
Handicap – Game,Lebanon -11.5,1.854,Lebanon vs Qatar,2025-11-30 18:41:12
Handicap – Game,Qatar +11.5,1.877,Lebanon vs Qatar,2025-11-30 18:41:12
Total – Game,Over 162.5,1.909,Lebanon vs Qatar,2025-11-30 18:41:12
Total – Game,Under 162.5,1.826,Lebanon vs Qatar,2025-11-30 18:41:12
Money Line – Game,New Zealand,2.11,New Zealand vs Australia,2025-11-30 22:34:39
Money Line – Game,Australia,1.671,New Zealand vs Australia,2025-11-30 22:34:39
Handicap – Game,New Zealand +2.0,1.934,New Zealand vs Australia,2025-11-30 22:34:39
Handicap – Game,Australia -2.0,1.813,New Zealand vs Australia,2025-11-30 22:34:39
Total – Game,Over 170,1.854,New Zealand vs Australia,2025-11-30 22:34:39
Total – Game,Under 170,1.884,New Zealand vs Australia,2025-11-30 22:34:39
Money Line – Game,New Zealand,2.11,New Zealand vs Australia,2025-11-30 22:53:22
Money Line – Game,Australia,1.671,New Zealand vs Australia,2025-11-30 22:53:22
Handicap – Game,New Zealand +2.0,1.934,New Zealand vs Australia,2025-11-30 22:53:22
Handicap – Game,Australia -2.0,1.813,New Zealand vs Australia,2025-11-30 22:53:22
Total – Game,Over 170,1.854,New Zealand vs Australia,2025-11-30 22:53:22
Total – Game,Under 170,1.884,New Zealand vs Australia,2025-11-30 22:53:22
Money Line – Game,Republic of Korea,2.78,Republic of Korea vs China,2025-11-30 23:36:29
Money Line – Game,China,1.389,Republic of Korea vs China,2025-11-30 23:36:29
Handicap – Game,Republic of Korea +6.0,1.917,Republic of Korea vs China,2025-11-30 23:36:29
Handicap – Game,China -6.0,1.819,Republic of Korea vs China,2025-11-30 23:36:29
Total – Game,Over 161.5,1.854,Republic of Korea vs China,2025-11-30 23:36:29
Total – Game,Under 161.5,1.884,Republic of Korea vs China,2025-11-30 23:36:29
Handicap – Game,Philippines -34.5,1.862,Philippines vs Guam,2025-11-30 23:36:29
Handicap – Game,Guam +34.5,1.877,Philippines vs Guam,2025-11-30 23:36:29
Total – Game,Over 161.5,1.862,Philippines vs Guam,2025-11-30 23:36:29
Total – Game,Under 161.5,1.877,Philippines vs Guam,2025-11-30 23:36:29
Money Line – Game,New Zealand,2.11,New Zealand vs Australia,2025-11-30 23:58:01
Money Line – Game,Australia,1.671,New Zealand vs Australia,2025-11-30 23:58:01
