Market,Selection,Odds,matchup,timestamp
Money Line – Game,Turkey,1.093,Turkey vs Bosnia & Herzegovina,2025-11-27 17:30:06
Money Line – Game,Bosnia & Herzegovina,5.55,Turkey vs Bosnia & Herzegovina,2025-11-27 17:30:06
Handicap – Game,Turkey -17.0,1.847,Turkey vs Bosnia & Herzegovina,2025-11-27 17:30:06
Handicap – Game,Bosnia & Herzegovina +17.0,1.892,Turkey vs Bosnia & Herzegovina,2025-11-27 17:30:06
Total – Game,Over 156.5,1.9,Turkey vs Bosnia & Herzegovina,2025-11-27 17:30:06
Total – Game,Under 156.5,1.847,Turkey vs Bosnia & Herzegovina,2025-11-27 17:30:06
Money Line – Game,Serbia,1.037,Serbia vs Switzerland,2025-11-27 17:30:06
Money Line – Game,Switzerland,8.08,Serbia vs Switzerland,2025-11-27 17:30:06
Handicap – Game,Serbia -21.5,1.877,Serbia vs Switzerland,2025-11-27 17:30:06
Handicap – Game,Switzerland +21.5,1.862,Serbia vs Switzerland,2025-11-27 17:30:06
Total – Game,Over 153,1.952,Serbia vs Switzerland,2025-11-27 17:30:06
Total – Game,Under 153,1.8,Serbia vs Switzerland,2025-11-27 17:30:06
Money Line – Game,Italy,1.309,Italy vs Iceland,2025-11-27 17:30:06
Money Line – Game,Iceland,3.12,Italy vs Iceland,2025-11-27 17:30:06
Handicap – Game,Italy -6.0,1.943,Italy vs Iceland,2025-11-27 17:30:06
Handicap – Game,Iceland +6.0,1.806,Italy vs Iceland,2025-11-27 17:30:06
Total – Game,Over 158.5,1.862,Italy vs Iceland,2025-11-27 17:30:06
Total – Game,Under 158.5,1.884,Italy vs Iceland,2025-11-27 17:30:06
Money Line – Game,Great Britain,3.31,Great Britain vs Lithuania,2025-11-27 17:30:06
Money Line – Game,Lithuania,1.274,Great Britain vs Lithuania,2025-11-27 17:30:06
Handicap – Game,Great Britain +7.0,1.892,Great Britain vs Lithuania,2025-11-27 17:30:06
Handicap – Game,Lithuania -7.0,1.847,Great Britain vs Lithuania,2025-11-27 17:30:06
Total – Game,Over 160,1.869,Great Britain vs Lithuania,2025-11-27 17:30:06
Total – Game,Under 160,1.877,Great Britain vs Lithuania,2025-11-27 17:30:06
Money Line – Game,Serbia,1.037,Serbia vs Switzerland,2025-11-27 17:46:40
Money Line – Game,Switzerland,8.08,Serbia vs Switzerland,2025-11-27 17:46:40
Handicap – Game,Serbia -21.5,1.877,Serbia vs Switzerland,2025-11-27 17:46:40
Handicap – Game,Switzerland +21.5,1.862,Serbia vs Switzerland,2025-11-27 17:46:40
Total – Game,Over 153,1.952,Serbia vs Switzerland,2025-11-27 17:46:40
Total – Game,Under 153,1.8,Serbia vs Switzerland,2025-11-27 17:46:40
Money Line – Game,Turkey,1.095,Turkey vs Bosnia & Herzegovina,2025-11-27 17:46:40
Money Line – Game,Bosnia & Herzegovina,5.49,Turkey vs Bosnia & Herzegovina,2025-11-27 17:46:40
Handicap – Game,Turkey -17.0,1.877,Turkey vs Bosnia & Herzegovina,2025-11-27 17:46:40
Handicap – Game,Bosnia & Herzegovina +17.0,1.862,Turkey vs Bosnia & Herzegovina,2025-11-27 17:46:40
Total – Game,Over 156.5,1.862,Turkey vs Bosnia & Herzegovina,2025-11-27 17:46:40
Total – Game,Under 156.5,1.884,Turkey vs Bosnia & Herzegovina,2025-11-27 17:46:40
Money Line – Game,Italy,1.309,Italy vs Iceland,2025-11-27 17:46:40
Money Line – Game,Iceland,3.12,Italy vs Iceland,2025-11-27 17:46:40
Handicap – Game,Italy -6.0,1.943,Italy vs Iceland,2025-11-27 17:46:40
Handicap – Game,Iceland +6.0,1.806,Italy vs Iceland,2025-11-27 17:46:40
Total – Game,Over 158.5,1.862,Italy vs Iceland,2025-11-27 17:46:40
Total – Game,Under 158.5,1.884,Italy vs Iceland,2025-11-27 17:46:40
