team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Denmark,Spain,https://www.pinnacle.com/en/basketball/fiba-world-cup-europe-qualification/denmark-vs-spain/1620161840/,3.75,1.214,10.0,1.854,-10.0,1.877,152.0,1.847,152.0,1.9,2025-11-27 17:30:06
Turkey,Bosnia & Herzegovina,https://www.pinnacle.com/en/basketball/fiba-world-cup-europe-qualification/turkey-vs-bosnia-herzegovina/1620161858/,1.093,5.55,-17.0,1.847,17.0,1.892,156.5,1.9,156.5,1.847,2025-11-27 17:30:06
Serbia,Switzerland,https://www.pinnacle.com/en/basketball/fiba-world-cup-europe-qualification/serbia-vs-switzerland/1620158881/,1.037,8.08,-21.5,1.877,21.5,1.862,153.0,1.952,153.0,1.8,2025-11-27 17:30:06
Italy,Iceland,https://www.pinnacle.com/en/basketball/fiba-world-cup-europe-qualification/italy-vs-iceland/1620164162/,1.309,3.12,-6.0,1.943,6.0,1.806,158.5,1.862,158.5,1.884,2025-11-27 17:30:06
Great Britain,Lithuania,https://www.pinnacle.com/en/basketball/fiba-world-cup-europe-qualification/great-britain-vs-lithuania/1620161874/,3.31,1.274,7.0,1.892,-7.0,1.847,160.0,1.869,160.0,1.877,2025-11-27 17:30:06
Serbia,Switzerland,https://www.pinnacle.com/en/basketball/fiba-world-cup-europe-qualification/serbia-vs-switzerland/1620158881/,1.036,8.11,-21.5,1.862,21.5,1.877,153.0,1.925,153.0,1.819,2025-11-27 17:46:40
Turkey,Bosnia & Herzegovina,https://www.pinnacle.com/en/basketball/fiba-world-cup-europe-qualification/turkey-vs-bosnia-herzegovina/1620161858/,1.095,5.49,-17.0,1.877,17.0,1.862,156.5,1.862,156.5,1.884,2025-11-27 17:46:40
Italy,Iceland,https://www.pinnacle.com/en/basketball/fiba-world-cup-europe-qualification/italy-vs-iceland/1620164162/,1.309,3.12,-6.0,1.943,6.0,1.806,158.5,1.862,158.5,1.884,2025-11-27 17:46:40
Great Britain,Lithuania,https://www.pinnacle.com/en/basketball/fiba-world-cup-europe-qualification/great-britain-vs-lithuania/1620161874/,3.31,1.274,7.0,1.892,-7.0,1.847,160.0,1.869,160.0,1.877,2025-11-27 17:46:40
Serbia,Switzerland,https://www.pinnacle.com/en/basketball/fiba-world-cup-europe-qualification/serbia-vs-switzerland/1620158881/,1.036,8.11,-21.5,1.862,21.5,1.877,153.0,1.925,153.0,1.819,2025-11-27 17:59:12
