team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
USA,Senegal,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/usa-vs-senegal/1625890023/,,,-59.5,1.877,59.5,1.943,152.0,1.793,152.0,2.04,2026-03-11 19:34:05
USA,Senegal,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/usa-vs-senegal/1625890023/,,,-59.5,1.84,59.5,1.98,152.0,1.793,152.0,2.04,2026-03-11 19:49:34
USA,Senegal,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/usa-vs-senegal/1625890023/,,,-59.5,1.847,59.5,1.97,152.0,1.793,152.0,2.04,2026-03-11 20:40:52
New Zealand,Italy,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/new-zealand-vs-italy/1625969024/,,,35.5,1.862,-35.5,1.961,133.0,1.877,133.0,1.943,2026-03-12 20:43:51
USA,Italy,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/usa-vs-italy/1625970328/,1.031,11.71,-24.5,1.877,24.5,1.943,145.5,1.934,145.5,1.884,2026-03-14 19:50:06
USA,Italy,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/usa-vs-italy/1625970328/,1.031,11.71,-24.5,1.877,24.5,1.943,145.5,1.934,145.5,1.884,2026-03-14 20:07:11
USA,Italy,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/usa-vs-italy/1625970328/,1.031,11.71,-24.5,1.877,24.5,1.943,145.5,1.934,145.5,1.884,2026-03-14 20:35:15
USA,Italy,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/usa-vs-italy/1625970328/,1.031,11.78,-24.5,1.862,24.5,1.961,145.5,1.925,145.5,1.892,2026-03-14 20:53:47
Spain,Puerto Rico,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/spain-vs-puerto-rico/1625969029/,1.01,19.43,-26.0,1.84,26.0,1.98,134.0,1.833,134.0,1.99,2026-03-14 23:30:58
Spain,Puerto Rico,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/spain-vs-puerto-rico/1625969029/,1.01,19.43,-26.0,1.84,26.0,1.98,134.0,1.833,134.0,1.99,2026-03-14 23:53:32
France,Nigeria,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/france-vs-nigeria/1625970740/,1.028,12.28,-22.5,2.01,22.5,1.819,146.5,1.97,146.5,1.854,2026-03-15 17:56:55
New Zealand,USA,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/new-zealand-vs-usa/1625969031/,,,59.5,2.15,-59.5,1.714,145.5,1.632,145.5,2.29,2026-03-15 17:56:55
Italy,Spain,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/italy-vs-spain/1625970741/,4.61,1.181,9.0,1.9,-9.0,1.917,135.5,1.917,135.5,1.9,2026-03-15 17:56:55
Italy,Spain,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/italy-vs-spain/1625970741/,4.62,1.18,9.0,1.909,-9.0,1.909,135.5,1.917,135.5,1.9,2026-03-15 18:47:41
Puerto Rico,Senegal,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/puerto-rico-vs-senegal/1625969032/,2.17,1.699,2.5,1.892,-2.5,1.925,130.5,1.97,130.5,1.847,2026-03-15 19:23:20
Puerto Rico,Senegal,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/puerto-rico-vs-senegal/1625969032/,2.17,1.699,2.5,1.892,-2.5,1.925,130.5,1.97,130.5,1.847,2026-03-15 19:51:52
Puerto Rico,Senegal,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/puerto-rico-vs-senegal/1625969032/,2.17,1.699,2.5,1.892,-2.5,1.925,130.5,1.97,130.5,1.847,2026-03-15 20:06:34
Puerto Rico,Senegal,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/puerto-rico-vs-senegal/1625969032/,2.17,1.699,2.5,1.892,-2.5,1.925,130.5,1.97,130.5,1.847,2026-03-15 20:27:47
Puerto Rico,Senegal,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/puerto-rico-vs-senegal/1625969032/,2.17,1.699,2.5,1.892,-2.5,1.925,130.5,1.97,130.5,1.847,2026-03-15 20:54:47
Puerto Rico,Senegal,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/puerto-rico-vs-senegal/1625969032/,2.16,1.709,2.5,1.884,-2.5,1.934,130.5,1.97,130.5,1.847,2026-03-15 21:24:49
Puerto Rico,Senegal,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/puerto-rico-vs-senegal/1625969032/,2.16,1.709,2.5,1.884,-2.5,1.934,130.5,1.97,130.5,1.847,2026-03-15 22:03:34
Puerto Rico,Senegal,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/puerto-rico-vs-senegal/1625969032/,2.17,1.699,2.5,1.892,-2.5,1.925,130.5,1.97,130.5,1.847,2026-03-15 22:23:07
Puerto Rico,Senegal,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/puerto-rico-vs-senegal/1625969032/,2.12,1.735,2.5,1.847,-2.5,1.97,130.5,1.98,130.5,1.847,2026-03-15 23:04:57
Puerto Rico,Senegal,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/puerto-rico-vs-senegal/1625969032/,2.12,1.735,2.5,1.847,-2.5,1.97,130.5,1.98,130.5,1.847,2026-03-15 23:40:49
South Sudan,Mali,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/south-sudan-vs-mali/1625970333/,6.72,1.078,14.0,1.9,-14.0,1.884,142.5,1.877,142.5,1.909,2026-03-16 19:55:26
South Sudan,Mali,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/south-sudan-vs-mali/1625970333/,6.72,1.078,14.0,1.9,-14.0,1.884,142.5,1.877,142.5,1.909,2026-03-16 20:10:39
Belgium,Czech Republic,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/belgium-vs-czech-republic/1625970743/,1.088,6.35,-13.5,1.884,13.5,1.9,147.5,1.869,147.5,1.917,2026-03-16 20:10:39
China,Brazil,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/china-vs-brazil/1625969033/,1.14,5.0,-11.5,1.909,11.5,1.877,154.5,1.862,154.5,1.925,2026-03-16 20:10:39
South Sudan,Mali,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/south-sudan-vs-mali/1625970333/,6.72,1.078,14.0,1.9,-14.0,1.884,142.5,1.862,142.5,1.925,2026-03-16 21:41:50
Belgium,Czech Republic,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/belgium-vs-czech-republic/1625970743/,1.088,6.35,-13.5,1.884,13.5,1.9,147.5,1.869,147.5,1.917,2026-03-16 21:41:50
South Sudan,Mali,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/south-sudan-vs-mali/1625970333/,6.6,1.081,14.0,1.9,-14.0,1.884,142.5,1.854,142.5,1.934,2026-03-16 22:09:50
Belgium,Czech Republic,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/belgium-vs-czech-republic/1625970743/,1.088,6.35,-13.5,1.884,13.5,1.9,147.5,1.869,147.5,1.917,2026-03-16 22:09:50
South Sudan,Mali,https://www.pinnacle.com/en/basketball/fiba-world-cup-qualification-women/south-sudan-vs-mali/1625970333/,6.6,1.081,14.0,1.9,-14.0,1.884,142.5,1.854,142.5,1.934,2026-03-16 22:55:05
