team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Pyrinto Akatemia A,Torpan Pojat,https://www.pinnacle.com/en/basketball/finland-division-1/pyrinto-akatemia-a-vs-torpan-pojat/1619883982/,4.29,1.162,9.5,1.819,-9.5,1.925,160.0,1.869,160.0,1.869,2025-11-27 17:30:47
Pyrinto Akatemia A,Karkkila,https://www.pinnacle.com/en/basketball/finland-division-1/pyrinto-akatemia-a-vs-karkkila/1620331090/,4.12,1.176,9.0,1.847,-9.0,1.892,171.5,1.884,171.5,1.854,2025-12-04 17:15:15
Aanekosken Huima,Jyvaskyla Basketball Academy,https://www.pinnacle.com/en/basketball/finland-division-1/aanekosken-huima-vs-jyvaskyla-basketball-academy/1621810578/,4.88,1.123,12.0,1.793,-12.0,1.952,163.5,1.917,163.5,1.819,2026-01-05 15:54:06
Aanekosken Huima,Jyvaskyla Basketball Academy,https://www.pinnacle.com/en/basketball/finland-division-1/aanekosken-huima-vs-jyvaskyla-basketball-academy/1621810578/,4.88,1.123,12.0,1.793,-12.0,1.952,163.5,1.917,163.5,1.819,2026-01-05 16:16:03
Aanekosken Huima,Jyvaskyla Basketball Academy,https://www.pinnacle.com/en/basketball/finland-division-1/aanekosken-huima-vs-jyvaskyla-basketball-academy/1624310964/,4.85,1.09,11.0,1.884,-11.0,1.781,159.5,1.781,159.5,1.892,2026-02-23 01:29:23
Aanekosken Huima,Jyvaskyla Basketball Academy,https://www.pinnacle.com/en/basketball/finland-division-1/aanekosken-huima-vs-jyvaskyla-basketball-academy/1624310964/,4.85,1.09,11.0,1.884,-11.0,1.781,159.5,1.781,159.5,1.892,2026-02-23 05:52:17
Aanekosken Huima,Jyvaskyla Basketball Academy,https://www.pinnacle.com/en/basketball/finland-division-1/aanekosken-huima-vs-jyvaskyla-basketball-academy/1624310964/,4.57,1.106,10.5,1.813,-10.5,1.854,161.0,1.917,161.0,1.757,2026-02-23 06:57:01
Aanekosken Huima,Jyvaskyla Basketball Academy,https://www.pinnacle.com/en/basketball/finland-division-1/aanekosken-huima-vs-jyvaskyla-basketball-academy/1624310964/,4.57,1.106,10.5,1.813,-10.5,1.854,161.0,1.917,161.0,1.757,2026-02-23 07:59:08
Aanekosken Huima,Jyvaskyla Basketball Academy,https://www.pinnacle.com/en/basketball/finland-division-1/aanekosken-huima-vs-jyvaskyla-basketball-academy/1624310964/,4.58,1.105,10.5,1.819,-10.5,1.847,161.0,1.806,161.0,1.862,2026-02-23 08:51:34
Aanekosken Huima,Jyvaskyla Basketball Academy,https://www.pinnacle.com/en/basketball/finland-division-1/aanekosken-huima-vs-jyvaskyla-basketball-academy/1624310964/,4.59,1.104,10.5,1.84,-10.5,1.826,163.5,1.833,163.5,1.833,2026-02-23 09:56:20
Aanekosken Huima,Jyvaskyla Basketball Academy,https://www.pinnacle.com/en/basketball/finland-division-1/aanekosken-huima-vs-jyvaskyla-basketball-academy/1624310964/,4.59,1.104,10.5,1.84,-10.5,1.826,163.5,1.833,163.5,1.833,2026-02-23 10:37:19
Aanekosken Huima,Jyvaskyla Basketball Academy,https://www.pinnacle.com/en/basketball/finland-division-1/aanekosken-huima-vs-jyvaskyla-basketball-academy/1624310964/,4.59,1.104,10.5,1.84,-10.5,1.826,163.5,1.833,163.5,1.833,2026-02-23 11:38:10
Aanekosken Huima,Jyvaskyla Basketball Academy,https://www.pinnacle.com/en/basketball/finland-division-1/aanekosken-huima-vs-jyvaskyla-basketball-academy/1624310964/,4.88,1.123,10.5,1.877,-10.5,1.862,163.5,1.869,163.5,1.869,2026-02-23 13:13:17
Aanekosken Huima,Jyvaskyla Basketball Academy,https://www.pinnacle.com/en/basketball/finland-division-1/aanekosken-huima-vs-jyvaskyla-basketball-academy/1624310964/,4.88,1.123,10.5,1.877,-10.5,1.862,163.5,1.869,163.5,1.869,2026-02-23 15:10:42
Aanekosken Huima,Jyvaskyla Basketball Academy,https://www.pinnacle.com/en/basketball/finland-division-1/aanekosken-huima-vs-jyvaskyla-basketball-academy/1624310964/,5.26,1.105,11.0,1.862,-11.0,1.877,162.0,1.847,162.0,1.892,2026-02-23 16:09:49
Karkkila,Kipina Basket,https://www.pinnacle.com/en/basketball/finland-division-1/karkkila-vs-kipina-basket/1627307211/,1.961,1.787,+1.5,1.884,-1.5,1.854,178.5,1.793,178.5,1.952,2026-04-06 15:11:12
