Market,Selection,Odds,matchup,timestamp
Handicap – Game,KTP II -23.5,1.769,KTP II vs Pyrinto Akatemia B,2026-02-26 11:59:16
Handicap – Game,Pyrinto Akatemia B +23.5,1.9,KTP II vs Pyrinto Akatemia B,2026-02-26 11:59:16
Total – Game,Over 167.5,1.854,KTP II vs Pyrinto Akatemia B,2026-02-26 11:59:16
Total – Game,Under 167.5,1.813,KTP II vs Pyrinto Akatemia B,2026-02-26 11:59:16
Handicap – Game,KTP II -23.5,1.769,KTP II vs Pyrinto Akatemia B,2026-02-26 12:52:34
Handicap – Game,Pyrinto Akatemia B +23.5,1.9,KTP II vs Pyrinto Akatemia B,2026-02-26 12:52:34
Total – Game,Over 167.5,1.854,KTP II vs Pyrinto Akatemia B,2026-02-26 12:52:34
Total – Game,Under 167.5,1.813,KTP II vs Pyrinto Akatemia B,2026-02-26 12:52:34
Handicap – Game,KTP II -29.0,1.877,KTP II vs Pyrinto Akatemia B,2026-02-26 16:10:18
Handicap – Game,Pyrinto Akatemia B +29.0,1.793,KTP II vs Pyrinto Akatemia B,2026-02-26 16:10:18
Total – Game,Over 168.5,1.813,KTP II vs Pyrinto Akatemia B,2026-02-26 16:10:18
Total – Game,Under 168.5,1.854,KTP II vs Pyrinto Akatemia B,2026-02-26 16:10:18
Money Line – Game,Pantterit,1.013,Pantterit vs PeU Basket,2026-04-13 02:16:27
Money Line – Game,PeU Basket,6.57,Pantterit vs PeU Basket,2026-04-13 02:16:27
Handicap – Game,Pantterit -18.5,1.869,Pantterit vs PeU Basket,2026-04-13 02:16:27
Handicap – Game,PeU Basket +18.5,1.735,Pantterit vs PeU Basket,2026-04-13 02:16:27
Total – Game,Over 165,1.793,Pantterit vs PeU Basket,2026-04-13 02:16:27
Total – Game,Under 165,1.806,Pantterit vs PeU Basket,2026-04-13 02:16:27
Money Line – Game,Pantterit,1.035,Pantterit vs PeU Basket,2026-04-13 14:09:59
Money Line – Game,PeU Basket,6.550,Pantterit vs PeU Basket,2026-04-13 14:09:59
Handicap – Game,Pantterit -15.0,1.854,Pantterit vs PeU Basket,2026-04-13 14:09:59
Handicap – Game,PeU Basket +15.0,1.813,Pantterit vs PeU Basket,2026-04-13 14:09:59
Total – Game,Over 163,1.833,Pantterit vs PeU Basket,2026-04-13 14:09:59
Total – Game,Under 163,1.833,Pantterit vs PeU Basket,2026-04-13 14:09:59
