Market,Selection,Odds,matchup,timestamp
Money Line – Game,Honka Espoo,3.07,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 07:28:05
Money Line – Game,Salon Vilpas Vikings,1.37,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 07:28:05
Handicap – Game,Honka Espoo +6.0,1.877,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 07:28:05
Handicap – Game,Salon Vilpas Vikings -6.0,1.943,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 07:28:05
Total – Game,Over 166.5,1.925,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 07:28:05
Total – Game,Under 166.5,1.892,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 07:28:05
Total – Game,Under 166.5,1.892,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 07:56:53
Handicap – Game,Salon Vilpas Vikings -6.0,1.943,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 07:56:53
Total – Game,Over 166.5,1.925,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 07:56:53
Money Line – Game,Salon Vilpas Vikings,1.37,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 07:56:53
Money Line – Game,Honka Espoo,3.07,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 07:56:53
Handicap – Game,Honka Espoo +6.0,1.877,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 07:56:53
Money Line – Game,Honka Espoo,3.27,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 08:03:23
Money Line – Game,Salon Vilpas Vikings,1.33,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 08:03:23
Handicap – Game,Honka Espoo +6.5,1.934,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 08:03:23
Handicap – Game,Salon Vilpas Vikings -6.5,1.884,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 08:03:23
Total – Game,Over 167.5,1.925,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 08:03:23
Total – Game,Under 167.5,1.892,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 08:03:23
Total – Game,Over 167.5,1.925,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 08:36:49
Total – Game,Under 167.5,1.892,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 08:36:49
Handicap – Game,Salon Vilpas Vikings -6.5,1.884,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 08:36:49
Money Line – Game,Salon Vilpas Vikings,1.33,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 08:36:49
Money Line – Game,Honka Espoo,3.27,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 08:36:49
Handicap – Game,Honka Espoo +6.5,1.934,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 08:36:49
Money Line – Game,Honka Espoo,3.27,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 08:43:51
Money Line – Game,Salon Vilpas Vikings,1.33,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 08:43:51
Handicap – Game,Honka Espoo +6.5,1.934,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 08:43:51
Handicap – Game,Salon Vilpas Vikings -6.5,1.884,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 08:43:51
Total – Game,Over 167.5,1.925,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 08:43:51
Total – Game,Under 167.5,1.892,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 08:43:51
Money Line – Game,Honka Espoo,3.42,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 09:46:55
Money Line – Game,Salon Vilpas Vikings,1.304,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 09:46:55
Handicap – Game,Honka Espoo +7.0,1.943,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 09:46:55
Handicap – Game,Salon Vilpas Vikings -7.0,1.877,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 09:46:55
Total – Game,Over 170,1.909,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 09:46:55
Total – Game,Under 170,1.909,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 09:46:55
Total – Game,Over 170,1.909,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 09:53:21
Total – Game,Under 170,1.909,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 09:53:21
Handicap – Game,Salon Vilpas Vikings -7.0,1.877,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 09:53:21
Money Line – Game,Salon Vilpas Vikings,1.304,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 09:53:21
Handicap – Game,Honka Espoo +7.0,1.943,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 09:53:21
Money Line – Game,Honka Espoo,3.42,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 09:53:21
Money Line – Game,Honka Espoo,3.42,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 10:00:12
Money Line – Game,Salon Vilpas Vikings,1.304,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 10:00:12
Handicap – Game,Honka Espoo +7.0,1.943,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 10:00:12
Handicap – Game,Salon Vilpas Vikings -7.0,1.877,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 10:00:12
Total – Game,Over 170,1.909,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 10:00:12
Total – Game,Under 170,1.909,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 10:00:12
Total – Game,Under 170,1.909,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 10:12:26
Total – Game,Over 170,1.909,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 10:12:26
Handicap – Game,Salon Vilpas Vikings -7.0,1.877,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 10:12:26
Money Line – Game,Honka Espoo,3.42,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 10:12:26
Money Line – Game,Salon Vilpas Vikings,1.304,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 10:12:26
Handicap – Game,Honka Espoo +7.0,1.943,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 10:12:26
Total – Game,Over 171.5,1.925,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 10:32:20
Total – Game,Under 171.5,1.892,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 10:32:20
Handicap – Game,Salon Vilpas Vikings -8.0,1.909,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 10:32:20
Money Line – Game,Salon Vilpas Vikings,1.274,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 10:32:20
Money Line – Game,Honka Espoo,3.63,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 10:32:20
Handicap – Game,Honka Espoo +8.0,1.909,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 10:32:20
Money Line – Game,Honka Espoo,3.63,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 10:49:43
Money Line – Game,Salon Vilpas Vikings,1.274,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 10:49:43
Handicap – Game,Honka Espoo +8.0,1.909,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 10:49:43
Handicap – Game,Salon Vilpas Vikings -8.0,1.909,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 10:49:43
Total – Game,Over 171.5,1.925,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 10:49:43
Total – Game,Under 171.5,1.892,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 10:49:43
Total – Game,Over 171.5,1.925,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 11:01:27
Money Line – Game,Honka Espoo,3.63,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 11:01:27
Money Line – Game,Salon Vilpas Vikings,1.274,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 11:01:27
Handicap – Game,Honka Espoo +8.0,1.909,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 11:01:27
Handicap – Game,Salon Vilpas Vikings -8.0,1.909,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 11:01:27
Total – Game,Under 171.5,1.892,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 11:01:27
Total – Game,Over 171.5,1.925,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 11:09:44
Total – Game,Under 171.5,1.892,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 11:09:44
Handicap – Game,Salon Vilpas Vikings -8.0,1.909,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 11:09:44
Handicap – Game,Honka Espoo +8.0,1.909,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 11:09:44
Money Line – Game,Salon Vilpas Vikings,1.274,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 11:09:44
Money Line – Game,Honka Espoo,3.63,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 11:09:44
Money Line – Game,Honka Espoo,4.09,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 11:27:00
Money Line – Game,Salon Vilpas Vikings,1.223,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 11:27:00
Handicap – Game,Honka Espoo +8.5,1.9,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 11:27:00
Handicap – Game,Salon Vilpas Vikings -8.5,1.917,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 11:27:00
Total – Game,Over 171.5,1.917,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 11:27:00
Total – Game,Under 171.5,1.9,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 11:27:00
Total – Game,Under 174.5,1.9,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 14:50:46
Total – Game,Over 174.5,1.917,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 14:50:46
Handicap – Game,Salon Vilpas Vikings -9.0,1.869,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 14:50:46
Money Line – Game,Honka Espoo,4.29,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 14:50:46
Money Line – Game,Salon Vilpas Vikings,1.205,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 14:50:46
Handicap – Game,Honka Espoo +9.0,1.952,Honka Espoo vs Salon Vilpas Vikings,2025-10-07 14:50:46
Total – Game,Over 172.5,1.98,Helsinki Seagulls vs KTP Basket Kotka,2025-10-14 03:11:55
Total – Game,Under 172.5,1.847,Helsinki Seagulls vs KTP Basket Kotka,2025-10-14 03:11:55
Handicap – Game,KTP Basket Kotka +9.5,1.884,Helsinki Seagulls vs KTP Basket Kotka,2025-10-14 03:11:55
Handicap – Game,Helsinki Seagulls -9.5,1.934,Helsinki Seagulls vs KTP Basket Kotka,2025-10-14 03:11:55
Money Line – Game,KTP Basket Kotka,4.81,Helsinki Seagulls vs KTP Basket Kotka,2025-10-14 03:11:55
Money Line – Game,Helsinki Seagulls,1.168,Helsinki Seagulls vs KTP Basket Kotka,2025-10-14 03:11:55
Money Line – Game,Helsinki Seagulls,1.168,Helsinki Seagulls vs KTP Basket Kotka,2025-10-14 03:26:51
Money Line – Game,KTP Basket Kotka,4.81,Helsinki Seagulls vs KTP Basket Kotka,2025-10-14 03:26:51
Handicap – Game,Helsinki Seagulls -9.5,1.934,Helsinki Seagulls vs KTP Basket Kotka,2025-10-14 03:26:51
Handicap – Game,KTP Basket Kotka +9.5,1.884,Helsinki Seagulls vs KTP Basket Kotka,2025-10-14 03:26:51
Total – Game,Over 172.5,1.98,Helsinki Seagulls vs KTP Basket Kotka,2025-10-14 03:26:51
Total – Game,Under 172.5,1.847,Helsinki Seagulls vs KTP Basket Kotka,2025-10-14 03:26:51
Money Line – Game,Helsinki Seagulls,1.156,Helsinki Seagulls vs KTP Basket Kotka,2025-10-14 03:48:12
Money Line – Game,KTP Basket Kotka,5.0,Helsinki Seagulls vs KTP Basket Kotka,2025-10-14 03:48:12
Handicap – Game,Helsinki Seagulls -10.5,1.934,Helsinki Seagulls vs KTP Basket Kotka,2025-10-14 03:48:12
Handicap – Game,KTP Basket Kotka +10.5,1.884,Helsinki Seagulls vs KTP Basket Kotka,2025-10-14 03:48:12
Total – Game,Over 172.5,1.97,Helsinki Seagulls vs KTP Basket Kotka,2025-10-14 03:48:12
Total – Game,Under 172.5,1.854,Helsinki Seagulls vs KTP Basket Kotka,2025-10-14 03:48:12
Total – Game,Under 172.5,1.84,Helsinki Seagulls vs KTP Basket Kotka,2025-10-14 07:02:24
Handicap – Game,KTP Basket Kotka +10.5,1.884,Helsinki Seagulls vs KTP Basket Kotka,2025-10-14 07:02:24
Total – Game,Over 172.5,1.98,Helsinki Seagulls vs KTP Basket Kotka,2025-10-14 07:02:24
Money Line – Game,KTP Basket Kotka,5.0,Helsinki Seagulls vs KTP Basket Kotka,2025-10-14 07:02:24
Handicap – Game,Helsinki Seagulls -10.5,1.934,Helsinki Seagulls vs KTP Basket Kotka,2025-10-14 07:02:24
Money Line – Game,Helsinki Seagulls,1.156,Helsinki Seagulls vs KTP Basket Kotka,2025-10-14 07:02:24
Total – Game,Over 169.5,1.952,KTP Basket Kotka vs Honka Espoo,2025-10-20 23:24:26
Handicap – Game,Honka Espoo +10.0,1.943,KTP Basket Kotka vs Honka Espoo,2025-10-20 23:24:26
Total – Game,Under 169.5,1.869,KTP Basket Kotka vs Honka Espoo,2025-10-20 23:24:26
Money Line – Game,Honka Espoo,4.73,KTP Basket Kotka vs Honka Espoo,2025-10-20 23:24:26
Money Line – Game,KTP Basket Kotka,1.173,KTP Basket Kotka vs Honka Espoo,2025-10-20 23:24:26
Handicap – Game,KTP Basket Kotka -10.0,1.877,KTP Basket Kotka vs Honka Espoo,2025-10-20 23:24:26
Total – Game,Under 169.5,1.869,KTP Basket Kotka vs Honka Espoo,2025-10-20 23:43:03
Total – Game,Over 169.5,1.952,KTP Basket Kotka vs Honka Espoo,2025-10-20 23:43:03
Handicap – Game,Honka Espoo +10.0,1.943,KTP Basket Kotka vs Honka Espoo,2025-10-20 23:43:03
Handicap – Game,KTP Basket Kotka -10.0,1.877,KTP Basket Kotka vs Honka Espoo,2025-10-20 23:43:03
Money Line – Game,Honka Espoo,4.73,KTP Basket Kotka vs Honka Espoo,2025-10-20 23:43:03
Money Line – Game,KTP Basket Kotka,1.173,KTP Basket Kotka vs Honka Espoo,2025-10-20 23:43:03
Total – Game,Under 180.5,1.934,Lahti Basketball vs Salon Vilpas Vikings,2025-10-20 23:43:03
Handicap – Game,Salon Vilpas Vikings -7.5,1.869,Lahti Basketball vs Salon Vilpas Vikings,2025-10-20 23:43:03
Total – Game,Over 180.5,1.884,Lahti Basketball vs Salon Vilpas Vikings,2025-10-20 23:43:03
