team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Honka Espoo,Salon Vilpas Vikings,https://www.pinnacle.com/en/basketball/finland-korisliiga/honka-espoo-vs-salon-vilpas-vikings/1616982385/,3.07,1.37,6.0,1.877,-6.0,1.943,166.5,1.909,166.5,1.909,2025-10-07 07:28:05
Honka Espoo,Salon Vilpas Vikings,https://www.pinnacle.com/en/basketball/finland-korisliiga/honka-espoo-vs-salon-vilpas-vikings/1616982385/,3.07,1.37,6.0,1.877,-6.0,1.943,166.5,1.925,166.5,1.892,2025-10-07 07:45:16
Honka Espoo,Salon Vilpas Vikings,https://www.pinnacle.com/en/basketball/finland-korisliiga/honka-espoo-vs-salon-vilpas-vikings/1616982385/,3.27,1.33,6.5,1.934,-6.5,1.884,167.5,1.925,167.5,1.892,2025-10-07 07:56:53
Honka Espoo,Salon Vilpas Vikings,https://www.pinnacle.com/en/basketball/finland-korisliiga/honka-espoo-vs-salon-vilpas-vikings/1616982385/,3.27,1.33,6.5,1.934,-6.5,1.884,167.5,1.925,167.5,1.892,2025-10-07 08:03:23
Honka Espoo,Salon Vilpas Vikings,https://www.pinnacle.com/en/basketball/finland-korisliiga/honka-espoo-vs-salon-vilpas-vikings/1616982385/,3.27,1.33,6.5,1.934,-6.5,1.884,167.5,1.925,167.5,1.892,2025-10-07 08:36:49
Honka Espoo,Salon Vilpas Vikings,https://www.pinnacle.com/en/basketball/finland-korisliiga/honka-espoo-vs-salon-vilpas-vikings/1616982385/,3.27,1.33,6.5,1.934,-6.5,1.884,167.5,1.925,167.5,1.892,2025-10-07 08:43:51
Honka Espoo,Salon Vilpas Vikings,https://www.pinnacle.com/en/basketball/finland-korisliiga/honka-espoo-vs-salon-vilpas-vikings/1616982385/,3.42,1.305,7.0,1.934,-7.0,1.884,168.0,1.877,168.0,1.943,2025-10-07 09:46:55
Honka Espoo,Salon Vilpas Vikings,https://www.pinnacle.com/en/basketball/finland-korisliiga/honka-espoo-vs-salon-vilpas-vikings/1616982385/,3.42,1.304,7.0,1.943,-7.0,1.877,170.0,1.909,170.0,1.909,2025-10-07 09:53:21
Honka Espoo,Salon Vilpas Vikings,https://www.pinnacle.com/en/basketball/finland-korisliiga/honka-espoo-vs-salon-vilpas-vikings/1616982385/,3.42,1.304,7.0,1.943,-7.0,1.877,170.0,1.909,170.0,1.909,2025-10-07 10:00:12
Honka Espoo,Salon Vilpas Vikings,https://www.pinnacle.com/en/basketball/finland-korisliiga/honka-espoo-vs-salon-vilpas-vikings/1616982385/,3.42,1.304,7.0,1.943,-7.0,1.877,170.0,1.909,170.0,1.909,2025-10-07 10:12:26
Honka Espoo,Salon Vilpas Vikings,https://www.pinnacle.com/en/basketball/finland-korisliiga/honka-espoo-vs-salon-vilpas-vikings/1616982385/,3.63,1.274,8.0,1.909,-8.0,1.909,171.5,1.925,171.5,1.892,2025-10-07 10:32:20
Honka Espoo,Salon Vilpas Vikings,https://www.pinnacle.com/en/basketball/finland-korisliiga/honka-espoo-vs-salon-vilpas-vikings/1616982385/,3.63,1.274,8.0,1.909,-8.0,1.909,171.5,1.925,171.5,1.892,2025-10-07 10:49:43
Honka Espoo,Salon Vilpas Vikings,https://www.pinnacle.com/en/basketball/finland-korisliiga/honka-espoo-vs-salon-vilpas-vikings/1616982385/,3.63,1.274,8.0,1.909,-8.0,1.909,171.5,1.925,171.5,1.892,2025-10-07 11:01:27
Honka Espoo,Salon Vilpas Vikings,https://www.pinnacle.com/en/basketball/finland-korisliiga/honka-espoo-vs-salon-vilpas-vikings/1616982385/,3.63,1.274,8.0,1.909,-8.0,1.909,171.5,1.925,171.5,1.892,2025-10-07 11:09:44
Honka Espoo,Salon Vilpas Vikings,https://www.pinnacle.com/en/basketball/finland-korisliiga/honka-espoo-vs-salon-vilpas-vikings/1616982385/,4.09,1.223,8.5,1.9,-8.5,1.917,171.5,1.917,171.5,1.9,2025-10-07 11:27:00
