team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Paris,JDA Dijon Basket,https://www.pinnacle.com/en/basketball/france-championnat-pro-a/paris-vs-jda-dijon-basket/1617340854/,1.176,4.96,-10.5,1.961,10.5,1.847,175.5,1.961,175.5,1.84,2025-10-18 22:32:16
Asvel Villeurbanne,AS Monaco,https://www.pinnacle.com/en/basketball/france-championnat-pro-a/asvel-villeurbanne-vs-as-monaco/1617345458/,2.04,1.775,1.5,1.961,-1.5,1.847,170.5,1.826,170.5,1.98,2025-10-18 22:32:16
Paris,JDA Dijon Basket,https://www.pinnacle.com/en/basketball/france-championnat-pro-a/paris-vs-jda-dijon-basket/1617340854/,1.176,4.96,-10.5,1.961,10.5,1.847,175.5,1.961,175.5,1.84,2025-10-18 22:43:10
Asvel Villeurbanne,AS Monaco,https://www.pinnacle.com/en/basketball/france-championnat-pro-a/asvel-villeurbanne-vs-as-monaco/1617345458/,2.04,1.775,1.5,1.961,-1.5,1.847,170.5,1.826,170.5,1.98,2025-10-18 22:43:10
Paris,JDA Dijon Basket,https://www.pinnacle.com/en/basketball/france-championnat-pro-a/paris-vs-jda-dijon-basket/1617340854/,1.176,4.96,-10.5,1.961,10.5,1.847,175.5,1.961,175.5,1.84,2025-10-18 22:57:29
Asvel Villeurbanne,AS Monaco,https://www.pinnacle.com/en/basketball/france-championnat-pro-a/asvel-villeurbanne-vs-as-monaco/1617345458/,2.04,1.775,1.5,1.961,-1.5,1.847,170.5,1.826,170.5,1.98,2025-10-18 22:57:29
Paris,JDA Dijon Basket,https://www.pinnacle.com/en/basketball/france-championnat-pro-a/paris-vs-jda-dijon-basket/1617340854/,1.176,4.96,-10.5,1.961,10.5,1.847,175.5,1.961,175.5,1.84,2025-10-18 23:24:21
Asvel Villeurbanne,AS Monaco,https://www.pinnacle.com/en/basketball/france-championnat-pro-a/asvel-villeurbanne-vs-as-monaco/1617345458/,2.04,1.775,1.5,1.961,-1.5,1.847,170.5,1.826,170.5,1.98,2025-10-18 23:24:21
Asvel Villeurbanne,AS Monaco,https://www.pinnacle.com/en/basketball/france-championnat-pro-a/asvel-villeurbanne-vs-as-monaco/1617345458/,2.04,1.775,1.5,1.961,-1.5,1.847,170.5,1.826,170.5,1.98,2025-10-18 23:41:37
Paris,JDA Dijon Basket,https://www.pinnacle.com/en/basketball/france-championnat-pro-a/paris-vs-jda-dijon-basket/1617340854/,1.176,4.96,-10.5,1.961,10.5,1.847,175.5,1.961,175.5,1.84,2025-10-18 23:41:37
Paris,JDA Dijon Basket,https://www.pinnacle.com/en/basketball/france-championnat-pro-a/paris-vs-jda-dijon-basket/1617340854/,1.176,4.96,-10.5,1.961,10.5,1.847,175.5,1.961,175.5,1.84,2025-10-18 23:55:43
Asvel Villeurbanne,AS Monaco,https://www.pinnacle.com/en/basketball/france-championnat-pro-a/asvel-villeurbanne-vs-as-monaco/1617345458/,2.04,1.775,1.5,1.961,-1.5,1.847,170.5,1.826,170.5,1.98,2025-10-18 23:55:43
Le Mans Sarthe Basket,Le Portel,https://www.pinnacle.com/en/basketball/france-championnat-pro-a/le-mans-sarthe-basket-vs-le-portel/1617781512/,1.141,5.74,-11.0,1.884,11.0,1.917,166.5,1.909,166.5,1.892,2025-10-24 23:43:19
BCM Gravelines Dunkerque,Sluc Nancy Basket,https://www.pinnacle.com/en/basketball/france-championnat-pro-a/bcm-gravelines-dunkerque-vs-sluc-nancy-basket/1617781528/,1.909,1.892,-1.5,1.99,1.5,1.819,172.0,1.892,172.0,1.909,2025-10-24 23:43:19
JDA Dijon Basket,SIG Strasbourg,https://www.pinnacle.com/en/basketball/france-championnat-pro-a/jda-dijon-basket-vs-sig-strasbourg/1617781312/,1.396,2.97,-5.5,1.909,5.5,1.892,164.0,1.917,164.0,1.884,2025-10-24 23:43:19
JL Bourg Basket,Cholet Basket,https://www.pinnacle.com/en/basketball/france-championnat-pro-a/jl-bourg-basket-vs-cholet-basket/1617781537/,1.431,2.83,-4.5,1.833,4.5,1.98,170.5,1.854,170.5,1.943,2025-10-24 23:43:19
