Market,Selection,Odds,matchup,timestamp
Money Line – Game,Chorale Roanne,1.328,Chorale Roanne vs Rouen,2025-09-21 23:09:40
Money Line – Game,Rouen,3.28,Chorale Roanne vs Rouen,2025-09-21 23:09:40
Handicap – Game,Chorale Roanne -6.5,1.943,Chorale Roanne vs Rouen,2025-09-21 23:09:40
Handicap – Game,Rouen +6.5,1.877,Chorale Roanne vs Rouen,2025-09-21 23:09:40
Total – Game,Over 161,1.961,Chorale Roanne vs Rouen,2025-09-21 23:09:40
Total – Game,Under 161,1.854,Chorale Roanne vs Rouen,2025-09-21 23:09:40
Total – Game,Under 161,1.854,Chorale Roanne vs Rouen,2025-09-21 23:44:08
Handicap – Game,Rouen +6.5,1.877,Chorale Roanne vs Rouen,2025-09-21 23:44:08
Total – Game,Over 161,1.961,Chorale Roanne vs Rouen,2025-09-21 23:44:08
Money Line – Game,Rouen,3.28,Chorale Roanne vs Rouen,2025-09-21 23:44:08
Money Line – Game,Chorale Roanne,1.328,Chorale Roanne vs Rouen,2025-09-21 23:44:08
Handicap – Game,Chorale Roanne -6.5,1.943,Chorale Roanne vs Rouen,2025-09-21 23:44:08
Money Line – Game,Chorale Roanne,1.328,Chorale Roanne vs Rouen,2025-09-21 23:48:51
Money Line – Game,Rouen,3.28,Chorale Roanne vs Rouen,2025-09-21 23:48:51
Handicap – Game,Chorale Roanne -6.5,1.943,Chorale Roanne vs Rouen,2025-09-21 23:48:51
Handicap – Game,Rouen +6.5,1.877,Chorale Roanne vs Rouen,2025-09-21 23:48:51
Total – Game,Over 161,1.961,Chorale Roanne vs Rouen,2025-09-21 23:48:51
Total – Game,Under 161,1.854,Chorale Roanne vs Rouen,2025-09-21 23:48:51
Total – Game,Over 161,1.961,Chorale Roanne vs Rouen,2025-09-22 02:03:40
Total – Game,Under 161,1.854,Chorale Roanne vs Rouen,2025-09-22 02:03:40
Handicap – Game,Rouen +6.5,1.877,Chorale Roanne vs Rouen,2025-09-22 02:03:40
Money Line – Game,Chorale Roanne,1.328,Chorale Roanne vs Rouen,2025-09-22 02:03:40
Money Line – Game,Rouen,3.28,Chorale Roanne vs Rouen,2025-09-22 02:03:40
Handicap – Game,Chorale Roanne -6.5,1.943,Chorale Roanne vs Rouen,2025-09-22 02:03:40
Money Line – Game,Chorale Roanne,1.328,Chorale Roanne vs Rouen,2025-09-22 02:07:40
Money Line – Game,Rouen,3.28,Chorale Roanne vs Rouen,2025-09-22 02:07:40
Handicap – Game,Chorale Roanne -6.5,1.943,Chorale Roanne vs Rouen,2025-09-22 02:07:40
Handicap – Game,Rouen +6.5,1.877,Chorale Roanne vs Rouen,2025-09-22 02:07:40
Total – Game,Over 161,1.961,Chorale Roanne vs Rouen,2025-09-22 02:07:40
Total – Game,Under 161,1.854,Chorale Roanne vs Rouen,2025-09-22 02:07:40
Money Line – Game,Chorale Roanne,1.328,Chorale Roanne vs Rouen,2025-09-22 03:21:48
Money Line – Game,Rouen,3.28,Chorale Roanne vs Rouen,2025-09-22 03:21:48
Handicap – Game,Chorale Roanne -6.5,1.943,Chorale Roanne vs Rouen,2025-09-22 03:21:48
Handicap – Game,Rouen +6.5,1.877,Chorale Roanne vs Rouen,2025-09-22 03:21:48
Total – Game,Over 161,1.961,Chorale Roanne vs Rouen,2025-09-22 03:21:48
Total – Game,Under 161,1.854,Chorale Roanne vs Rouen,2025-09-22 03:21:48
Total – Game,Under 161,1.854,Chorale Roanne vs Rouen,2025-09-22 03:51:32
Handicap – Game,Rouen +6.5,1.877,Chorale Roanne vs Rouen,2025-09-22 03:51:32
Total – Game,Over 161,1.961,Chorale Roanne vs Rouen,2025-09-22 03:51:32
Money Line – Game,Rouen,3.28,Chorale Roanne vs Rouen,2025-09-22 03:51:32
Handicap – Game,Chorale Roanne -6.5,1.943,Chorale Roanne vs Rouen,2025-09-22 03:51:32
Money Line – Game,Chorale Roanne,1.328,Chorale Roanne vs Rouen,2025-09-22 03:51:32
Total – Game,Over 161,1.961,Chorale Roanne vs Rouen,2025-09-22 03:56:03
Handicap – Game,Rouen +6.5,1.877,Chorale Roanne vs Rouen,2025-09-22 03:56:03
Total – Game,Under 161,1.854,Chorale Roanne vs Rouen,2025-09-22 03:56:03
Money Line – Game,Rouen,3.28,Chorale Roanne vs Rouen,2025-09-22 03:56:03
Money Line – Game,Chorale Roanne,1.328,Chorale Roanne vs Rouen,2025-09-22 03:56:03
Handicap – Game,Chorale Roanne -6.5,1.943,Chorale Roanne vs Rouen,2025-09-22 03:56:03
Money Line – Game,Chorale Roanne,1.328,Chorale Roanne vs Rouen,2025-09-22 04:39:20
Money Line – Game,Rouen,3.28,Chorale Roanne vs Rouen,2025-09-22 04:39:20
Handicap – Game,Chorale Roanne -6.5,1.943,Chorale Roanne vs Rouen,2025-09-22 04:39:20
Handicap – Game,Rouen +6.5,1.877,Chorale Roanne vs Rouen,2025-09-22 04:39:20
Total – Game,Over 161,1.961,Chorale Roanne vs Rouen,2025-09-22 04:39:20
Total – Game,Under 161,1.854,Chorale Roanne vs Rouen,2025-09-22 04:39:20
Total – Game,Over 161,1.961,Chorale Roanne vs Rouen,2025-09-22 05:08:35
Handicap – Game,Rouen +6.5,1.877,Chorale Roanne vs Rouen,2025-09-22 05:08:35
Total – Game,Under 161,1.854,Chorale Roanne vs Rouen,2025-09-22 05:08:35
Money Line – Game,Rouen,3.28,Chorale Roanne vs Rouen,2025-09-22 05:08:35
Money Line – Game,Chorale Roanne,1.328,Chorale Roanne vs Rouen,2025-09-22 05:08:35
Handicap – Game,Chorale Roanne -6.5,1.943,Chorale Roanne vs Rouen,2025-09-22 05:08:35
Money Line – Game,Chorale Roanne,1.328,Chorale Roanne vs Rouen,2025-09-22 05:59:55
Money Line – Game,Rouen,3.28,Chorale Roanne vs Rouen,2025-09-22 05:59:55
Handicap – Game,Chorale Roanne -6.5,1.943,Chorale Roanne vs Rouen,2025-09-22 05:59:55
Handicap – Game,Rouen +6.5,1.877,Chorale Roanne vs Rouen,2025-09-22 05:59:55
Total – Game,Over 161,1.961,Chorale Roanne vs Rouen,2025-09-22 05:59:55
Total – Game,Under 161,1.854,Chorale Roanne vs Rouen,2025-09-22 05:59:55
Total – Game,Under 161,1.854,Chorale Roanne vs Rouen,2025-09-22 06:04:17
Total – Game,Over 161,1.961,Chorale Roanne vs Rouen,2025-09-22 06:04:17
Handicap – Game,Rouen +6.5,1.877,Chorale Roanne vs Rouen,2025-09-22 06:04:17
Handicap – Game,Chorale Roanne -6.5,1.943,Chorale Roanne vs Rouen,2025-09-22 06:04:17
Money Line – Game,Chorale Roanne,1.328,Chorale Roanne vs Rouen,2025-09-22 06:04:17
Money Line – Game,Rouen,3.28,Chorale Roanne vs Rouen,2025-09-22 06:04:17
Money Line – Game,Chorale Roanne,1.328,Chorale Roanne vs Rouen,2025-09-23 02:02:07
Money Line – Game,Rouen,3.28,Chorale Roanne vs Rouen,2025-09-23 02:02:07
Handicap – Game,Chorale Roanne -6.5,1.943,Chorale Roanne vs Rouen,2025-09-23 02:02:07
Handicap – Game,Rouen +6.5,1.877,Chorale Roanne vs Rouen,2025-09-23 02:02:07
Total – Game,Over 161,1.961,Chorale Roanne vs Rouen,2025-09-23 02:02:07
Total – Game,Under 161,1.854,Chorale Roanne vs Rouen,2025-09-23 02:02:07
Total – Game,Over 161,1.961,Chorale Roanne vs Rouen,2025-09-23 03:07:48
Total – Game,Under 161,1.854,Chorale Roanne vs Rouen,2025-09-23 03:07:48
Handicap – Game,Rouen +6.5,1.877,Chorale Roanne vs Rouen,2025-09-23 03:07:48
Money Line – Game,Rouen,3.28,Chorale Roanne vs Rouen,2025-09-23 03:07:48
Money Line – Game,Chorale Roanne,1.328,Chorale Roanne vs Rouen,2025-09-23 03:07:48
Handicap – Game,Chorale Roanne -6.5,1.943,Chorale Roanne vs Rouen,2025-09-23 03:07:48
Money Line – Game,Chorale Roanne,1.328,Chorale Roanne vs Rouen,2025-09-23 03:46:39
Money Line – Game,Rouen,3.28,Chorale Roanne vs Rouen,2025-09-23 03:46:39
Handicap – Game,Chorale Roanne -6.5,1.943,Chorale Roanne vs Rouen,2025-09-23 03:46:39
Handicap – Game,Rouen +6.5,1.877,Chorale Roanne vs Rouen,2025-09-23 03:46:39
Total – Game,Over 161,1.961,Chorale Roanne vs Rouen,2025-09-23 03:46:39
Total – Game,Under 161,1.854,Chorale Roanne vs Rouen,2025-09-23 03:46:39
Handicap – Game,Rouen +6.5,1.877,Chorale Roanne vs Rouen,2025-09-23 03:51:40
Total – Game,Under 161,1.854,Chorale Roanne vs Rouen,2025-09-23 03:51:40
Total – Game,Over 161,1.961,Chorale Roanne vs Rouen,2025-09-23 03:51:40
Money Line – Game,Chorale Roanne,1.328,Chorale Roanne vs Rouen,2025-09-23 03:51:40
Money Line – Game,Rouen,3.28,Chorale Roanne vs Rouen,2025-09-23 03:51:40
Handicap – Game,Chorale Roanne -6.5,1.943,Chorale Roanne vs Rouen,2025-09-23 03:51:40
Total – Game,Over 161,1.961,Chorale Roanne vs Rouen,2025-09-23 04:00:04
Total – Game,Under 161,1.854,Chorale Roanne vs Rouen,2025-09-23 04:00:04
Handicap – Game,Rouen +6.5,1.877,Chorale Roanne vs Rouen,2025-09-23 04:00:04
Handicap – Game,Chorale Roanne -6.5,1.943,Chorale Roanne vs Rouen,2025-09-23 04:00:04
