team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Mulhouse,Besancon,https://www.pinnacle.com/en/basketball/france-cup/mulhouse-vs-besancon/1615124444/,1.225,4.06,-8.5,1.909,8.5,1.909,149.5,1.909,149.5,1.909,2025-09-12 16:38:32
Lyon,Saint Vallier,https://www.pinnacle.com/en/basketball/france-cup/lyon-vs-saint-vallier/1615124352/,1.231,4.01,-7.5,1.917,7.5,1.9,156.5,1.877,156.5,1.943,2025-09-12 16:38:32
Charleville Mez,Metz,https://www.pinnacle.com/en/basketball/france-cup/charleville-mez-vs-metz/1615124442/,1.485,2.64,-4.5,1.917,4.5,1.9,164.5,1.917,164.5,1.9,2025-09-12 16:38:32
Orchies,Levallois,https://www.pinnacle.com/en/basketball/france-cup/orchies-vs-levallois/1615124443/,1.497,2.61,-4.5,1.943,4.5,1.877,155.0,1.98,155.0,1.84,2025-09-12 16:38:32
Pays de Fougeres,Lorient,https://www.pinnacle.com/en/basketball/france-cup/pays-de-fougeres-vs-lorient/1615124351/,1.689,2.19,-2.5,1.877,2.5,1.943,161.0,1.909,161.0,1.909,2025-09-12 16:38:32
Saint-Chamond,Vichy-Clermont,https://www.pinnacle.com/en/basketball/france-cup/saint-chamond-vs-vichy-clermont/1615164725/,1.699,2.17,-2.5,1.9,2.5,1.917,160.5,1.884,160.5,1.934,2025-09-12 16:38:32
Toulouse,Tarbes Lourdes,https://www.pinnacle.com/en/basketball/france-cup/toulouse-vs-tarbes-lourdes/1615124349/,1.507,2.57,-4.5,1.917,4.5,1.9,153.5,1.909,153.5,1.909,2025-09-12 16:38:32
Toulouse,Tarbes Lourdes,https://www.pinnacle.com/en/basketball/france-cup/toulouse-vs-tarbes-lourdes/1615124349/,1.507,2.57,-4.5,1.917,4.5,1.9,153.5,1.909,153.5,1.909,2025-09-12 16:45:26
Saint-Chamond,Vichy-Clermont,https://www.pinnacle.com/en/basketball/france-cup/saint-chamond-vs-vichy-clermont/1615164725/,1.699,2.17,-2.5,1.9,2.5,1.917,160.5,1.884,160.5,1.934,2025-09-12 16:45:26
Pays de Fougeres,Lorient,https://www.pinnacle.com/en/basketball/france-cup/pays-de-fougeres-vs-lorient/1615124351/,1.689,2.19,-2.5,1.877,2.5,1.943,161.0,1.909,161.0,1.909,2025-09-12 16:45:26
Lyon,Saint Vallier,https://www.pinnacle.com/en/basketball/france-cup/lyon-vs-saint-vallier/1615124352/,1.231,4.01,-7.5,1.917,7.5,1.9,156.5,1.877,156.5,1.943,2025-09-12 16:45:26
Charleville Mez,Metz,https://www.pinnacle.com/en/basketball/france-cup/charleville-mez-vs-metz/1615124442/,1.485,2.64,-4.5,1.917,4.5,1.9,164.5,1.917,164.5,1.9,2025-09-12 16:45:26
Mulhouse,Besancon,https://www.pinnacle.com/en/basketball/france-cup/mulhouse-vs-besancon/1615124444/,1.225,4.06,-8.5,1.909,8.5,1.909,149.5,1.909,149.5,1.909,2025-09-12 16:45:26
Orchies,Levallois,https://www.pinnacle.com/en/basketball/france-cup/orchies-vs-levallois/1615124443/,1.497,2.61,-4.5,1.943,4.5,1.877,155.0,1.98,155.0,1.84,2025-09-12 16:45:26
Saint-Chamond,Vichy-Clermont,https://www.pinnacle.com/en/basketball/france-cup/saint-chamond-vs-vichy-clermont/1615164725/,1.699,2.17,-2.5,1.9,2.5,1.917,160.5,1.884,160.5,1.934,2025-09-12 16:56:19
Toulouse,Tarbes Lourdes,https://www.pinnacle.com/en/basketball/france-cup/toulouse-vs-tarbes-lourdes/1615124349/,1.609,2.34,-3.5,1.9,3.5,1.917,153.5,1.909,153.5,1.909,2025-09-12 16:56:19
Pays de Fougeres,Lorient,https://www.pinnacle.com/en/basketball/france-cup/pays-de-fougeres-vs-lorient/1615124351/,1.689,2.19,-2.5,1.877,2.5,1.943,161.0,1.909,161.0,1.909,2025-09-12 16:56:19
Lyon,Saint Vallier,https://www.pinnacle.com/en/basketball/france-cup/lyon-vs-saint-vallier/1615124352/,1.231,4.01,-7.5,1.917,7.5,1.9,156.5,1.877,156.5,1.943,2025-09-12 16:56:19
Charleville Mez,Metz,https://www.pinnacle.com/en/basketball/france-cup/charleville-mez-vs-metz/1615124442/,1.485,2.64,-4.5,1.917,4.5,1.9,164.5,1.917,164.5,1.9,2025-09-12 16:56:19
Mulhouse,Besancon,https://www.pinnacle.com/en/basketball/france-cup/mulhouse-vs-besancon/1615124444/,1.225,4.06,-8.5,1.909,8.5,1.909,149.5,1.909,149.5,1.909,2025-09-12 16:56:19
Orchies,Levallois,https://www.pinnacle.com/en/basketball/france-cup/orchies-vs-levallois/1615124443/,1.497,2.61,-4.5,1.943,4.5,1.877,155.0,1.98,155.0,1.84,2025-09-12 16:56:19
