team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
BC la Tronche Meylan,Cavigal Nice Basket,https://www.pinnacle.com/en/basketball/france-cup-women/bc-la-tronche-meylan-vs-cavigal-nice-basket/1615308835/,1.321,2.86,-5.5,1.833,5.5,1.833,128.5,1.833,128.5,1.833,2025-09-20 16:29:41
Pays Voirons Basket Club,Montbrison Feminines BC,https://www.pinnacle.com/en/basketball/france-cup-women/pays-voirons-basket-club-vs-montbrison-feminines-bc/1615308834/,1.917,1.757,1.5,1.833,-1.5,1.833,124.5,1.833,124.5,1.833,2025-09-20 16:29:41
Le Havre,Aulnoye AS,https://www.pinnacle.com/en/basketball/france-cup-women/le-havre-vs-aulnoye-as/1615308833/,1.757,1.917,-1.5,1.833,1.5,1.833,135.5,1.84,135.5,1.826,2025-09-20 16:29:41
BC la Tronche Meylan,Cavigal Nice Basket,https://www.pinnacle.com/en/basketball/france-cup-women/bc-la-tronche-meylan-vs-cavigal-nice-basket/1615308835/,1.321,2.86,-5.5,1.833,5.5,1.833,128.5,1.833,128.5,1.833,2025-09-20 16:48:04
Pays Voirons Basket Club,Montbrison Feminines BC,https://www.pinnacle.com/en/basketball/france-cup-women/pays-voirons-basket-club-vs-montbrison-feminines-bc/1615308834/,1.917,1.757,1.5,1.833,-1.5,1.833,124.5,1.833,124.5,1.833,2025-09-20 16:48:04
Le Havre,Aulnoye AS,https://www.pinnacle.com/en/basketball/france-cup-women/le-havre-vs-aulnoye-as/1615308833/,1.757,1.917,-1.5,1.833,1.5,1.833,135.5,1.84,135.5,1.826,2025-09-20 16:48:04
Le Havre,Aulnoye AS,https://www.pinnacle.com/en/basketball/france-cup-women/le-havre-vs-aulnoye-as/1615308833/,1.757,1.917,-1.5,1.833,1.5,1.833,135.5,1.84,135.5,1.826,2025-09-20 16:59:28
Pays Voirons Basket Club,Montbrison Feminines BC,https://www.pinnacle.com/en/basketball/france-cup-women/pays-voirons-basket-club-vs-montbrison-feminines-bc/1615308834/,1.917,1.757,1.5,1.833,-1.5,1.833,124.5,1.833,124.5,1.833,2025-09-20 16:59:28
BC la Tronche Meylan,Cavigal Nice Basket,https://www.pinnacle.com/en/basketball/france-cup-women/bc-la-tronche-meylan-vs-cavigal-nice-basket/1615308835/,1.321,2.86,-5.5,1.833,5.5,1.833,128.5,1.833,128.5,1.833,2025-09-20 16:59:28
BC la Tronche Meylan,Cavigal Nice Basket,https://www.pinnacle.com/en/basketball/france-cup-women/bc-la-tronche-meylan-vs-cavigal-nice-basket/1615308835/,1.321,2.86,-5.5,1.833,5.5,1.833,128.5,1.833,128.5,1.833,2025-09-20 17:22:28
Le Havre,Aulnoye AS,https://www.pinnacle.com/en/basketball/france-cup-women/le-havre-vs-aulnoye-as/1615308833/,1.757,1.917,-1.5,1.833,1.5,1.833,135.5,1.84,135.5,1.826,2025-09-20 17:22:28
Pays Voirons Basket Club,Montbrison Feminines BC,https://www.pinnacle.com/en/basketball/france-cup-women/pays-voirons-basket-club-vs-montbrison-feminines-bc/1615308834/,1.917,1.757,1.5,1.833,-1.5,1.833,124.5,1.833,124.5,1.833,2025-09-20 17:22:28
Pays Voirons Basket Club,Montbrison Feminines BC,https://www.pinnacle.com/en/basketball/france-cup-women/pays-voirons-basket-club-vs-montbrison-feminines-bc/1615308834/,1.917,1.757,1.5,1.833,-1.5,1.833,124.5,1.833,124.5,1.833,2025-09-20 17:42:50
Le Havre,Aulnoye AS,https://www.pinnacle.com/en/basketball/france-cup-women/le-havre-vs-aulnoye-as/1615308833/,1.757,1.917,-1.5,1.833,1.5,1.833,135.5,1.84,135.5,1.826,2025-09-20 17:42:50
BC la Tronche Meylan,Cavigal Nice Basket,https://www.pinnacle.com/en/basketball/france-cup-women/bc-la-tronche-meylan-vs-cavigal-nice-basket/1615308835/,1.42,2.52,-4.0,1.862,4.0,1.806,128.5,1.854,128.5,1.813,2025-09-20 17:42:50
Le Havre,Aulnoye AS,https://www.pinnacle.com/en/basketball/france-cup-women/le-havre-vs-aulnoye-as/1615308833/,1.757,1.917,-1.5,1.833,1.5,1.833,135.5,1.84,135.5,1.826,2025-09-20 17:47:14
Pays Voirons Basket Club,Montbrison Feminines BC,https://www.pinnacle.com/en/basketball/france-cup-women/pays-voirons-basket-club-vs-montbrison-feminines-bc/1615308834/,1.917,1.757,1.5,1.833,-1.5,1.833,124.5,1.833,124.5,1.833,2025-09-20 17:47:14
BC la Tronche Meylan,Cavigal Nice Basket,https://www.pinnacle.com/en/basketball/france-cup-women/bc-la-tronche-meylan-vs-cavigal-nice-basket/1615308835/,1.42,2.52,-4.0,1.862,4.0,1.806,128.5,1.854,128.5,1.813,2025-09-20 17:47:14
