Market,Selection,Odds,matchup,timestamp
Money Line – Game,Poissy,2.27,Poissy vs Lorient,2025-09-19 17:26:10
Total – Game,Under 152.5,1.746,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Total – Game,Over 153,2.07,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Total – Game,Under 153,1.699,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Total – Game,Over 153.5,2.13,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Total – Game,Under 153.5,1.662,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Total – Game,Over 154,2.19,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Total – Game,Under 154,1.625,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Total – Game,Over 154.5,2.25,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Total – Game,Under 154.5,1.591,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Money Line – Game,Rennes,1.168,Rennes vs Val De Seine,2025-09-19 17:26:10
Money Line – Game,Val De Seine,4.22,Rennes vs Val De Seine,2025-09-19 17:26:10
Handicap – Game,Rennes -7.0,1.52,Rennes vs Val De Seine,2025-09-19 17:26:10
Handicap – Game,Val De Seine +7.0,2.25,Rennes vs Val De Seine,2025-09-19 17:26:10
Handicap – Game,Rennes -7.5,1.564,Rennes vs Val De Seine,2025-09-19 17:26:10
Total – Game,Over 152.5,2.01,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Handicap – Game,Val De Seine +7.5,2.17,Rennes vs Val De Seine,2025-09-19 17:26:10
Handicap – Game,Val De Seine +8.0,2.09,Rennes vs Val De Seine,2025-09-19 17:26:10
Handicap – Game,Rennes -8.5,1.671,Rennes vs Val De Seine,2025-09-19 17:26:10
Handicap – Game,Val De Seine +8.5,2.01,Rennes vs Val De Seine,2025-09-19 17:26:10
Handicap – Game,Rennes -9.0,1.735,Rennes vs Val De Seine,2025-09-19 17:26:10
Handicap – Game,Val De Seine +9.0,1.934,Rennes vs Val De Seine,2025-09-19 17:26:10
Handicap – Game,Rennes -9.5,1.847,Rennes vs Val De Seine,2025-09-19 17:26:10
Handicap – Game,Val De Seine +9.5,1.892,Rennes vs Val De Seine,2025-09-19 17:26:10
Handicap – Game,Rennes -10.0,1.892,Rennes vs Val De Seine,2025-09-19 17:26:10
Handicap – Game,Val De Seine +10.0,1.769,Rennes vs Val De Seine,2025-09-19 17:26:10
Handicap – Game,Rennes -10.5,1.97,Rennes vs Val De Seine,2025-09-19 17:26:10
Handicap – Game,Val De Seine +10.5,1.699,Rennes vs Val De Seine,2025-09-19 17:26:10
Handicap – Game,Rennes -11.0,2.04,Rennes vs Val De Seine,2025-09-19 17:26:10
Handicap – Game,Val De Seine +11.0,1.641,Rennes vs Val De Seine,2025-09-19 17:26:10
Handicap – Game,Rennes -11.5,2.12,Rennes vs Val De Seine,2025-09-19 17:26:10
Handicap – Game,Rennes -8.0,1.609,Rennes vs Val De Seine,2025-09-19 17:26:10
Total – Game,Under 152,1.793,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Total – Game,Over 152,1.952,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Total – Game,Under 151.5,1.847,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Handicap – Game,Fos Provence Basket -11.5,1.588,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Handicap – Game,Metz +11.5,2.22,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Handicap – Game,Fos Provence Basket -12.0,1.632,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Handicap – Game,Metz +12.0,2.15,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Handicap – Game,Fos Provence Basket -12.5,1.684,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Handicap – Game,Metz +12.5,2.07,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Handicap – Game,Fos Provence Basket -13.0,1.746,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Handicap – Game,Metz +13.0,1.99,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Handicap – Game,Fos Provence Basket -13.5,1.819,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Handicap – Game,Metz +13.5,1.917,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Handicap – Game,Fos Provence Basket -14.0,1.9,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Handicap – Game,Metz +14.0,1.84,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Handicap – Game,Fos Provence Basket -14.5,1.98,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Handicap – Game,Metz +14.5,1.757,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Handicap – Game,Fos Provence Basket -15.0,2.07,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Handicap – Game,Metz +15.0,1.694,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Handicap – Game,Fos Provence Basket -15.5,2.15,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Total – Game,Over 151.5,1.892,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Total – Game,Under 151,1.9,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Total – Game,Over 151,1.84,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Total – Game,Under 150.5,1.952,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Total – Game,Over 150.5,1.793,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Total – Game,Under 150,2.0,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Handicap – Game,Val De Seine +11.5,1.591,Rennes vs Val De Seine,2025-09-19 17:26:10
Total – Game,Over 150,1.751,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Total – Game,Over 149.5,1.714,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Handicap – Game,Metz +16.5,1.543,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Handicap – Game,Fos Provence Basket -16.5,2.31,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Handicap – Game,Metz +16.0,1.584,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Handicap – Game,Fos Provence Basket -16.0,2.23,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Handicap – Game,Metz +15.5,1.632,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Total – Game,Under 149.5,2.05,Fos Provence Basket vs Metz,2025-09-19 17:26:10
Handicap – Game,Rennes -12.0,2.2,Rennes vs Val De Seine,2025-09-19 17:26:10
Handicap – Game,Val De Seine +12.0,1.549,Rennes vs Val De Seine,2025-09-19 17:26:10
Total – Game,Over 157,1.662,Rennes vs Val De Seine,2025-09-19 17:26:10
Handicap – Game,Toulouse +3.0,1.917,Toulouse vs Les Sables d'Olonne,2025-09-19 17:26:10
Handicap – Game,Les Sables d'Olonne -3.0,1.813,Toulouse vs Les Sables d'Olonne,2025-09-19 17:26:10
Handicap – Game,Toulouse +2.5,2.0,Toulouse vs Les Sables d'Olonne,2025-09-19 17:26:10
Handicap – Game,Les Sables d'Olonne -2.5,1.74,Toulouse vs Les Sables d'Olonne,2025-09-19 17:26:10
Handicap – Game,Toulouse +2.0,2.09,Toulouse vs Les Sables d'Olonne,2025-09-19 17:26:10
Handicap – Game,Les Sables d'Olonne -2.0,1.666,Toulouse vs Les Sables d'Olonne,2025-09-19 17:26:10
Handicap – Game,Toulouse +1.5,2.19,Toulouse vs Les Sables d'Olonne,2025-09-19 17:26:10
Handicap – Game,Les Sables d'Olonne -1.5,1.609,Toulouse vs Les Sables d'Olonne,2025-09-19 17:26:10
Handicap – Game,Toulouse +1.0,2.25,Toulouse vs Les Sables d'Olonne,2025-09-19 17:26:10
Handicap – Game,Les Sables d'Olonne -1.0,1.578,Toulouse vs Les Sables d'Olonne,2025-09-19 17:26:10
Total – Game,Over 146,1.653,Toulouse vs Les Sables d'Olonne,2025-09-19 17:26:10
Total – Game,Over 146.5,1.689,Toulouse vs Les Sables d'Olonne,2025-09-19 17:26:10
Total – Game,Under 146.5,2.09,Toulouse vs Les Sables d'Olonne,2025-09-19 17:26:10
Total – Game,Over 147,1.729,Toulouse vs Les Sables d'Olonne,2025-09-19 17:26:10
Total – Game,Under 147,2.03,Toulouse vs Les Sables d'Olonne,2025-09-19 17:26:10
Total – Game,Over 147.5,1.769,Toulouse vs Les Sables d'Olonne,2025-09-19 17:26:10
Total – Game,Under 147.5,1.98,Toulouse vs Les Sables d'Olonne,2025-09-19 17:26:10
Total – Game,Under 151,1.649,Toulouse vs Les Sables d'Olonne,2025-09-19 17:26:10
Total – Game,Over 151,2.15,Toulouse vs Les Sables d'Olonne,2025-09-19 17:26:10
Total – Game,Under 150.5,1.684,Toulouse vs Les Sables d'Olonne,2025-09-19 17:26:10
