team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Poissy,Lorient,https://www.pinnacle.com/en/basketball/france-nationale-1/poissy-vs-lorient/1615419993/,2.27,1.578,3.5,1.847,-3.5,1.884,161.5,1.877,161.5,1.862,2025-09-19 17:26:10
Pays de Fougeres,Chartres,https://www.pinnacle.com/en/basketball/france-nationale-1/pays-de-fougeres-vs-chartres/1615672427/,2.24,1.598,3.0,1.84,-3.0,1.9,152.5,1.787,152.5,1.952,2025-09-19 17:26:10
Toulouse,Les Sables d'Olonne,https://www.pinnacle.com/en/basketball/france-nationale-1/toulouse-vs-les-sables-dolonne/1615434389/,2.26,1.588,3.5,1.84,-3.5,1.9,148.5,1.869,148.5,1.869,2025-09-19 17:26:10
Le Havre,Besancon,https://www.pinnacle.com/en/basketball/france-nationale-1/le-havre-vs-besancon/1615644316/,1.161,4.3,-9.5,1.869,9.5,1.869,151.5,1.869,151.5,1.869,2025-09-19 17:26:10
Mulhouse,Saint Vallier,https://www.pinnacle.com/en/basketball/france-nationale-1/mulhouse-vs-saint-vallier/1615644317/,1.251,3.46,-7.5,1.862,7.5,1.877,153.5,1.869,153.5,1.869,2025-09-19 17:26:10
Boulogne Sur Mer,Pays Salonais Basket 13,https://www.pinnacle.com/en/basketball/france-nationale-1/boulogne-sur-mer-vs-pays-salonais-basket-13/1615672429/,1.235,3.58,-7.0,1.854,7.0,1.884,156.0,1.934,156.0,1.806,2025-09-19 17:26:10
Rennes,Val De Seine,https://www.pinnacle.com/en/basketball/france-nationale-1/rennes-vs-val-de-seine/1615646580/,1.168,4.22,-9.5,1.847,9.5,1.892,159.5,1.925,159.5,1.819,2025-09-19 17:26:10
Orchies,Charleville Mez,https://www.pinnacle.com/en/basketball/france-nationale-1/orchies-vs-charleville-mez/1615652381/,1.063,6.53,-13.5,1.9,13.5,1.84,158.5,1.943,158.5,1.8,2025-09-19 17:26:10
Angers,Vitre,https://www.pinnacle.com/en/basketball/france-nationale-1/angers-vs-vitre/1615644314/,1.284,3.26,-7.0,1.813,7.0,1.925,149.5,1.854,149.5,1.884,2025-09-19 17:26:10
Tarbes Lourdes,Tours,https://www.pinnacle.com/en/basketball/france-nationale-1/tarbes-lourdes-vs-tours/1615646581/,1.666,2.12,-2.5,1.869,2.5,1.869,160.5,1.877,160.5,1.862,2025-09-19 17:26:10
Loon Plage,Lyon,https://www.pinnacle.com/en/basketball/france-nationale-1/loon-plage-vs-lyon/1615644315/,1.448,2.59,-4.5,1.869,4.5,1.869,149.5,1.952,149.5,1.793,2025-09-19 17:26:10
Fos Provence Basket,Metz,https://www.pinnacle.com/en/basketball/france-nationale-1/fos-provence-basket-vs-metz/1615665594/,1.056,6.85,-14.0,1.9,14.0,1.84,152.0,1.952,152.0,1.793,2025-09-19 17:26:10
Mulhouse,Saint Vallier,https://www.pinnacle.com/en/basketball/france-nationale-1/mulhouse-vs-saint-vallier/1615644317/,1.251,3.46,-7.5,1.862,7.5,1.877,153.5,1.869,153.5,1.869,2025-09-19 17:34:58
Pays de Fougeres,Chartres,https://www.pinnacle.com/en/basketball/france-nationale-1/pays-de-fougeres-vs-chartres/1615672427/,2.24,1.598,3.0,1.84,-3.0,1.9,152.5,1.787,152.5,1.952,2025-09-19 17:34:58
Toulouse,Les Sables d'Olonne,https://www.pinnacle.com/en/basketball/france-nationale-1/toulouse-vs-les-sables-dolonne/1615434389/,2.26,1.588,3.5,1.84,-3.5,1.9,148.5,1.869,148.5,1.869,2025-09-19 17:34:58
Le Havre,Besancon,https://www.pinnacle.com/en/basketball/france-nationale-1/le-havre-vs-besancon/1615644316/,1.161,4.3,-9.5,1.869,9.5,1.869,151.5,1.869,151.5,1.869,2025-09-19 17:34:58
Rennes,Val De Seine,https://www.pinnacle.com/en/basketball/france-nationale-1/rennes-vs-val-de-seine/1615646580/,1.168,4.22,-9.5,1.847,9.5,1.892,159.5,1.925,159.5,1.819,2025-09-19 17:34:58
Boulogne Sur Mer,Pays Salonais Basket 13,https://www.pinnacle.com/en/basketball/france-nationale-1/boulogne-sur-mer-vs-pays-salonais-basket-13/1615672429/,1.235,3.58,-7.0,1.854,7.0,1.884,156.0,1.934,156.0,1.806,2025-09-19 17:34:58
Tarbes Lourdes,Tours,https://www.pinnacle.com/en/basketball/france-nationale-1/tarbes-lourdes-vs-tours/1615646581/,1.666,2.12,-2.5,1.869,2.5,1.869,160.5,1.877,160.5,1.862,2025-09-19 17:34:58
Orchies,Charleville Mez,https://www.pinnacle.com/en/basketball/france-nationale-1/orchies-vs-charleville-mez/1615652381/,1.063,6.53,-13.5,1.9,13.5,1.84,158.5,1.943,158.5,1.8,2025-09-19 17:34:58
Angers,Vitre,https://www.pinnacle.com/en/basketball/france-nationale-1/angers-vs-vitre/1615644314/,1.284,3.26,-7.0,1.813,7.0,1.925,149.5,1.854,149.5,1.884,2025-09-19 17:34:58
Loon Plage,Lyon,https://www.pinnacle.com/en/basketball/france-nationale-1/loon-plage-vs-lyon/1615644315/,1.448,2.59,-4.5,1.869,4.5,1.869,149.5,1.952,149.5,1.793,2025-09-19 17:34:58
Poissy,Lorient,https://www.pinnacle.com/en/basketball/france-nationale-1/poissy-vs-lorient/1615419993/,2.27,1.578,3.5,1.847,-3.5,1.884,161.5,1.877,161.5,1.862,2025-09-19 17:34:58
Fos Provence Basket,Metz,https://www.pinnacle.com/en/basketball/france-nationale-1/fos-provence-basket-vs-metz/1615665594/,1.056,6.85,-14.0,1.9,14.0,1.84,152.0,1.952,152.0,1.793,2025-09-19 17:34:58
Mulhouse,Saint Vallier,https://www.pinnacle.com/en/basketball/france-nationale-1/mulhouse-vs-saint-vallier/1615644317/,1.251,3.46,-7.5,1.862,7.5,1.877,153.5,1.869,153.5,1.869,2025-09-19 17:46:42
Pays de Fougeres,Chartres,https://www.pinnacle.com/en/basketball/france-nationale-1/pays-de-fougeres-vs-chartres/1615672427/,2.24,1.598,3.0,1.84,-3.0,1.9,152.5,1.787,152.5,1.952,2025-09-19 17:46:42
Toulouse,Les Sables d'Olonne,https://www.pinnacle.com/en/basketball/france-nationale-1/toulouse-vs-les-sables-dolonne/1615434389/,2.26,1.588,3.5,1.84,-3.5,1.9,148.5,1.869,148.5,1.869,2025-09-19 17:46:42
Le Havre,Besancon,https://www.pinnacle.com/en/basketball/france-nationale-1/le-havre-vs-besancon/1615644316/,1.161,4.3,-9.5,1.869,9.5,1.869,151.5,1.869,151.5,1.869,2025-09-19 17:46:42
Fos Provence Basket,Metz,https://www.pinnacle.com/en/basketball/france-nationale-1/fos-provence-basket-vs-metz/1615665594/,1.056,6.85,-14.0,1.9,14.0,1.84,152.0,1.952,152.0,1.793,2025-09-19 17:46:42
Tarbes Lourdes,Tours,https://www.pinnacle.com/en/basketball/france-nationale-1/tarbes-lourdes-vs-tours/1615646581/,1.666,2.12,-2.5,1.869,2.5,1.869,160.5,1.877,160.5,1.862,2025-09-19 17:46:42
Orchies,Charleville Mez,https://www.pinnacle.com/en/basketball/france-nationale-1/orchies-vs-charleville-mez/1615652381/,1.063,6.53,-13.5,1.9,13.5,1.84,158.5,1.943,158.5,1.8,2025-09-19 17:46:42
Angers,Vitre,https://www.pinnacle.com/en/basketball/france-nationale-1/angers-vs-vitre/1615644314/,1.284,3.26,-7.0,1.813,7.0,1.925,149.5,1.854,149.5,1.884,2025-09-19 17:46:42
Boulogne Sur Mer,Pays Salonais Basket 13,https://www.pinnacle.com/en/basketball/france-nationale-1/boulogne-sur-mer-vs-pays-salonais-basket-13/1615672429/,1.235,3.58,-7.0,1.854,7.0,1.884,156.0,1.934,156.0,1.806,2025-09-19 17:46:42
Poissy,Lorient,https://www.pinnacle.com/en/basketball/france-nationale-1/poissy-vs-lorient/1615419993/,2.27,1.578,3.5,1.847,-3.5,1.884,161.5,1.877,161.5,1.862,2025-09-19 17:46:42
Rennes,Val De Seine,https://www.pinnacle.com/en/basketball/france-nationale-1/rennes-vs-val-de-seine/1615646580/,1.168,4.22,-9.5,1.847,9.5,1.892,159.5,1.925,159.5,1.819,2025-09-19 17:46:42
Loon Plage,Lyon,https://www.pinnacle.com/en/basketball/france-nationale-1/loon-plage-vs-lyon/1615644315/,1.448,2.59,-4.5,1.869,4.5,1.869,149.5,1.952,149.5,1.793,2025-09-19 17:46:42
Toulouse,Les Sables d'Olonne,https://www.pinnacle.com/en/basketball/france-nationale-1/toulouse-vs-les-sables-dolonne/1615434389/,2.26,1.588,3.5,1.84,-3.5,1.9,148.5,1.869,148.5,1.869,2025-09-19 17:58:44
Pays de Fougeres,Chartres,https://www.pinnacle.com/en/basketball/france-nationale-1/pays-de-fougeres-vs-chartres/1615672427/,2.24,1.598,3.0,1.84,-3.0,1.9,152.5,1.787,152.5,1.952,2025-09-19 17:58:44
Orchies,Charleville Mez,https://www.pinnacle.com/en/basketball/france-nationale-1/orchies-vs-charleville-mez/1615652381/,1.064,6.5,-13.5,1.892,13.5,1.84,158.5,1.952,158.5,1.793,2025-09-19 17:58:44
Mulhouse,Saint Vallier,https://www.pinnacle.com/en/basketball/france-nationale-1/mulhouse-vs-saint-vallier/1615644317/,1.25,3.47,-7.5,1.854,7.5,1.884,153.5,1.869,153.5,1.869,2025-09-19 17:58:44
Tarbes Lourdes,Tours,https://www.pinnacle.com/en/basketball/france-nationale-1/tarbes-lourdes-vs-tours/1615646581/,1.666,2.12,-2.5,1.869,2.5,1.869,160.5,1.884,160.5,1.854,2025-09-19 17:58:44
Le Havre,Besancon,https://www.pinnacle.com/en/basketball/france-nationale-1/le-havre-vs-besancon/1615644316/,1.161,4.3,-9.5,1.869,9.5,1.869,151.5,1.869,151.5,1.869,2025-09-19 17:58:44
