Market,Selection,Odds,matchup,timestamp
Money Line – Game,Le Mans Sarthe Basket,3.53,Le Mans Sarthe Basket vs Paris,2025-09-20 16:30:28
Money Line – Game,Paris,1.289,Le Mans Sarthe Basket vs Paris,2025-09-20 16:30:28
Handicap – Game,Le Mans Sarthe Basket +8.5,1.819,Le Mans Sarthe Basket vs Paris,2025-09-20 16:30:28
Handicap – Game,Paris -8.5,2.01,Le Mans Sarthe Basket vs Paris,2025-09-20 16:30:28
Total – Game,Over 176.5,1.862,Le Mans Sarthe Basket vs Paris,2025-09-20 16:30:28
Total – Game,Under 176.5,1.952,Le Mans Sarthe Basket vs Paris,2025-09-20 16:30:28
Money Line – Game,Le Mans Sarthe Basket,3.53,Le Mans Sarthe Basket vs Paris,2025-09-20 16:49:06
Money Line – Game,Paris,1.289,Le Mans Sarthe Basket vs Paris,2025-09-20 16:49:06
Handicap – Game,Le Mans Sarthe Basket +8.5,1.819,Le Mans Sarthe Basket vs Paris,2025-09-20 16:49:06
Handicap – Game,Paris -8.5,2.01,Le Mans Sarthe Basket vs Paris,2025-09-20 16:49:06
Total – Game,Over 176.5,1.862,Le Mans Sarthe Basket vs Paris,2025-09-20 16:49:06
Total – Game,Under 176.5,1.952,Le Mans Sarthe Basket vs Paris,2025-09-20 16:49:06
