Market,Selection,Odds,matchup,timestamp
Money Line – Game,Akhaltsikhe,1.42,Akhaltsikhe vs Black Fortress,2026-02-02 11:10:04
Money Line – Game,Black Fortress,2.52,Akhaltsikhe vs Black Fortress,2026-02-02 11:10:04
Handicap – Game,Akhaltsikhe -4.5,1.833,Akhaltsikhe vs Black Fortress,2026-02-02 11:10:04
Handicap – Game,Black Fortress +4.5,1.833,Akhaltsikhe vs Black Fortress,2026-02-02 11:10:04
Total – Game,Over 190.5,1.869,Akhaltsikhe vs Black Fortress,2026-02-02 11:10:04
Total – Game,Under 190.5,1.8,Akhaltsikhe vs Black Fortress,2026-02-02 11:10:04
Money Line – Game,Akhaltsikhe,1.416,Akhaltsikhe vs Black Fortress,2026-02-02 13:53:55
Money Line – Game,Black Fortress,2.53,Akhaltsikhe vs Black Fortress,2026-02-02 13:53:55
Handicap – Game,Akhaltsikhe -4.5,1.813,Akhaltsikhe vs Black Fortress,2026-02-02 13:53:55
Handicap – Game,Black Fortress +4.5,1.854,Akhaltsikhe vs Black Fortress,2026-02-02 13:53:55
Total – Game,Over 201,1.84,Akhaltsikhe vs Black Fortress,2026-02-02 13:53:55
Total – Game,Under 201,1.826,Akhaltsikhe vs Black Fortress,2026-02-02 13:53:55
Money Line – Game,Akhaltsikhe,1.97,Akhaltsikhe vs Liberty,2026-02-08 21:54:03
Money Line – Game,Liberty,1.653,Akhaltsikhe vs Liberty,2026-02-08 21:54:03
Handicap – Game,Akhaltsikhe +2.0,1.806,Akhaltsikhe vs Liberty,2026-02-08 21:54:03
Handicap – Game,Liberty -2.0,1.793,Akhaltsikhe vs Liberty,2026-02-08 21:54:03
Total – Game,Over 176.5,1.826,Akhaltsikhe vs Liberty,2026-02-08 21:54:03
Total – Game,Under 176.5,1.775,Akhaltsikhe vs Liberty,2026-02-08 21:54:03
Money Line – Game,Akhaltsikhe,1.97,Akhaltsikhe vs Liberty,2026-02-08 23:56:25
