Market,Selection,Odds,matchup,timestamp
Money Line – Game,BC Kutaisi,1.267,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Money Line – Game,BC Rustavi,3.11,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Handicap – Game,BC Kutaisi -4.0,1.523,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Handicap – Game,BC Rustavi +4.0,2.24,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Handicap – Game,BC Kutaisi -4.5,1.568,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Handicap – Game,BC Rustavi +4.5,2.16,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Handicap – Game,BC Kutaisi -5.0,1.613,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Handicap – Game,BC Rustavi +5.0,2.08,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Handicap – Game,BC Kutaisi -5.5,1.675,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Handicap – Game,BC Rustavi +5.5,2.01,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Handicap – Game,BC Kutaisi -6.0,1.74,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Handicap – Game,BC Rustavi +6.0,1.925,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Handicap – Game,BC Kutaisi -6.5,1.819,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Handicap – Game,BC Rustavi +6.5,1.847,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Handicap – Game,BC Kutaisi -7.0,1.9,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Handicap – Game,BC Rustavi +7.0,1.769,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Handicap – Game,BC Kutaisi -7.5,1.97,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Handicap – Game,BC Rustavi +7.5,1.699,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Handicap – Game,BC Kutaisi -8.0,2.05,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Handicap – Game,BC Rustavi +8.0,1.636,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Handicap – Game,BC Kutaisi -8.5,2.13,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Handicap – Game,BC Rustavi +8.5,1.588,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Handicap – Game,BC Kutaisi -9.0,2.2,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Handicap – Game,BC Rustavi +9.0,1.543,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Total – Game,Over 169.5,1.602,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Total – Game,Under 169.5,2.13,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Total – Game,Over 170,1.636,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Total – Game,Under 170,2.08,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Total – Game,Over 170.5,1.671,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Total – Game,Under 170.5,2.02,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Total – Game,Over 171,1.714,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Total – Game,Under 171,1.97,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Total – Game,Over 171.5,1.757,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Total – Game,Under 171.5,1.909,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Total – Game,Over 172,1.813,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Total – Game,Under 172,1.854,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Total – Game,Over 172.5,1.862,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Total – Game,Under 172.5,1.8,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Total – Game,Over 173,1.917,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Total – Game,Under 173,1.757,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Total – Game,Over 173.5,1.97,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Total – Game,Under 173.5,1.709,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Total – Game,Over 174,2.02,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Total – Game,Under 174,1.671,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Total – Game,Over 174.5,2.08,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Total – Game,Under 174.5,1.636,BC Kutaisi vs BC Rustavi,2026-02-08 21:53:58
Money Line – Game,BC Kutaisi,1.267,BC Kutaisi vs BC Rustavi,2026-02-08 22:58:34
Money Line – Game,BC Rustavi,3.11,BC Kutaisi vs BC Rustavi,2026-02-08 22:58:34
Handicap – Game,BC Kutaisi -4.0,1.523,BC Kutaisi vs BC Rustavi,2026-02-08 22:58:34
Handicap – Game,BC Rustavi +4.0,2.24,BC Kutaisi vs BC Rustavi,2026-02-08 22:58:34
Handicap – Game,BC Kutaisi -4.5,1.568,BC Kutaisi vs BC Rustavi,2026-02-08 22:58:34
Handicap – Game,BC Rustavi +4.5,2.16,BC Kutaisi vs BC Rustavi,2026-02-08 22:58:34
Handicap – Game,BC Kutaisi -5.0,1.613,BC Kutaisi vs BC Rustavi,2026-02-08 22:58:34
Handicap – Game,BC Rustavi +5.0,2.08,BC Kutaisi vs BC Rustavi,2026-02-08 22:58:34
Handicap – Game,BC Kutaisi -5.5,1.675,BC Kutaisi vs BC Rustavi,2026-02-08 22:58:34
Handicap – Game,BC Rustavi +5.5,2.01,BC Kutaisi vs BC Rustavi,2026-02-08 22:58:34
Handicap – Game,BC Kutaisi -6.0,1.74,BC Kutaisi vs BC Rustavi,2026-02-08 22:58:34
Handicap – Game,BC Rustavi +6.0,1.925,BC Kutaisi vs BC Rustavi,2026-02-08 22:58:34
