team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
BC Kutaisi,BC Rustavi,https://www.pinnacle.com/en/basketball/georgia-super-league/bc-kutaisi-vs-bc-rustavi/1623456887/,1.267,3.11,-6.5,1.819,6.5,1.847,172.0,1.813,172.0,1.854,2026-02-08 21:53:58
BC Kutaisi,BC Rustavi,https://www.pinnacle.com/en/basketball/georgia-super-league/bc-kutaisi-vs-bc-rustavi/1623456887/,1.267,3.11,-6.5,1.819,6.5,1.847,172.0,1.813,172.0,1.854,2026-02-08 22:58:34
BC Kutaisi,BC Rustavi,https://www.pinnacle.com/en/basketball/georgia-super-league/bc-kutaisi-vs-bc-rustavi/1623456887/,1.267,3.11,-6.5,1.819,6.5,1.847,172.0,1.813,172.0,1.854,2026-02-08 23:56:19
BC Kutaisi,BC Rustavi,https://www.pinnacle.com/en/basketball/georgia-super-league/bc-kutaisi-vs-bc-rustavi/1623456887/,1.266,3.11,-6.5,1.806,6.5,1.854,176.0,1.909,176.0,1.763,2026-02-09 04:12:33
BC Kutaisi,BC Rustavi,https://www.pinnacle.com/en/basketball/georgia-super-league/bc-kutaisi-vs-bc-rustavi/1623456887/,1.267,3.11,-6.5,1.819,6.5,1.847,172.5,1.847,172.5,1.819,2026-02-09 06:53:01
BC Kutaisi,BC Rustavi,https://www.pinnacle.com/en/basketball/georgia-super-league/bc-kutaisi-vs-bc-rustavi/1623456887/,1.294,3.2,-6.5,1.854,6.5,1.884,172.5,1.847,172.5,1.892,2026-02-09 11:35:47
BC Kutaisi,BC Rustavi,https://www.pinnacle.com/en/basketball/georgia-super-league/bc-kutaisi-vs-bc-rustavi/1623456887/,1.294,3.2,-6.5,1.854,6.5,1.884,172.5,1.819,172.5,1.917,2026-02-09 12:35:48
BC Gurjaani Delta,BC Rustavi,https://www.pinnacle.com/en/basketball/georgia-super-league/bc-gurjaani-delta-vs-bc-rustavi/1625793479/,1.757,1.917,-1.5,1.833,1.5,1.833,165.5,1.84,165.5,1.826,2026-03-16 04:52:01
BC Gurjaani Delta,BC Rustavi,https://www.pinnacle.com/en/basketball/georgia-super-league/bc-gurjaani-delta-vs-bc-rustavi/1625793479/,1.757,1.917,-1.5,1.833,1.5,1.833,165.5,1.84,165.5,1.826,2026-03-16 06:21:52
BC Gurjaani Delta,BC Rustavi,https://www.pinnacle.com/en/basketball/georgia-super-league/bc-gurjaani-delta-vs-bc-rustavi/1625793479/,1.869,1.8,1.0,1.826,-1.0,1.84,164.5,1.884,164.5,1.781,2026-03-16 07:52:22
BC Gurjaani Delta,BC Rustavi,https://www.pinnacle.com/en/basketball/georgia-super-league/bc-gurjaani-delta-vs-bc-rustavi/1625793479/,1.869,1.8,1.0,1.826,-1.0,1.84,164.5,1.884,164.5,1.781,2026-03-16 08:53:43
BC Gurjaani Delta,BC Rustavi,https://www.pinnacle.com/en/basketball/georgia-super-league/bc-gurjaani-delta-vs-bc-rustavi/1625793479/,1.909,1.833,1.0,1.862,-1.0,1.877,164.5,1.925,164.5,1.819,2026-03-16 10:02:36
BC Gurjaani Delta,BC Rustavi,https://www.pinnacle.com/en/basketball/georgia-super-league/bc-gurjaani-delta-vs-bc-rustavi/1625793479/,1.8,1.943,-1.0,1.847,1.0,1.892,164.5,1.925,164.5,1.819,2026-03-16 10:58:52
BC Gurjaani Delta,BC Rustavi,https://www.pinnacle.com/en/basketball/georgia-super-league/bc-gurjaani-delta-vs-bc-rustavi/1625793479/,1.8,1.943,-1.0,1.847,1.0,1.892,164.5,1.925,164.5,1.819,2026-03-16 11:55:15
BC Gurjaani Delta,BC Rustavi,https://www.pinnacle.com/en/basketball/georgia-super-league/bc-gurjaani-delta-vs-bc-rustavi/1625793479/,1.8,1.943,-1.0,1.847,1.0,1.892,164.5,1.925,164.5,1.819,2026-03-16 12:53:59
BC Gurjaani Delta,BC Rustavi,https://www.pinnacle.com/en/basketball/georgia-super-league/bc-gurjaani-delta-vs-bc-rustavi/1625793479/,1.806,1.934,-1.0,1.854,1.0,1.884,164.5,1.961,164.5,1.787,2026-03-16 14:09:41
Kavkasia BC,TSU Hyundai,https://www.pinnacle.com/en/basketball/georgia-super-league/kavkasia-bc-vs-tsu-hyundai/1628954775/,3.360,1.223,+7.5,1.833,-7.5,1.833,162.5,1.877,162.5,1.793,2026-04-27 23:41:12
