Market,Selection,Odds,matchup,timestamp
Money Line – Game,Phoenix Hagen,3.79,Phoenix Hagen vs Rostock Seawolves,2025-09-22 08:37:19
Total – Game,Under 168.5,1.869,Tigers Tubingen vs TBB Trier,2025-09-22 08:37:19
Total – Game,Over 168.5,1.84,Tigers Tubingen vs TBB Trier,2025-09-22 08:37:19
Handicap – Game,TBB Trier -4.5,1.847,Tigers Tubingen vs TBB Trier,2025-09-22 08:37:19
Money Line – Game,TBB Trier,1.467,Tigers Tubingen vs TBB Trier,2025-09-22 08:37:19
Money Line – Game,Tigers Tubingen,2.52,Tigers Tubingen vs TBB Trier,2025-09-22 08:37:19
Handicap – Game,Tigers Tubingen +4.5,1.862,Tigers Tubingen vs TBB Trier,2025-09-22 08:37:19
Total – Game,Over 164.5,1.917,Phoenix Hagen vs Rostock Seawolves,2025-09-22 08:37:19
Handicap – Game,Rostock Seawolves -8.5,1.943,Phoenix Hagen vs Rostock Seawolves,2025-09-22 08:37:19
Handicap – Game,Phoenix Hagen +8.5,1.862,Phoenix Hagen vs Rostock Seawolves,2025-09-22 08:37:19
Money Line – Game,Rostock Seawolves,1.268,Phoenix Hagen vs Rostock Seawolves,2025-09-22 08:37:19
Total – Game,Under 164.5,1.884,Phoenix Hagen vs Rostock Seawolves,2025-09-22 08:37:19
Money Line – Game,Rostock Seawolves,1.268,Phoenix Hagen vs Rostock Seawolves,2025-09-22 08:41:46
Total – Game,Over 164.5,1.917,Phoenix Hagen vs Rostock Seawolves,2025-09-22 08:41:46
Handicap – Game,Rostock Seawolves -8.5,1.943,Phoenix Hagen vs Rostock Seawolves,2025-09-22 08:41:46
Handicap – Game,Phoenix Hagen +8.5,1.862,Phoenix Hagen vs Rostock Seawolves,2025-09-22 08:41:46
Money Line – Game,Phoenix Hagen,3.79,Phoenix Hagen vs Rostock Seawolves,2025-09-22 08:41:46
Total – Game,Under 164.5,1.884,Phoenix Hagen vs Rostock Seawolves,2025-09-22 08:41:46
Total – Game,Over 168.5,1.84,Tigers Tubingen vs TBB Trier,2025-09-22 08:41:46
Handicap – Game,TBB Trier -4.5,1.847,Tigers Tubingen vs TBB Trier,2025-09-22 08:41:46
Handicap – Game,Tigers Tubingen +4.5,1.862,Tigers Tubingen vs TBB Trier,2025-09-22 08:41:46
Money Line – Game,TBB Trier,1.467,Tigers Tubingen vs TBB Trier,2025-09-22 08:41:46
Money Line – Game,Tigers Tubingen,2.52,Tigers Tubingen vs TBB Trier,2025-09-22 08:41:46
Total – Game,Under 168.5,1.869,Tigers Tubingen vs TBB Trier,2025-09-22 08:41:46
Total – Game,Under 164.5,1.99,Phoenix Hagen vs Rostock Seawolves,2025-09-22 09:39:51
Total – Game,Over 164.5,1.813,Phoenix Hagen vs Rostock Seawolves,2025-09-22 09:39:51
Handicap – Game,Rostock Seawolves -8.5,1.934,Phoenix Hagen vs Rostock Seawolves,2025-09-22 09:39:51
Handicap – Game,Phoenix Hagen +8.5,1.869,Phoenix Hagen vs Rostock Seawolves,2025-09-22 09:39:51
Money Line – Game,Rostock Seawolves,1.267,Phoenix Hagen vs Rostock Seawolves,2025-09-22 09:39:51
Money Line – Game,Phoenix Hagen,3.79,Phoenix Hagen vs Rostock Seawolves,2025-09-22 09:39:51
Total – Game,Over 168.5,1.84,Tigers Tubingen vs TBB Trier,2025-09-22 10:32:52
Handicap – Game,TBB Trier -5.5,1.854,Tigers Tubingen vs TBB Trier,2025-09-22 10:32:52
Total – Game,Under 168.5,1.869,Tigers Tubingen vs TBB Trier,2025-09-22 10:32:52
Handicap – Game,Tigers Tubingen +5.5,1.854,Tigers Tubingen vs TBB Trier,2025-09-22 10:32:52
